Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
30,Garret Anderson*\anderga01,27,ANA,AL,157,660,620,88,188,36,2,21,80,3,4,34,81,0.303,0.336,0.469,0.806,104,291,15,0,0,6,8,*87/9D
341,Darin Erstad*\erstada01,25,ANA,AL,142,638,585,84,148,22,5,13,53,13,7,47,101,0.253,0.308,0.374,0.683,74,219,16,1,2,3,3,37/8D
415,Troy Glaus\glaustr01,22,ANA,AL,154,631,551,85,132,29,0,29,79,5,1,71,143,0.24,0.331,0.45,0.781,98,248,9,6,0,3,1,*5/D
1164,Mo Vaughn*\vaughmo01,31,ANA,AL,139,592,524,63,147,20,0,33,108,0,0,54,127,0.281,0.358,0.508,0.866,119,266,11,11,0,3,7,3D
1168,Randy Velarde\velarra01,36,ANA,AL,95,425,376,57,115,15,4,9,48,13,4,43,56,0.306,0.383,0.439,0.822,111,165,8,4,2,0,1,4
1016,Tim Salmon\salmoti01,30,ANA,AL,98,422,353,60,94,24,2,17,69,4,1,63,82,0.266,0.372,0.49,0.862,119,173,7,0,0,6,2,9/D
441,Todd Greene\greento02,28,ANA,AL,97,338,321,36,78,20,0,14,42,1,4,12,63,0.243,0.275,0.436,0.711,79,140,8,3,0,2,0,D92/7
874,Orlando Palmeiro*\palmeor01,30,ANA,AL,109,372,317,46,88,12,1,1,23,5,5,39,30,0.278,0.364,0.331,0.696,81,105,4,6,6,3,1,79D/8
1187,Matt Walbeck#\walbema01,29,ANA,AL,107,321,288,26,69,8,1,3,22,2,3,26,46,0.24,0.308,0.306,0.614,59,88,12,3,3,1,1,2/D
312,Gary Disarcina\disarga01,31,ANA,AL,81,298,271,32,62,7,1,1,29,2,2,15,32,0.229,0.273,0.273,0.546,41,74,8,2,9,1,0,6
1050,Andy Sheets\sheetan01,27,ANA,AL,87,269,244,22,48,10,0,3,29,1,2,14,59,0.197,0.236,0.275,0.51,31,67,6,0,6,5,0,6/45
557,Jeff Huson*\husonje01,34,ANA,AL,97,245,225,21,59,7,1,0,18,10,1,16,27,0.262,0.307,0.302,0.61,58,68,9,0,1,3,0,46/53D7
332,Jim Edmonds*\edmonji01,29,ANA,AL,55,233,204,34,51,17,2,5,23,5,4,28,45,0.25,0.339,0.426,0.766,95,87,3,0,0,1,0,8/D3
326,Trent Durrington\durritr01,23,ANA,AL,43,136,122,14,22,2,0,0,2,4,3,9,28,0.18,0.237,0.197,0.433,13,24,1,0,5,0,0,4/D
790,Bengie Molina\molinbe01,24,ANA,AL,31,109,101,8,26,5,0,1,10,0,1,6,6,0.257,0.312,0.337,0.649,67,34,5,2,0,0,0,2
296,Steve Decker\deckest01,33,ANA,AL,28,79,63,5,15,6,0,0,5,0,0,13,9,0.238,0.372,0.333,0.705,83,21,4,1,1,1,0,2/3D
1233,Reggie Williams#\willire02,33,ANA,AL,30,71,63,8,14,1,2,1,6,2,1,5,21,0.222,0.286,0.349,0.635,62,22,3,1,1,1,0,9/78D
843,Charlie O'Brien\o'brich01,39,ANA,AL,27,67,62,3,6,0,0,1,4,0,0,1,12,0.097,0.136,0.145,0.282,-27,9,1,2,1,1,0,2
1155,Tim Unroe\unroeti01,28,ANA,AL,27,59,54,5,13,2,0,1,6,0,0,4,16,0.241,0.305,0.333,0.638,64,18,0,1,0,0,0,/D9754
933,Chris Pritchett*\pritcch01,29,ANA,AL,20,49,45,3,7,1,0,1,2,1,1,2,9,0.156,0.188,0.244,0.432,10,11,0,0,1,1,0,3/D
691,Matt Luke*\lukema01,28,ANA,AL,18,32,30,4,9,0,0,3,6,0,0,2,10,0.3,0.344,0.6,0.944,136,18,2,0,0,0,0,/397
501,Bret Hemphill#\hemphbr01,27,ANA,AL,12,27,21,3,3,0,0,0,2,0,0,4,4,0.143,0.269,0.143,0.412,10,3,1,0,1,1,0,2
284,Jeff DaVanon#\davanje02,25,ANA,AL,7,22,20,4,4,0,1,1,4,0,1,2,7,0.2,0.273,0.45,0.723,81,9,0,0,0,0,0,/7D9
1057,Dave Silvestri\silveda01,31,ANA,AL,3,11,11,0,1,1,0,0,1,0,0,0,1,0.091,0.091,0.182,0.273,-32,2,1,0,0,0,0,/476
853,Omar Olivares\olivaom01,31,ANA,AL,2,7,6,0,2,1,0,0,0,0,0,0,1,0.333,0.333,0.5,0.833,110,3,0,0,1,0,0,1
84,Tim Belcher\belchti01,37,ANA,AL,2,5,5,0,1,1,0,0,0,0,0,0,2,0.2,0.2,0.4,0.6,49,2,0,0,0,0,0,1
365,Chuck Finley*\finlech01,36,ANA,AL,2,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,1,0,0,1
524,Ken Hill\hillke01,33,ANA,AL,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,0,0,0,1
1080,Steve Sparks\sparkst01,33,ANA,AL,3,3,3,0,1,1,0,0,2,0,0,0,1,0.333,0.333,0.667,1,148,2,0,0,0,0,0,1/D
234,Mike Colangelo\colanmi01,22,ANA,AL,1,3,2,0,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167,207,1,0,0,0,0,0,/7
387,Mike Fyhrie\fyhrimi01,29,ANA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
492,Shigetoshi Hasegawa\hasegsh01,30,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
654,Al Levine*\levinal01,31,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
702,Mike Magnante*\magnami01,34,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
888,Troy Percival\percitr01,29,ANA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
902,Mark Petkovsek\petkoma01,33,ANA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1033,Scott Schoeneweis*\schoesc01,25,ANA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1198,Jarrod Washburn*\washbja01,24,ANA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
1231,Matt Williams\willima04,33,ARI,NL,154,678,627,98,190,37,2,35,142,2,0,41,93,0.303,0.344,0.536,0.88,118,336,17,2,0,8,9,*5
423,Luis Gonzalez*\gonzalu01,31,ARI,NL,153,693,614,112,206,45,4,26,111,9,5,66,63,0.336,0.403,0.549,0.952,137,337,13,7,1,5,6,*7/D
1248,Tony Womack*\womacto01,29,ARI,NL,144,684,614,111,170,25,10,4,41,72,13,52,68,0.277,0.332,0.37,0.702,77,227,4,2,9,7,0,*946/8
366,Steve Finley*\finlest01,34,ARI,NL,156,663,590,100,156,32,10,34,103,8,4,63,94,0.264,0.336,0.525,0.861,113,310,4,3,2,5,7,*8/D
