Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
375,Marquis Grissom\grissma02,29,ATL,NL,158,723,671,106,207,32,10,23,74,28,11,41,73,0.308,0.349,0.489,0.838,114,328,12,3,4,4,6,*8
628,Fred McGriff*\mcgrifr01,32,ATL,NL,159,691,617,81,182,37,1,28,107,7,3,68,116,0.295,0.365,0.494,0.859,120,305,20,2,0,4,12,*3
496,Chipper Jones#\jonesch06,24,ATL,NL,157,693,598,114,185,32,5,30,110,14,1,87,88,0.309,0.393,0.53,0.923,137,317,14,0,1,7,0,*56/9
529,Ryan Klesko*\kleskry01,25,ATL,NL,153,605,528,90,149,21,4,34,93,6,3,68,129,0.282,0.364,0.53,0.894,128,280,10,2,0,4,10,*7/3
549,Mark Lemke#\lemkema01,30,ATL,NL,135,562,498,64,127,17,0,5,37,5,2,53,48,0.255,0.323,0.319,0.642,68,159,9,0,5,6,1,*4
571,Javy Lopez\lopezja01,25,ATL,NL,138,526,489,56,138,19,1,23,69,1,6,28,84,0.282,0.322,0.466,0.788,101,228,17,3,1,5,5,*2
272,Jermaine Dye\dyeje01,22,ATL,NL,98,306,292,32,82,16,0,12,37,1,4,8,67,0.281,0.304,0.459,0.763,94,134,11,3,0,3,0,97/8
89,Jeff Blauser\blausje01,30,ATL,NL,83,312,265,48,65,14,1,10,35,6,0,40,54,0.245,0.356,0.419,0.775,100,111,7,6,0,1,3,6
763,Terry Pendleton#\pendlte01,35,ATL,NL,42,177,162,21,33,6,0,4,17,2,1,15,36,0.204,0.271,0.315,0.586,51,51,8,0,0,0,1,5
767,Eddie Perez\perezed02,28,ATL,NL,68,167,156,19,40,9,1,4,17,0,0,8,19,0.256,0.293,0.404,0.697,79,63,6,1,0,2,0,2/3
895,Dwight Smith*\smithdw01,32,ATL,NL,101,172,153,16,31,5,0,3,16,1,3,17,42,0.203,0.285,0.294,0.579,51,45,2,1,0,1,1,9/7
73,Rafael Belliard\bellira01,34,ATL,NL,86,148,142,9,24,7,0,0,3,3,1,2,22,0.169,0.179,0.218,0.398,2,31,6,0,3,1,0,64
511,David Justice*\justida01,30,ATL,NL,40,164,140,23,45,9,0,6,25,1,1,21,22,0.321,0.409,0.514,0.923,137,72,5,1,0,2,1,9
665,Mike Mordecai\mordemi01,28,ATL,NL,66,122,108,12,26,5,0,2,8,1,0,9,24,0.241,0.297,0.343,0.639,65,37,1,0,4,1,1,45/63
494,Andruw Jones\jonesan01,19,ATL,NL,31,113,106,11,23,7,1,5,13,3,0,7,29,0.217,0.265,0.443,0.709,80,47,1,0,0,0,0,98
1036,Mark Whiten#\whitema01,29,ATL,NL,36,107,90,12,23,5,1,3,17,2,5,16,25,0.256,0.364,0.433,0.798,106,39,2,0,0,1,0,9
349,Ed Giovanola*\giovaed01,27,ATL,NL,43,94,82,10,19,2,0,0,7,1,0,8,13,0.232,0.304,0.256,0.56,47,21,3,1,2,1,0,6/54
901,John Smoltz\smoltjo01,29,ATL,NL,35,98,78,3,17,3,0,1,12,0,0,3,26,0.218,0.253,0.295,0.548,42,23,0,1,15,1,0,1
352,Tom Glavine*\glavito02,30,ATL,NL,39,96,76,8,22,4,0,0,3,0,0,5,17,0.289,0.333,0.342,0.675,76,26,2,0,15,0,0,1
583,Greg Maddux\maddugr01,30,ATL,NL,35,82,68,6,10,2,0,0,2,0,0,3,12,0.147,0.183,0.176,0.36,-6,12,0,0,11,0,0,1
1020,Jerome Walton\waltoje01,30,ATL,NL,37,55,47,9,16,5,0,1,4,0,0,5,10,0.34,0.389,0.511,0.9,131,24,1,0,1,2,0,7/98
36,Steve Avery*\averyst01,26,ATL,NL,24,50,46,5,11,4,1,2,11,0,0,1,12,0.239,0.245,0.5,0.745,87,23,1,0,1,2,0,1
