Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,43,5.28,.683,162,1458,1093,13107.0,6257,4369,1794,94,159,.985,-24,-2,-12,0
ATL,45,4.16,.693,162,1458,1142,12993.0,6219,4331,1802,86,170,.986,71,7,58,5
BAL,46,4.94,.692,162,1458,1111,12849.0,6069,4283,1679,107,154,.982,5,0,16,2
BOS,52,4.97,.682,162,1458,1063,12861.0,6019,4287,1623,109,135,.982,-72,-7,-28,-3
CHC,43,4.41,.699,162,1458,1109,12960.0,6079,4320,1658,101,136,.983,1,0,3,0
CHW,37,3.98,.711,162,1458,1183,13281.0,6191,4427,1670,94,166,.985,8,1,49,4
CIN,45,5.45,.676,163,1467,1153,12897.0,5990,4299,1587,104,133,.983,-51,-5,-45,-4
CLE,36,3.96,.709,162,1458,1212,13074.0,6110,4358,1646,106,156,.983,67,6,36,3
COL,53,5.32,.670,162,1458,1121,12768.0,6080,4256,1706,118,158,.981,-22,-2,-29,-3
DET,45,4.86,.695,162,1458,1133,12921.0,6208,4307,1791,110,171,.982,13,1,38,1
FLA,47,4.52,.677,162,1458,1123,12981.0,6089,4327,1659,103,177,.983,-53,-5,-73,-7
HOU,36,3.74,.705,163,1467,1068,12987.0,6118,4329,1700,89,146,.985,43,4,60,6
KCR,45,5.77,.666,162,1458,1165,12720.0,6011,4240,1646,125,163,.979,-76,-7,-109,-2
ANA,40,3.97,.700,162,1458,1114,13179.0,6001,4393,1521,87,139,.986,27,2,33,3
LAD,44,4.66,.699,162,1458,1078,12846.0,6115,4282,1727,106,141,.983,-4,0,11,1
MIL,38,4.30,.696,162,1458,1157,12942.0,5915,4314,1482,119,139,.980,-13,-1,-13,0
MIN,37,4.09,.702,162,1458,1137,13179.0,6259,4393,1764,102,171,.984,34,3,45,1
NYM,42,4.00,.700,162,1458,1128,12921.0,6070,4307,1657,106,146,.983,11,1,-23,0
NYY,51,4.87,.690,162,1458,1097,12876.0,6075,4292,1688,95,151,.984,-63,-6,-113,-11
OAK,41,4.06,.715,162,1458,1188,13053.0,6088,4351,1649,88,166,.986,61,6,38,4
PHI,40,4.48,.703,162,1458,1130,12915.0,6003,4305,1608,90,132,.985,69,6,98,9
PIT,44,4.75,.693,162,1458,1101,12924.0,6228,4308,1803,117,193,.981,5,0,25,2
SDP,46,4.48,.689,162,1458,1049,13098.0,6004,4366,1529,109,136,.982,-42,-4,-48,-1
SEA,48,4.64,.701,162,1458,1200,12849.0,5944,4283,1575,86,144,.986,-8,-1,4,0
SFG,49,4.60,.699,162,1458,1104,12999.0,6053,4333,1630,90,146,.985,19,2,-9,0
STL,40,3.91,.703,162,1458,1030,13011.0,6388,4337,1951,100,196,.984,87,8,78,1
TBD,43,5.78,.681,162,1458,1104,12795.0,5835,4265,1446,124,139,.979,-43,-4,-11,-1
TEX,50,5.30,.680,162,1458,1202,12960.0,6106,4320,1678,108,149,.982,-36,-3,-41,-1
TOR,36,4.35,.701,162,1458,1109,13023.0,6193,4341,1757,95,154,.985,7,1,65,1
WSN,54,4.15,.697,162,1458,1087,13122.0,6014,4374,1548,92,156,.985,-5,0,-9,-1
