Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,34,4.53,.685,59,531,387,4842.0,2172,1586,565,21,51,.990,16,4,25,6
ATL,37,4.81,.699,58,522,420,4686.0,2074,1539,503,32,44,.985,2,0,11,3
BAL,41,6.05,.694,58,522,372,4596.0,2068,1515,512,41,60,.980,7,2,-29,-1
BOS,38,4.81,.691,58,522,421,4662.0,2073,1534,507,32,41,.985,-3,-1,2,1
CHC,35,4.39,.683,56,504,358,4563.0,2152,1502,608,42,53,.980,7,2,10,3
CHW,36,5.09,.683,58,522,404,4479.0,2013,1472,495,46,57,.977,-5,-1,-11,-3
CIN,31,3.81,.691,58,522,360,4650.0,2077,1529,525,23,52,.989,2,1,25,6
CLE,38,4.28,.687,58,522,416,4563.0,2004,1501,468,35,33,.983,1,0,-5,0
COL,38,5.30,.684,57,513,406,4665.0,2172,1533,612,27,57,.988,10,3,-12,-1
DET,39,5.21,.692,56,504,421,4487.0,2030,1477,516,37,47,.982,-19,-5,-16,-4
HOU,32,3.49,.736,59,531,410,4680.0,2033,1542,468,23,27,.989,29,7,32,8
KCR,36,5.26,.680,58,522,436,4566.0,2058,1508,530,20,57,.990,2,0,2,0
ANA,40,5.00,.707,58,522,398,4617.0,2030,1520,479,31,36,.985,8,2,-6,0
LAD,34,3.93,.715,59,531,366,4719.0,2108,1553,527,28,46,.987,26,7,41,2
FLA,35,4.64,.696,56,504,362,4479.0,2004,1470,501,33,55,.984,-9,-2,-3,-1
MIL,36,4.81,.691,59,531,391,4836.0,2114,1578,507,29,52,.986,-5,-1,18,1
MIN,36,4.05,.696,57,513,403,4536.0,1980,1493,460,27,34,.986,26,7,27,7
NYM,41,4.90,.671,58,522,318,4683.0,2066,1536,491,39,47,.981,-36,-9,-41,-2
NYY,40,3.96,.699,57,513,405,4599.0,2031,1512,477,42,45,.979,9,2,-11,-3
OAK,31,4.41,.715,59,531,430,4815.0,2124,1586,509,29,40,.986,-2,-1,6,0
PHI,37,4.45,.690,58,522,401,4701.0,2130,1545,553,32,48,.985,7,2,3,0
PIT,43,5.42,.679,57,513,371,4617.0,2050,1507,507,36,47,.982,-9,-2,-14,-4
SDP,37,4.33,.703,58,522,380,4626.0,2044,1520,490,34,28,.983,5,1,15,4
SEA,46,6.02,.669,61,549,433,4854.0,2203,1596,543,64,53,.971,-33,-8,-45,-11
SFG,40,5.25,.688,57,513,387,4590.0,2069,1506,519,44,43,.979,-3,-1,28,7
STL,34,4.61,.707,57,513,374,4533.0,2063,1488,548,27,57,.987,9,2,10,3
TBD,38,3.21,.713,56,504,384,4596.0,2048,1510,517,21,50,.990,27,7,34,1
TEX,33,5.27,.668,56,504,404,4464.0,1955,1467,458,30,56,.985,-23,-6,-33,-9
TOR,42,4.84,.688,58,522,418,4626.0,2103,1521,541,41,47,.981,1,0,-21,-5
WSN,39,5.12,.664,58,522,422,4587.0,2019,1509,469,41,42,.980,-31,-8,-34,-1
