Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,34,4.44,.686,61,549,403,5004.0,2293,1668,603,22,52,.990,18,4,26,1
ATL,37,4.80,.699,59,531,426,4767.0,2149,1589,526,34,45,.984,1,0,11,0
BAL,41,6.08,.695,59,531,380,4677.0,2127,1559,526,42,61,.980,5,1,-33,-1
BOS,38,4.81,.691,59,531,425,4743.0,2137,1581,523,33,41,.985,-3,-1,4,1
CHC,36,4.29,.686,58,522,374,4716.0,2250,1572,634,44,57,.980,11,3,12,3
CHW,36,5.00,.683,59,531,410,4560.0,2082,1520,514,48,59,.977,-3,-1,-9,-2
CIN,31,3.81,.690,59,531,366,4731.0,2148,1577,546,25,53,.988,0,0,24,1
CLE,38,4.24,.687,59,531,421,4638.0,2071,1546,488,37,34,.982,3,1,0,0
COL,38,5.22,.685,58,522,414,4746.0,2245,1582,634,29,58,.987,11,3,-13,-1
DET,40,5.25,.690,57,513,427,4560.0,2092,1520,530,42,47,.980,-21,-6,-19,-1
HOU,32,3.48,.739,61,549,426,4869.0,2135,1623,489,23,27,.989,32,8,31,1
KCR,36,5.25,.678,59,531,444,4638.0,2112,1546,545,21,58,.990,-1,0,1,0
ANA,41,5.02,.708,60,540,411,4770.0,2119,1590,498,31,38,.985,5,1,-9,-2
LAD,34,3.82,.718,61,549,380,4881.0,2210,1627,554,29,46,.987,29,7,44,11
FLA,35,4.61,.698,57,513,367,4560.0,2068,1520,515,33,55,.984,-5,-1,-2,0
MIL,36,4.77,.691,60,540,397,4917.0,2204,1639,533,32,53,.985,-5,-1,18,4
MIN,36,4.10,.694,58,522,411,4617.0,2041,1539,473,29,35,.986,24,6,29,1
NYM,41,4.93,.670,59,531,326,4755.0,2134,1585,507,42,48,.980,-39,-10,-40,-10
NYY,40,4.03,.697,58,522,413,4680.0,2099,1560,496,43,46,.980,6,2,-16,-1
OAK,31,4.43,.715,60,540,436,4923.0,2201,1641,529,31,41,.986,-4,-1,0,0
PHI,38,4.57,.689,60,540,417,4845.0,2230,1615,581,34,50,.985,5,1,1,0
PIT,43,5.40,.679,58,522,379,4698.0,2131,1566,529,36,47,.983,-9,-2,-11,-3
SDP,37,4.37,.703,60,540,389,4788.0,2157,1596,526,35,30,.984,6,1,20,1
SEA,46,6.10,.669,63,567,447,5016.0,2319,1672,578,69,58,.970,-34,-8,-54,-13
SFG,40,5.17,.690,58,522,395,4671.0,2142,1557,541,44,43,.979,-3,-1,30,8
STL,35,4.55,.708,58,522,381,4614.0,2132,1538,567,27,60,.987,10,3,8,0
TBD,38,3.32,.710,57,513,392,4677.0,2125,1559,540,26,54,.988,27,7,35,9
TEX,33,5.19,.667,57,513,410,4545.0,2013,1515,468,30,57,.985,-24,-6,-34,-2
TOR,42,4.85,.688,59,531,426,4698.0,2173,1566,565,42,48,.981,2,1,-19,-1
WSN,39,5.05,.665,59,531,430,4668.0,2080,1556,481,43,42,.979,-31,-8,-34,-1
