Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ANA,40,3.98,.718,162,1458,1075,13071.0,6019,4357,1575,87,151,.986,98,9
ARI,41,4.16,.697,162,1458,1085,13020.0,5935,4340,1506,89,116,.985,-4,0
ATL,38,3.51,.712,161,1449,1108,13206.0,6338,4402,1822,114,170,.982,77,7
BAL,46,4.77,.701,162,1458,1165,13056.0,6163,4352,1720,91,173,.985,43,4
BOS,39,4.10,.702,162,1458,1150,13014.0,6087,4338,1645,104,140,.983,62,6
CHC,44,4.69,.685,162,1458,1060,12972.0,5938,4324,1500,114,144,.981,-55,-5
CHW,35,4.93,.706,162,1458,1168,12807.0,5961,4269,1595,97,157,.984,13,1
CIN,43,4.78,.690,162,1458,1071,13083.0,6254,4361,1773,120,169,.981,1,0
CLE,59,5.17,.674,162,1458,1153,12822.0,6049,4274,1662,113,161,.981,-49,-5
COL,43,5.54,.691,162,1458,1081,12840.0,6093,4280,1701,112,158,.982,34,3
DET,56,5.37,.678,161,1449,1209,12726.0,6103,4242,1719,142,148,.977,-41,-4
FLA,41,4.71,.689,162,1458,1135,13107.0,6111,4369,1636,106,163,.983,-13,-1
HOU,41,4.29,.687,162,1458,1048,13005.0,6081,4335,1663,83,149,.986,-44,-4
KCR,52,5.50,.685,162,1458,1148,12969.0,6155,4323,1702,130,153,.979,-21,-2
LAD,41,3.97,.716,162,1458,1078,13119.0,6149,4373,1686,90,134,.985,44,4
MIL,49,5.07,.696,162,1458,1099,12891.0,6033,4297,1633,103,154,.983,-14,-1
MIN,42,4.42,.703,161,1449,1103,13002.0,5830,4334,1422,74,124,.987,21,2
WSN,43,4.43,.684,162,1458,1124,13077.0,6297,4359,1799,139,160,.978,-13,-1
NYM,47,4.37,.692,161,1449,1035,12984.0,6100,4328,1628,144,138,.976,-23,-2
NYY,37,4.33,.688,161,1449,1145,13068.0,6007,4356,1524,127,117,.979,-56,-5
OAK,41,4.04,.704,162,1458,1080,13068.0,6256,4356,1798,102,144,.984,-6,-1
PHI,39,4.50,.705,161,1449,1147,13047.0,6137,4349,1700,88,156,.986,24,2
PIT,37,4.53,.693,161,1449,1016,12714.0,6252,4238,1899,115,177,.982,11,1
SDP,59,5.03,.675,162,1458,1004,12927.0,6118,4309,1681,128,162,.979,-71,-7
SEA,38,4.31,.703,162,1458,1079,13008.0,5939,4336,1515,88,134,.985,5,0
SFG,38,3.80,.705,162,1458,1089,12936.0,6032,4312,1630,90,166,.985,38,4
STL,44,4.00,.707,162,1458,1017,13017.0,6116,4339,1674,103,168,.983,49,4
TBD,43,5.70,.687,161,1449,1238,12963.0,6014,4321,1567,126,168,.979,-8,-1
TEX,51,5.44,.688,162,1458,1037,12957.0,6101,4319,1683,99,152,.984,-22,-2
TOR,45,5.11,.690,162,1458,1188,12945.0,6035,4315,1613,107,159,.982,-7,-1
