Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.56,.695,102,918,680,8298.0,3791,2766,980,45,79,.988,36,5,56,8
ATL,39,4.78,.687,102,918,729,8232.0,3745,2744,945,56,93,.985,-4,-1,22,3
BAL,48,6.10,.690,100,900,629,7938.0,3588,2646,867,75,91,.979,8,1,-75,-11
BOS,43,5.12,.671,102,918,716,8328.0,3742,2776,903,63,66,.983,-13,-2,-16,0
CHC,42,4.42,.690,101,909,640,8136.0,3871,2712,1088,71,97,.982,30,4,7,1
CHW,44,5.22,.675,98,882,685,7635.0,3537,2545,915,77,105,.978,-12,-2,-36,-1
CIN,36,4.14,.690,99,891,610,7905.0,3590,2635,900,55,90,.985,-2,0,29,1
CLE,42,4.09,.698,100,900,714,7956.0,3545,2652,838,55,63,.984,22,3,30,1
COL,42,5.90,.667,100,900,694,8100.0,3839,2700,1077,62,99,.984,-9,-1,-33,-1
DET,45,5.61,.675,97,873,729,7770.0,3572,2590,912,70,73,.980,-51,-8,-31,-1
HOU,38,4.11,.722,103,927,685,8355.0,3686,2785,854,47,51,.987,37,5,32,5
KCR,41,5.11,.678,102,918,755,8052.0,3665,2684,939,42,99,.989,4,1,12,0
ANA,47,4.99,.697,102,918,687,8112.0,3625,2704,868,53,71,.985,5,1,-7,-1
LAD,39,3.85,.712,103,927,636,8259.0,3735,2753,908,74,69,.980,33,5,61,9
FLA,40,4.62,.698,99,891,643,7932.0,3538,2644,842,52,87,.985,-21,-3,6,0
MIL,39,5.03,.678,103,927,679,8379.0,3765,2793,914,58,89,.985,-13,-2,30,1
MIN,41,4.58,.687,100,900,708,8154.0,3674,2718,892,64,82,.983,23,3,37,5
NYM,45,4.97,.675,100,900,570,8097.0,3642,2699,874,69,78,.981,-43,-6,-52,-8
NYY,43,4.40,.686,100,900,713,8043.0,3610,2681,854,75,82,.979,2,0,-15,-2
OAK,39,4.30,.711,103,927,744,8382.0,3774,2794,925,55,69,.985,21,3,3,0
PHI,45,4.92,.688,101,909,715,8154.0,3747,2718,969,60,79,.984,9,1,7,0
PIT,45,5.23,.674,100,900,658,8028.0,3660,2676,916,68,77,.981,-24,-4,-25,-1
SDP,43,4.89,.686,100,900,650,7992.0,3632,2664,896,72,63,.980,-4,-1,11,2
SEA,56,5.98,.680,104,936,738,8295.0,3801,2765,939,97,91,.974,-25,-4,-67,-10
SFG,45,4.82,.689,102,918,693,8352.0,3818,2784,971,63,84,.983,7,1,26,1
STL,38,4.34,.702,100,900,656,7989.0,3700,2663,995,42,109,.989,23,3,33,5
TBD,44,3.81,.703,104,936,721,8499.0,3836,2833,951,52,89,.986,35,5,33,5
TEX,43,5.35,.670,101,909,722,8100.0,3590,2700,832,58,97,.984,-27,-4,-53,-1
TOR,47,5.13,.679,103,927,747,8190.0,3754,2730,965,59,88,.984,3,0,-14,-2
WSN,43,4.52,.676,99,891,722,7872.0,3505,2624,823,58,70,.983,-22,-3,-32,-1
