Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.50,.696,105,945,697,8538.0,3901,2846,1010,45,81,.988,37,5,58,1
ATL,41,4.75,.685,105,945,749,8475.0,3852,2825,970,57,97,.985,-7,-1,18,3
BAL,49,6.09,.692,104,936,651,8316.0,3752,2772,903,77,93,.979,7,1,-74,-2
BOS,43,5.08,.670,106,954,739,8643.0,3882,2881,937,64,70,.984,-14,-2,-16,0
CHC,44,4.38,.692,104,936,657,8370.0,3972,2790,1111,71,99,.982,30,4,10,0
CHW,44,5.21,.678,102,918,714,7959.0,3688,2653,955,80,111,.978,-9,-1,-38,-1
CIN,36,4.20,.690,102,918,627,8139.0,3699,2713,929,57,94,.985,-4,-1,31,5
CLE,42,4.01,.701,104,936,744,8325.0,3708,2775,877,56,67,.985,32,5,33,5
COL,43,5.78,.671,105,945,733,8478.0,4011,2826,1122,63,104,.984,-3,0,-28,-1
DET,45,5.63,.672,101,909,761,8073.0,3704,2691,941,72,76,.981,-61,-9,-43,-1
HOU,38,4.08,.721,106,954,702,8589.0,3788,2863,875,50,54,.987,35,5,35,5
KCR,42,5.12,.678,106,954,777,8421.0,3842,2807,990,45,105,.988,6,1,16,0
ANA,48,5.08,.694,106,954,715,8499.0,3810,2833,919,58,77,.985,-1,0,-6,-1
LAD,39,3.82,.712,106,954,655,8502.0,3853,2834,943,76,72,.980,34,5,64,1
FLA,40,4.59,.699,102,918,667,8175.0,3642,2725,863,54,89,.985,-18,-3,10,1
MIL,39,4.97,.679,106,954,694,8631.0,3869,2877,933,59,90,.985,-11,-2,29,1
MIN,41,4.60,.684,104,936,737,8469.0,3815,2823,921,71,86,.981,18,3,25,3
NYM,45,4.88,.674,104,936,596,8421.0,3795,2807,914,74,85,.981,-45,-6,-57,-1
NYY,43,4.66,.681,104,936,743,8340.0,3738,2780,882,76,84,.980,2,0,-9,-1
OAK,39,4.36,.709,107,963,775,8697.0,3914,2899,958,57,71,.985,21,3,8,0
PHI,45,5.01,.686,104,936,735,8397.0,3857,2799,995,63,81,.984,4,1,-1,0
PIT,45,5.31,.678,104,936,683,8334.0,3798,2778,950,70,78,.982,-22,-3,-27,-1
SDP,43,4.79,.687,104,936,676,8325.0,3782,2775,933,74,66,.980,-6,-1,12,0
SEA,58,5.83,.681,108,972,764,8619.0,3957,2873,984,100,98,.975,-25,-3,-61,-8
SFG,45,4.78,.690,105,945,714,8604.0,3934,2868,1000,66,89,.983,9,1,33,1
STL,38,4.38,.702,104,936,678,8313.0,3847,2771,1033,43,112,.989,24,3,37,5
TBD,44,3.82,.704,107,963,737,8760.0,3948,2920,975,53,91,.987,35,5,32,4
TEX,43,5.29,.673,105,945,754,8406.0,3730,2802,866,62,100,.983,-23,-3,-48,-1
TOR,48,5.13,.678,106,954,770,8460.0,3879,2820,999,60,92,.985,2,0,-15,-2
WSN,43,4.52,.677,104,936,761,8277.0,3683,2759,865,59,71,.984,-19,-3,-25,-1
