Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.54,.696,108,972,718,8763.0,4005,2921,1035,49,83,.988,39,5,60,8
ATL,41,4.83,.685,108,972,768,8700.0,3950,2900,993,57,97,.986,-5,-1,18,0
BAL,50,6.08,.693,107,963,669,8544.0,3851,2848,924,79,94,.979,8,1,-74,-2
BOS,43,5.12,.669,108,972,751,8805.0,3955,2935,952,68,70,.983,-14,-2,-12,-2
CHC,44,4.35,.692,106,954,667,8523.0,4035,2841,1121,73,99,.982,30,4,11,2
CHW,44,5.26,.677,104,936,726,8139.0,3777,2713,982,82,112,.978,-8,-1,-38,-1
CIN,37,4.26,.690,105,945,643,8382.0,3807,2794,956,57,95,.985,-1,0,35,1
CLE,42,4.04,.698,106,954,759,8478.0,3771,2826,888,57,68,.985,31,4,28,1
COL,43,5.74,.673,108,972,752,8712.0,4125,2904,1157,64,106,.984,1,0,-28,-4
DET,46,5.58,.672,104,936,784,8310.0,3811,2770,967,74,79,.981,-60,-9,-42,-6
HOU,38,4.02,.722,108,972,715,8751.0,3858,2917,890,51,54,.987,37,5,39,1
KCR,42,5.18,.679,109,981,801,8664.0,3948,2888,1012,48,106,.988,6,1,15,2
LAA,48,5.05,.694,109,981,737,8742.0,3920,2914,942,64,79,.984,-1,0,-6,-1
LAD,41,3.94,.708,109,981,675,8727.0,3961,2909,972,80,74,.980,35,5,57,1
MIA,40,4.54,.701,105,945,688,8418.0,3747,2806,886,55,92,.985,-16,-2,9,0
MIL,39,5.01,.681,108,972,708,8796.0,3938,2932,946,60,91,.985,-10,-1,29,4
MIN,42,4.53,.685,106,954,751,8631.0,3885,2877,936,72,87,.981,20,3,24,3
NYM,45,4.87,.674,106,954,605,8601.0,3875,2867,931,77,87,.980,-46,-6,-63,-1
NYY,43,4.67,.680,106,954,757,8502.0,3811,2834,899,78,85,.980,2,0,-10,0
OAK,40,4.35,.710,109,981,787,8868.0,3991,2956,978,57,73,.986,22,3,9,1
PHI,45,4.97,.687,106,954,749,8559.0,3931,2853,1015,63,84,.984,8,1,2,0
PIT,45,5.37,.677,107,963,706,8559.0,3900,2853,971,76,79,.981,-27,-4,-35,-5
SDP,43,4.80,.683,107,963,693,8568.0,3891,2856,959,76,68,.980,-12,-2,17,2
SEA,59,5.79,.681,110,990,776,8790.0,4040,2930,1008,102,101,.975,-25,-3,-60,-8
SFG,45,4.79,.689,107,963,725,8757.0,4000,2919,1015,66,91,.984,8,1,32,4
STL,38,4.37,.700,106,954,691,8475.0,3921,2825,1051,45,114,.989,24,3,34,5
TBR,45,3.88,.702,109,981,749,8922.0,4010,2974,983,53,92,.987,31,4,31,4
TEX,43,5.32,.671,107,963,768,8562.0,3805,2854,885,66,103,.983,-28,-4,-55,-1
TOR,49,5.13,.676,109,981,791,8703.0,3991,2901,1027,63,94,.984,-1,0,-10,-1
WSN,43,4.56,.677,107,963,778,8520.0,3791,2840,888,63,72,.983,-22,-3,-25,-4
