Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ATL,42,4.00,.689,162,1458,1086,13221.0,6346,4407,1809,130,143,.980,38,3
BAL,44,5.54,.681,163,1467,1109,13218.0,6233,4406,1730,97,173,.984,-30,-3
BOS,54,5.69,.665,162,1458,1034,13122.0,6147,4374,1638,135,152,.978,-77,-7
ANA,51,5.86,.683,161,1449,1138,12951.0,6147,4317,1702,128,156,.979,-6,-1
CHC,41,4.76,.702,162,1458,1048,13107.0,6240,4369,1767,104,147,.983,91,8
CHW,43,4.90,.687,162,1458,1059,13149.0,6066,4383,1574,109,145,.982,-16,-1
CIN,48,4.77,.690,162,1458,1023,12987.0,6144,4329,1694,121,145,.980,-40,-4
CLE,44,4.78,.682,161,1449,1133,13071.0,6246,4357,1765,124,156,.980,-13,-1
COL,44,5.95,.674,162,1458,1105,12804.0,6318,4268,1901,149,167,.976,-5,0
DET,53,6.81,.668,162,1458,1127,12894.0,6162,4298,1727,137,157,.978,-77,-7
FLA,46,4.34,.692,162,1458,1088,12987.0,6236,4329,1796,111,187,.982,48,4
HOU,43,4.89,.667,162,1458,1064,13023.0,6171,4341,1692,138,130,.978,8,1
KCR,40,4.88,.685,161,1449,1015,13050.0,6165,4350,1704,111,184,.982,6,1
LAD,38,4.02,.690,162,1458,1082,13197.0,6160,4399,1636,125,143,.980,-33,-3
MIL,48,5.55,.692,162,1458,1034,13026.0,6169,4342,1693,134,180,.978,8,1
MIN,38,5.56,.694,162,1458,1096,12957.0,5932,4319,1519,94,142,.984,34,3
WSN,37,4.12,.696,162,1458,1039,12972.0,6163,4324,1713,126,121,.980,1,0
NYM,40,4.81,.678,162,1458,1048,12960.0,6196,4320,1717,159,163,.974,80,7
NYY,47,4.86,.682,162,1458,1084,12960.0,6024,4320,1613,91,146,.985,-45,-4
OAK,43,5.56,.682,162,1458,987,13107.0,6250,4369,1778,103,195,.984,-53,-5
PHI,54,4.88,.686,162,1458,1174,12810.0,5968,4270,1582,116,145,.981,2,0
PIT,46,5.14,.673,162,1458,1072,13080.0,6356,4360,1868,128,144,.980,-45,-4
SDP,41,4.21,.698,162,1458,1101,13401.0,6353,4467,1768,118,136,.981,-27,-2
SEA,48,5.56,.683,161,1449,1068,12885.0,5947,4295,1542,110,155,.982,50,5
SFG,49,5.32,.686,162,1458,1080,12981.0,6100,4327,1637,136,165,.978,26,2
STL,38,4.36,.706,162,1458,1098,13071.0,6148,4357,1666,125,139,.980,78,7
TEX,38,4.90,.684,163,1467,1156,13044.0,6082,4348,1647,87,150,.986,23,2
TOR,40,4.99,.691,162,1458,1140,13011.0,6055,4337,1608,110,187,.982,-19,-2
