Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,45,4.07,.687,162,1458,1090,12969.0,6035,4323,1604,108,140,.982,-4,0,13,0
ATL,48,5.07,.683,162,1458,1146,12972.0,5999,4324,1578,97,137,.984,-28,-3,-22,-2
BAL,50,5.19,.683,162,1458,1083,12969.0,6026,4323,1609,94,175,.984,-9,-1,-19,0
BOS,49,4.12,.680,162,1458,1162,13341.0,5944,4447,1390,107,126,.982,14,1,71,6
CHC,47,4.29,.699,162,1458,921,13026.0,6093,4342,1656,95,139,.984,34,3,24,2
CHW,51,5.06,.700,162,1458,1184,12795.0,5920,4265,1541,114,157,.981,20,2,-13,0
CIN,47,5.36,.691,162,1458,1154,12870.0,5994,4290,1623,81,132,.986,-20,-2,28,0
CLE,41,3.48,.683,162,1458,1072,12966.0,5845,4322,1447,76,167,.987,41,4,35,3
COL,41,4.67,.683,162,1458,1142,12939.0,6120,4313,1730,77,168,.987,17,2,8,1
DET,48,5.52,.668,162,1458,1119,12783.0,5734,4261,1389,84,146,.985,-53,-5,-68,-1
HOU,46,4.32,.682,162,1458,1044,13014.0,5963,4338,1526,99,153,.983,-16,-2,-10,-1
KCR,49,4.88,.685,162,1458,1126,12939.0,5916,4313,1524,79,145,.987,-19,-2,-40,-1
ANA,55,4.38,.700,162,1458,1125,12966.0,5864,4322,1462,80,135,.986,42,4,32,3
LAD,52,3.58,.703,162,1458,1026,13002.0,5789,4334,1367,88,131,.985,25,2,68,1
FLA,43,5.07,.691,162,1458,1165,12984.0,5955,4328,1554,73,156,.988,-4,0,13,0
MIL,50,4.30,.684,162,1458,1035,13011.0,6076,4337,1624,115,164,.981,7,1,24,0
MIN,52,4.86,.692,162,1458,1130,12924.0,5863,4308,1477,78,143,.987,42,4,22,0
NYM,51,5.33,.667,162,1458,1125,12912.0,5852,4304,1456,92,125,.984,-67,-6,-73,-7
NYY,51,4.07,.703,162,1458,1131,13038.0,5909,4346,1468,95,102,.984,31,3,19,0
OAK,54,5.10,.686,162,1458,1111,12879.0,6011,4293,1597,121,162,.980,-39,-4,-47,-4
PHI,51,4.83,.683,162,1458,1132,12969.0,5902,4323,1497,82,145,.986,-35,-3,-55,-1
PIT,46,4.51,.679,162,1458,1074,12966.0,6083,4322,1662,99,156,.984,-27,-2,8,1
SDP,52,5.04,.683,162,1458,1080,12876.0,6028,4292,1623,113,177,.981,0,0,1,0
SEA,61,4.77,.700,162,1458,1154,12963.0,5846,4321,1422,103,147,.982,13,1,6,0
SFG,49,4.79,.679,162,1458,1081,13068.0,5965,4356,1522,87,127,.985,-22,-2,-42,-4
STL,47,4.35,.687,162,1458,1100,13053.0,6039,4351,1594,94,164,.984,19,2,34,1
TBD,53,4.35,.701,162,1458,1129,13005.0,5868,4335,1433,100,129,.983,21,2,59,5
TEX,51,5.04,.695,162,1458,1131,12909.0,6027,4303,1616,108,173,.982,48,4,0,0
TOR,60,4.84,.682,162,1458,1073,13185.0,6057,4395,1570,92,145,.985,-31,-3,-16,-1
WSN,49,4.15,.698,162,1458,1118,13020.0,5860,4340,1434,86,139,.985,4,0,-42,-1
