Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.49,.696,94,846,626,7650.0,3501,2550,910,41,76,.988,35,6,50,8
ATL,39,4.66,.688,95,855,680,7683.0,3510,2561,895,54,86,.985,-4,-1,23,4
BAL,48,6.16,.689,93,837,589,7380.0,3339,2460,809,70,85,.979,9,1,-61,-10
BOS,42,5.09,.671,94,846,665,7698.0,3454,2566,829,59,59,.983,-15,-2,-11,0
CHC,40,4.43,.690,94,846,593,7539.0,3591,2513,1010,68,90,.981,26,4,7,1
CHW,42,5.28,.675,90,810,626,7005.0,3217,2335,812,70,94,.978,-11,-2,-30,-5
CIN,33,4.02,.690,91,819,566,7263.0,3296,2421,824,51,81,.985,-3,-1,31,5
CLE,42,4.23,.695,92,828,659,7302.0,3255,2434,769,52,54,.984,13,2,18,3
COL,41,5.71,.674,94,846,655,7632.0,3617,2544,1018,55,93,.985,2,0,-23,-1
DET,45,5.53,.676,90,810,677,7167.0,3285,2389,835,61,66,.981,-49,-8,-35,-6
HOU,38,4.21,.723,95,855,636,7698.0,3388,2566,779,43,47,.987,36,6,26,4
KCR,39,5.18,.680,95,855,706,7503.0,3421,2501,881,39,92,.989,4,1,17,3
ANA,46,4.96,.702,95,855,636,7554.0,3363,2518,795,50,65,.985,8,1,-5,0
LAD,39,3.82,.714,96,864,597,7707.0,3483,2569,852,62,65,.982,38,6,60,2
FLA,40,4.54,.698,91,819,585,7320.0,3273,2440,785,48,83,.985,-19,-3,3,0
MIL,39,5.00,.678,95,855,628,7740.0,3480,2580,845,55,81,.984,-12,-2,22,3
MIN,40,4.37,.694,92,828,653,7497.0,3362,2499,805,58,70,.983,31,5,44,7
NYM,45,5.14,.670,93,837,536,7449.0,3353,2483,803,67,69,.980,-50,-8,-61,-10
NYY,43,4.34,.686,92,828,656,7395.0,3331,2465,796,70,76,.979,0,0,-15,0
OAK,37,4.26,.710,95,855,695,7737.0,3474,2579,844,51,60,.985,10,2,2,0
PHI,43,4.97,.685,94,846,667,7524.0,3454,2508,890,56,73,.984,4,1,3,1
PIT,45,5.34,.671,93,837,608,7443.0,3392,2481,850,61,71,.982,-23,-4,-26,-4
SDP,41,4.87,.688,93,837,601,7467.0,3396,2489,843,64,57,.981,-1,0,12,0
SEA,53,5.96,.676,97,873,692,7746.0,3552,2582,875,95,87,.973,-29,-5,-62,-2
SFG,43,4.86,.684,94,846,637,7560.0,3463,2520,881,62,75,.982,-3,0,32,1
STL,37,4.34,.706,92,828,608,7341.0,3409,2447,920,42,99,.988,25,4,30,1
TBD,43,3.65,.706,96,864,662,7860.0,3559,2620,890,49,82,.986,41,6,35,1
TEX,41,5.19,.672,94,846,672,7569.0,3363,2523,785,55,93,.984,-18,-3,-45,-1
TOR,45,5.22,.680,95,855,688,7551.0,3481,2517,908,56,81,.984,-1,0,-19,0
WSN,42,4.54,.678,92,828,670,7332.0,3266,2444,767,55,64,.983,-19,-3,-33,-5
