Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.56,.696,109,981,723,8835.0,4032,2945,1038,49,83,.988,37,5,60,8
ATL,41,4.83,.686,109,981,776,8790.0,3993,2930,1006,57,100,.986,-1,0,22,3
BAL,50,6.08,.693,107,963,669,8544.0,3851,2848,924,79,94,.979,7,1,-75,-2
BOS,43,5.15,.668,109,981,759,8886.0,3987,2962,957,68,70,.983,-17,-2,-17,-2
CHC,44,4.31,.691,107,963,673,8604.0,4071,2868,1129,74,99,.982,29,4,11,2
CHW,44,5.25,.678,105,945,734,8220.0,3813,2740,990,83,113,.978,-10,-1,-36,-1
CIN,37,4.23,.691,106,954,648,8463.0,3842,2821,964,57,95,.985,-1,0,33,1
CLE,42,4.04,.699,107,963,767,8559.0,3811,2853,900,58,69,.985,33,5,32,1
COL,43,5.73,.673,109,981,758,8793.0,4157,2931,1161,65,107,.984,0,0,-27,-1
DET,46,5.53,.673,105,945,792,8391.0,3846,2797,975,74,81,.981,-58,-8,-42,-1
HOU,39,4.07,.722,109,981,723,8823.0,3889,2941,897,51,54,.987,36,5,39,5
KCR,42,5.17,.679,110,990,809,8745.0,3984,2915,1021,48,107,.988,5,1,15,0
LAA,49,5.08,.695,110,990,744,8823.0,3963,2941,958,64,80,.984,0,0,-6,0
LAD,41,3.91,.709,110,990,683,8808.0,4001,2936,985,80,75,.980,39,5,61,8
MIA,40,4.57,.702,106,954,694,8499.0,3784,2833,896,55,92,.985,-14,-2,13,0
MIL,40,4.98,.681,109,981,715,8877.0,3974,2959,954,61,91,.985,-11,-2,30,1
MIN,42,4.52,.685,107,963,757,8712.0,3918,2904,942,72,87,.982,21,3,24,3
NYM,45,4.84,.674,107,963,609,8682.0,3908,2894,937,77,87,.980,-47,-6,-63,-1
NYY,43,4.67,.680,107,963,765,8583.0,3848,2861,908,79,85,.979,2,0,-3,0
OAK,40,4.35,.710,110,990,794,8949.0,4028,2983,988,57,74,.986,23,3,9,0
PHI,45,4.97,.688,107,963,757,8640.0,3964,2880,1021,63,85,.984,9,1,4,0
PIT,45,5.36,.677,108,972,713,8631.0,3936,2877,983,76,80,.981,-28,-4,-32,-4
SDP,43,4.80,.683,107,963,693,8568.0,3891,2856,959,76,68,.980,-12,-2,14,0
SEA,59,5.82,.679,111,999,783,8862.0,4067,2954,1010,103,101,.975,-28,-4,-65,-1
SFG,45,4.75,.690,108,972,733,8838.0,4035,2946,1023,66,92,.984,9,1,33,1
STL,38,4.35,.700,107,963,698,8556.0,3961,2852,1062,47,115,.988,24,3,35,1
TBR,45,3.89,.701,110,990,754,9003.0,4046,3001,991,54,92,.987,28,4,27,4
TEX,43,5.33,.671,108,972,776,8643.0,3844,2881,895,68,104,.982,-30,-4,-59,-8
TOR,49,5.09,.678,110,990,796,8784.0,4027,2928,1036,63,95,.984,4,1,-4,0
WSN,43,4.56,.677,108,972,785,8610.0,3833,2870,900,63,73,.984,-22,-3,-26,-1
