Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.55,.697,110,990,731,8916.0,4068,2972,1047,49,83,.988,38,5,58,1
ATL,42,4.79,.687,111,999,792,8925.0,4055,2975,1022,58,101,.986,-1,0,15,2
BAL,51,6.12,.693,109,981,680,8706.0,3924,2902,943,79,95,.980,6,1,-74,-2
BOS,43,5.17,.668,111,999,775,9039.0,4059,3013,978,68,75,.983,-18,-2,-15,-2
CHC,47,4.32,.690,109,981,685,8757.0,4142,2919,1149,74,101,.982,29,4,15,0
CHW,44,5.21,.678,107,963,748,8436.0,3917,2812,1020,85,116,.978,-6,-1,-32,-5
CIN,38,4.20,.692,108,972,662,8598.0,3901,2866,977,58,96,.985,2,0,34,1
CLE,44,4.06,.700,109,981,783,8721.0,3879,2907,914,58,72,.985,34,5,32,1
COL,43,5.72,.673,110,990,764,8874.0,4196,2958,1173,65,108,.985,0,0,-28,-1
DET,47,5.53,.672,106,954,800,8463.0,3879,2821,982,76,83,.980,-60,-9,-43,-6
HOU,40,4.03,.723,111,999,737,8985.0,3960,2995,914,51,55,.987,38,5,39,1
KCR,42,5.23,.679,111,999,812,8817.0,4018,2939,1031,48,107,.988,2,0,11,2
ANA,50,5.10,.694,111,999,749,8895.0,3995,2965,966,64,81,.984,-1,0,-6,0
LAD,42,3.90,.707,112,1008,694,8970.0,4079,2990,1007,82,77,.980,36,5,62,8
FLA,40,4.56,.702,107,963,698,8607.0,3830,2869,906,55,93,.986,-14,-2,12,0
MIL,42,4.99,.681,111,999,729,9021.0,4045,3007,974,64,92,.984,-14,-2,33,4
MIN,43,4.57,.684,109,981,772,8892.0,3998,2964,959,75,88,.981,18,2,16,2
NYM,45,4.83,.675,109,981,622,8835.0,3979,2945,955,79,89,.980,-47,-6,-65,-9
NYY,43,4.65,.682,108,972,773,8664.0,3883,2888,916,79,85,.980,4,1,-2,0
OAK,40,4.33,.710,111,999,799,9030.0,4062,3010,994,58,74,.986,22,3,8,1
PHI,47,4.94,.686,109,981,764,8856.0,4066,2952,1047,67,89,.984,9,1,10,1
PIT,45,5.35,.677,109,981,720,8712.0,3978,2904,996,78,80,.980,-27,-4,-33,-1
SDP,43,4.81,.684,109,981,706,8721.0,3957,2907,975,75,69,.981,-12,-2,12,0
SEA,61,5.86,.679,112,1008,791,8934.0,4104,2978,1021,105,102,.974,-28,-4,-61,-1
SFG,48,4.80,.690,110,990,746,8982.0,4103,2994,1042,67,95,.984,8,1,31,1
STL,38,4.31,.701,108,972,704,8637.0,3994,2879,1068,47,115,.988,25,3,32,4
TBD,46,3.89,.701,111,999,762,9084.0,4077,3028,996,53,92,.987,28,4,31,4
TEX,44,5.32,.670,109,981,784,8724.0,3879,2908,903,68,104,.982,-32,-4,-59,-1
TOR,52,5.04,.679,112,1008,809,8946.0,4101,2982,1055,64,97,.984,5,1,-5,-1
WSN,45,4.52,.679,109,981,793,8691.0,3868,2897,910,61,74,.984,-19,-3,-22,-3
