Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.56,.696,109,981,723,8835.0,4032,2945,1038,49,83,.988,37,5,59,8
ATL,41,4.79,.687,110,990,785,8844.0,4023,2948,1017,58,101,.986,-1,0,22,0
BAL,51,6.13,.692,108,972,672,8625.0,3883,2875,929,79,94,.980,5,1,-74,-2
BOS,43,5.18,.668,110,990,767,8967.0,4026,2989,969,68,72,.983,-19,-3,-17,-2
CHC,47,4.34,.690,108,972,680,8676.0,4103,2892,1137,74,100,.982,28,4,12,2
CHW,44,5.24,.678,106,954,742,8301.0,3855,2767,1004,84,115,.978,-8,-1,-36,-5
CIN,38,4.22,.691,107,963,656,8517.0,3868,2839,971,58,95,.985,-1,0,36,5
CLE,44,4.06,.699,108,972,775,8640.0,3847,2880,909,58,71,.985,33,5,32,1
COL,43,5.73,.673,109,981,758,8793.0,4157,2931,1161,65,107,.984,0,0,-27,-1
DET,46,5.53,.673,105,945,792,8391.0,3846,2797,975,74,81,.981,-58,-8,-43,-6
HOU,40,4.05,.722,110,990,729,8904.0,3926,2968,907,51,55,.987,37,5,41,5
KCR,42,5.17,.679,110,990,809,8745.0,3984,2915,1021,48,107,.988,5,1,13,2
ANA,49,5.08,.695,110,990,744,8823.0,3963,2941,958,64,80,.984,0,0,-7,-1
LAD,41,3.89,.709,111,999,688,8889.0,4039,2963,995,81,75,.980,39,5,61,8
FLA,40,4.56,.702,107,963,698,8607.0,3830,2869,906,55,93,.986,-13,-2,12,2
MIL,41,4.98,.682,110,990,721,8949.0,4007,2983,963,61,92,.985,-11,-1,33,1
MIN,43,4.53,.685,108,972,764,8811.0,3956,2937,946,73,87,.982,19,3,20,0
NYM,45,4.80,.675,108,972,614,8763.0,3947,2921,948,78,88,.980,-44,-6,-63,-1
NYY,43,4.67,.680,107,963,765,8583.0,3848,2861,908,79,85,.979,2,0,-4,0
OAK,40,4.33,.710,111,999,799,9030.0,4062,3010,994,58,74,.986,22,3,10,0
PHI,46,4.94,.686,108,972,760,8721.0,4002,2907,1029,66,88,.984,6,1,3,0
PIT,45,5.36,.677,108,972,713,8631.0,3937,2877,983,77,80,.980,-28,-4,-34,-5
SDP,43,4.83,.682,108,972,700,8640.0,3923,2880,968,75,69,.981,-13,-2,11,0
SEA,59,5.82,.679,111,999,783,8862.0,4068,2954,1010,104,101,.974,-28,-4,-64,-9
SFG,47,4.80,.690,109,981,738,8910.0,4068,2970,1031,67,93,.984,9,1,31,4
STL,38,4.31,.701,108,972,704,8637.0,3994,2879,1068,47,115,.988,25,3,33,5
TBD,46,3.89,.701,111,999,762,9084.0,4077,3028,996,53,92,.987,28,4,30,4
TEX,43,5.33,.671,108,972,776,8643.0,3844,2881,895,68,104,.982,-30,-4,-57,-1
TOR,52,5.06,.679,111,999,803,8865.0,4064,2955,1046,63,97,.984,5,1,-4,-1
WSN,43,4.56,.677,108,972,785,8610.0,3831,2870,900,61,73,.984,-21,-3,-27,-4
