Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ANA,45,5.36,.699,162,1458,1143,13032.0,6224,4344,1746,134,182,.978,71,7
ARI,41,4.65,.687,162,1458,1132,12993.0,5979,4331,1541,107,138,.982,17,2
ATL,46,4.41,.692,162,1458,1114,12963.0,6183,4321,1733,129,138,.979,36,3
BAL,48,5.64,.684,162,1458,1186,12900.0,5994,4300,1578,116,151,.981,-21,-2
BOS,50,4.60,.696,162,1458,1071,13074.0,6114,4358,1647,109,120,.982,38,3
CHC,50,5.58,.693,162,1458,1069,13092.0,6038,4364,1574,100,139,.983,6,1
CHW,41,5.18,.685,162,1458,1130,13053.0,6170,4351,1686,133,190,.978,6,1
CIN,45,4.69,.702,163,1467,1017,13107.0,6119,4369,1639,111,156,.982,48,4
CLE,55,5.04,.678,162,1458,1136,12981.0,6064,4327,1665,72,147,.988,-14,-1
COL,49,5.54,.684,162,1458,1103,12870.0,6111,4290,1727,94,176,.985,55,5
DET,44,5.10,.679,162,1458,1059,12990.0,6189,4330,1754,105,171,.983,4,0
FLA,39,4.95,.684,161,1449,1072,12867.0,6124,4289,1710,125,144,.980,-11,-1
HOU,45,5.83,.678,162,1458,1039,12939.0,6007,4313,1561,133,149,.978,-53,-5
KCR,44,5.74,.689,162,1458,1168,12954.0,6171,4318,1751,102,185,.983,44,4
LAD,45,4.50,.696,162,1458,1115,13005.0,6187,4335,1717,135,151,.978,6,1
MIL,46,5.07,.693,163,1467,1144,13197.0,6264,4399,1747,118,187,.981,29,3
MIN,41,5.43,.671,162,1458,1108,12894.0,5926,4298,1526,102,155,.983,-46,-4
WSN,49,5.57,.672,162,1458,978,12822.0,6109,4274,1703,132,151,.978,-37,-3
NYM,47,4.56,.696,162,1458,956,13050.0,6050,4350,1582,118,121,.980,11,1
NYY,46,5.06,.693,161,1449,1068,12819.0,5869,4273,1487,109,132,.981,-22,-2
OAK,43,5.05,.680,161,1449,1035,12918.0,6166,4306,1726,134,164,.978,-46,-4
PHI,51,5.12,.693,162,1458,1148,12948.0,5907,4316,1491,100,136,.983,13,1
PIT,46,5.48,.673,162,1458,1101,13041.0,6307,4347,1828,132,169,.979,-59,-5
SDP,55,5.03,.696,162,1458,1048,13134.0,6189,4378,1670,141,155,.977,-6,-1
SEA,37,4.81,.698,162,1458,1047,12975.0,6053,4325,1629,99,176,.984,29,3
SFG,36,4.61,.689,162,1458,975,12999.0,6070,4333,1644,93,173,.985,6,1
STL,46,4.76,.699,162,1458,1021,12903.0,5936,4301,1524,111,148,.981,43,4
TBD,49,5.23,.684,161,1449,1129,12882.0,6226,4294,1814,118,169,.981,10,1
TEX,41,6.01,.667,162,1458,1102,12861.0,6016,4287,1594,135,162,.978,-62,-6
TOR,45,5.60,.676,162,1458,1237,12936.0,6091,4312,1679,100,176,.984,1,0
