Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.53,.696,103,927,686,8379.0,3829,2793,991,45,79,.988,36,5,55,1
ATL,39,4.76,.687,103,927,735,8313.0,3780,2771,952,57,94,.985,-3,0,25,1
BAL,48,6.09,.689,101,909,637,8010.0,3621,2670,874,77,92,.979,6,1,-77,-12
BOS,43,5.08,.672,104,936,724,8481.0,3807,2827,917,63,67,.983,-12,-2,-19,0
CHC,42,4.38,.690,102,918,646,8217.0,3904,2739,1094,71,97,.982,30,4,12,2
CHW,44,5.24,.676,100,900,699,7797.0,3607,2599,931,77,107,.979,-11,-2,-36,-5
CIN,36,4.15,.691,100,900,614,7977.0,3624,2659,909,56,91,.985,-2,0,29,1
CLE,42,4.05,.701,102,918,729,8163.0,3629,2721,853,55,65,.985,30,4,32,5
COL,43,5.84,.670,103,927,717,8325.0,3935,2775,1097,63,100,.984,-8,-1,-31,-1
DET,45,5.64,.675,99,891,745,7923.0,3640,2641,927,72,75,.980,-55,-8,-32,-1
HOU,38,4.09,.722,104,936,690,8436.0,3722,2812,861,49,52,.987,36,5,33,1
KCR,42,5.06,.679,104,936,765,8259.0,3769,2753,972,44,101,.988,8,1,14,0
LAA,47,4.96,.698,103,927,694,8193.0,3664,2731,880,53,73,.986,6,1,-6,0
LAD,39,3.85,.713,104,936,640,8340.0,3778,2780,923,75,70,.980,33,5,61,9
MIA,40,4.57,.698,100,900,651,8013.0,3570,2671,847,52,87,.985,-19,-3,9,1
MIL,39,5.02,.677,104,936,685,8460.0,3802,2820,923,59,89,.984,-13,-2,29,4
MIN,41,4.62,.684,102,918,721,8316.0,3745,2772,905,68,84,.982,20,3,35,1
NYM,45,4.94,.673,102,918,585,8259.0,3716,2753,892,71,81,.981,-46,-7,-56,-1
NYY,43,4.57,.684,102,918,727,8196.0,3678,2732,871,75,84,.980,3,0,-13,-2
OAK,39,4.36,.711,105,945,760,8535.0,3843,2845,943,55,70,.986,23,3,7,0
PHI,45,4.87,.688,102,918,723,8235.0,3778,2745,973,60,79,.984,9,1,5,0
PIT,45,5.32,.675,102,918,668,8190.0,3737,2730,937,70,78,.981,-26,-4,-22,-1
SDP,43,4.85,.685,102,918,662,8145.0,3702,2715,914,73,65,.980,-7,-1,12,0
SEA,57,5.92,.681,106,954,750,8457.0,3882,2819,964,99,93,.974,-26,-4,-64,-2
SFG,45,4.82,.689,103,927,701,8433.0,3853,2811,978,64,86,.983,6,1,27,1
STL,38,4.36,.702,102,918,666,8151.0,3773,2717,1013,43,110,.989,22,3,30,4
TBR,44,3.79,.704,105,945,725,8580.0,3867,2860,955,52,89,.987,34,5,33,1
TEX,43,5.32,.671,103,927,738,8253.0,3657,2751,846,60,98,.984,-25,-4,-53,-1
TOR,47,5.12,.678,104,936,755,8271.0,3789,2757,973,59,89,.984,2,0,-13,0
WSN,43,4.48,.677,102,918,746,8115.0,3613,2705,850,58,71,.984,-21,-3,-26,-1
