Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.56,.695,107,963,712,8682.0,3969,2894,1027,48,83,.988,36,5,57,1
ATL,41,4.80,.685,107,963,761,8619.0,3914,2873,984,57,97,.985,-5,-1,21,3
BAL,50,6.09,.693,106,954,663,8463.0,3818,2821,919,78,94,.980,9,1,-76,-2
BOS,43,5.11,.670,107,963,744,8724.0,3919,2908,944,67,70,.983,-15,-2,-15,0
CHC,44,4.37,.692,105,945,663,8451.0,4004,2817,1115,72,99,.982,32,4,14,2
CHW,44,5.26,.677,103,927,719,8040.0,3726,2680,965,81,111,.978,-9,-1,-38,-6
CIN,37,4.19,.690,104,936,637,8301.0,3772,2767,948,57,94,.985,-1,0,35,5
CLE,42,4.06,.699,105,945,751,8397.0,3736,2799,880,57,67,.985,30,4,28,1
COL,43,5.71,.673,107,963,744,8631.0,4084,2877,1144,63,106,.985,-2,0,-27,-1
DET,45,5.57,.673,103,927,776,8238.0,3775,2746,957,72,77,.981,-58,-8,-42,-6
HOU,38,4.06,.721,107,963,707,8670.0,3824,2890,883,51,54,.987,35,5,39,5
KCR,42,5.15,.679,108,972,793,8583.0,3908,2861,1001,46,106,.988,8,1,17,2
LAA,48,5.08,.694,108,972,729,8661.0,3888,2887,938,63,79,.984,-1,0,-9,0
LAD,40,3.94,.709,108,972,667,8646.0,3921,2882,960,79,73,.980,34,5,58,8
MIA,40,4.57,.701,104,936,682,8337.0,3713,2779,879,55,90,.985,-17,-2,9,1
MIL,39,5.03,.680,107,963,701,8712.0,3901,2904,938,59,90,.985,-10,-1,29,1
MIN,41,4.56,.684,105,945,743,8550.0,3850,2850,929,71,87,.982,18,3,25,4
NYM,45,4.90,.674,105,945,600,8502.0,3828,2834,919,75,85,.980,-46,-6,-58,-8
NYY,43,4.68,.680,105,945,751,8421.0,3774,2807,889,78,84,.979,0,0,-10,0
OAK,39,4.37,.710,108,972,779,8778.0,3951,2926,968,57,72,.986,22,3,7,1
PHI,45,5.00,.686,105,945,741,8478.0,3892,2826,1003,63,82,.984,5,1,0,0
PIT,45,5.39,.677,106,954,699,8478.0,3862,2826,962,74,79,.981,-26,-4,-35,-1
SDP,43,4.77,.685,106,954,686,8487.0,3859,2829,954,76,68,.980,-10,-1,14,2
SEA,58,5.80,.682,109,981,770,8709.0,4000,2903,996,101,99,.975,-25,-3,-63,-1
SFG,45,4.79,.690,106,954,719,8685.0,3969,2895,1008,66,91,.983,9,1,31,1
STL,38,4.40,.700,105,945,686,8394.0,3886,2798,1043,45,113,.988,22,3,36,1
TBR,44,3.87,.703,108,972,744,8841.0,3979,2947,979,53,91,.987,32,4,30,4
TEX,43,5.29,.673,106,954,761,8481.0,3769,2827,879,63,103,.983,-26,-4,-50,-7
TOR,49,5.16,.677,108,972,783,8622.0,3949,2874,1015,60,93,.985,0,0,-11,0
WSN,43,4.50,.678,106,954,773,8439.0,3751,2813,877,61,72,.984,-19,-3,-23,-3
