Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ANA,37,4.51,.700,162,1458,1127,12939.0,6106,4313,1690,103,142,.983,39,4
ARI,45,4.18,.703,162,1458,1086,13137.0,6022,4379,1559,84,148,.986,49,5
ATL,47,3.97,.702,162,1458,1116,13026.0,6081,4342,1636,103,133,.983,61,6
BAL,46,5.12,.694,162,1458,1173,12891.0,6021,4297,1599,125,137,.979,-13,-1
BOS,48,4.63,.684,161,1449,1133,13032.0,6015,4344,1558,113,129,.981,-50,-5
CHC,43,4.33,.688,162,1458,966,12933.0,5913,4311,1493,109,113,.982,-12,-1
CHW,41,4.91,.698,162,1458,1090,12900.0,6149,4300,1731,118,149,.981,7,1
CIN,49,5.25,.684,162,1458,1033,12984.0,6199,4328,1733,138,136,.978,-39,-4
CLE,43,5.07,.670,162,1458,1055,13020.0,6057,4340,1610,107,137,.982,-49,-4
COL,52,5.59,.691,162,1458,1107,12870.0,6080,4290,1694,96,167,.984,61,6
DET,42,5.41,.675,162,1458,1130,12864.0,6194,4288,1775,131,164,.979,-35,-3
FLA,42,4.59,.692,162,1458,1160,12942.0,6083,4314,1666,103,174,.983,13,1
HOU,43,4.75,.692,162,1458,1061,13092.0,6136,4364,1662,110,138,.982,-3,0
KCR,44,5.30,.690,162,1458,1156,12960.0,6238,4320,1801,117,204,.981,50,5
LAD,41,4.59,.696,162,1458,1108,13056.0,6054,4352,1586,116,138,.981,-33,-3
MIL,46,4.98,.696,162,1458,1130,12927.0,6141,4309,1729,103,156,.983,-7,-1
MIN,42,4.73,.698,162,1458,1172,12972.0,5974,4324,1542,108,118,.982,30,3
WSN,46,5.01,.682,162,1458,1145,12882.0,6023,4294,1621,108,139,.982,-46,-4
NYM,43,4.40,.694,162,1458,1034,13011.0,6014,4337,1576,101,132,.983,-1,0
NYY,45,4.43,.683,161,1449,1133,13062.0,5992,4354,1529,109,132,.982,-57,-5
OAK,41,3.98,.699,162,1458,1172,13170.0,6271,4390,1756,125,151,.980,19,2
PHI,44,4.44,.699,162,1458,1212,13008.0,6030,4336,1603,91,145,.985,42,4
PIT,49,5.30,.687,162,1458,1035,12747.0,6181,4249,1799,133,168,.978,-3,0
SDP,48,5.01,.686,162,1458,1058,12966.0,6074,4322,1607,145,127,.976,-46,-4
SEA,35,3.87,.727,162,1458,1047,13185.0,6012,4395,1534,83,137,.986,104,9
SFG,41,4.62,.692,162,1458,1019,13170.0,6158,4390,1650,118,170,.981,6,1
STL,39,4.22,.703,162,1458,1055,12918.0,6080,4306,1664,110,156,.982,61,6
TBD,46,5.48,.683,162,1458,1195,12813.0,5941,4271,1531,139,144,.977,-28,-3
TEX,51,5.98,.673,162,1458,1146,12945.0,6067,4315,1638,114,167,.981,-47,-4
TOR,40,4.65,.680,162,1458,1146,13164.0,6316,4388,1831,97,184,.985,-4,0
