Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.53,.696,101,909,672,8217.0,3756,2739,973,44,79,.988,36,5,54,1
ATL,39,4.78,.686,101,909,721,8151.0,3710,2717,937,56,92,.985,-5,-1,21,3
BAL,48,6.14,.690,99,891,626,7857.0,3552,2619,859,74,88,.979,7,1,-73,-2
BOS,43,5.13,.670,101,909,710,8247.0,3706,2749,894,63,66,.983,-14,-2,-15,-2
CHC,42,4.41,.689,100,900,637,8025.0,3826,2675,1080,71,95,.981,28,4,8,0
CHW,44,5.23,.674,97,873,677,7554.0,3495,2518,901,76,104,.978,-13,-2,-35,-1
CIN,35,4.12,.691,98,882,606,7824.0,3553,2608,892,53,89,.985,-1,0,26,1
CLE,42,4.11,.698,99,891,709,7869.0,3504,2623,827,54,62,.985,20,3,27,4
COL,41,5.85,.670,99,891,689,8028.0,3804,2676,1068,60,98,.984,-5,-1,-29,-4
DET,45,5.64,.674,96,864,723,7635.0,3511,2545,898,68,73,.981,-51,-8,-32,-5
HOU,38,4.11,.722,102,918,683,8256.0,3638,2752,839,47,50,.987,34,5,32,5
KCR,41,5.12,.679,101,909,749,7971.0,3631,2657,932,42,99,.988,7,1,17,0
LAA,47,5.00,.698,101,909,679,8031.0,3587,2677,859,51,71,.986,7,1,-10,-1
LAD,39,3.84,.713,102,918,631,8178.0,3700,2726,901,73,68,.980,35,5,61,1
MIA,40,4.65,.696,98,882,635,7851.0,3506,2617,837,52,87,.985,-21,-3,7,1
MIL,39,4.94,.680,102,918,674,8298.0,3729,2766,906,57,88,.985,-9,-1,29,4
MIN,40,4.48,.689,99,891,701,8064.0,3631,2688,879,64,80,.982,27,4,36,5
NYM,45,5.00,.674,99,891,565,8016.0,3609,2672,868,69,77,.981,-43,-6,-52,-1
NYY,43,4.32,.687,99,891,707,7953.0,3568,2651,843,74,81,.979,3,0,-11,-2
OAK,39,4.31,.711,102,918,738,8283.0,3728,2761,914,53,68,.986,20,3,3,0
PHI,45,4.95,.687,100,900,708,8019.0,3683,2673,951,59,76,.984,8,1,6,0
PIT,45,5.24,.673,99,891,651,7947.0,3622,2649,905,68,77,.981,-24,-4,-26,-1
SDP,42,4.89,.685,99,891,642,7920.0,3602,2640,890,72,63,.980,-7,-1,10,2
SEA,55,5.97,.679,103,927,732,8214.0,3762,2738,928,96,91,.974,-27,-4,-65,-9
SFG,45,4.83,.690,101,909,685,8235.0,3762,2745,955,62,81,.984,8,1,28,1
STL,38,4.35,.702,99,891,650,7908.0,3664,2636,986,42,108,.989,21,3,33,5
TBR,43,3.80,.704,103,927,715,8418.0,3805,2806,947,52,88,.986,36,5,32,5
TEX,42,5.38,.669,100,900,715,8019.0,3552,2673,821,58,97,.984,-28,-4,-52,-1
TOR,47,5.17,.678,102,918,741,8100.0,3716,2700,957,59,88,.984,2,0,-16,0
WSN,42,4.55,.675,98,882,715,7791.0,3470,2597,815,58,70,.983,-22,-3,-35,-1
