Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,41,4.36,.685,162,1458,1141,12912.0,5982,4304,1565,113,137,.981,-23,-2,-31,-3
ATL,48,4.80,.692,162,1458,1147,12966.0,6220,4322,1791,107,149,.983,-7,-1,26,0
BAL,46,5.40,.687,161,1449,1112,12798.0,6027,4266,1661,100,163,.983,-4,0,-20,0
BOS,46,4.28,.698,162,1458,1092,13017.0,6021,4339,1597,85,149,.986,21,2,13,1
CHC,42,4.17,.703,161,1449,1046,13056.0,5896,4352,1445,99,118,.983,2,0,-18,-2
CHW,38,4.47,.686,163,1467,1110,13119.0,6211,4373,1730,108,155,.983,-43,-4,-36,-3
CIN,47,4.94,.671,162,1458,1063,12981.0,6008,4327,1567,114,156,.981,-38,-3,-26,-2
CLE,48,4.70,.685,162,1458,1156,12933.0,6094,4311,1689,94,182,.985,13,1,24,0
COL,49,5.07,.677,162,1458,1123,13014.0,6250,4338,1816,96,176,.985,-40,-4,-20,0
DET,46,5.29,.683,162,1458,1081,13005.0,6082,4335,1634,113,172,.981,-20,-2,-29,-3
FLA,44,4.76,.692,161,1449,1039,12918.0,5924,4306,1501,117,122,.980,-6,-1,-5,0
HOU,40,4.61,.697,161,1449,1111,12828.0,5939,4276,1596,67,142,.989,13,1,13,1
KCR,43,4.82,.688,162,1458,1076,13011.0,5981,4337,1548,96,159,.984,8,1,-65,-1
ANA,41,4.30,.691,162,1458,1119,13062.0,6091,4354,1646,91,159,.985,24,2,-6,-1
LAD,46,4.00,.690,162,1458,1027,13026.0,6238,4342,1795,101,138,.984,27,3,-11,0
MIL,42,4.25,.700,162,1458,1211,13101.0,6166,4367,1698,101,160,.984,21,2,44,4
MIN,39,4.57,.684,163,1467,1185,13131.0,6167,4377,1682,108,168,.982,-21,-2,-29,-3
NYM,49,4.41,.699,162,1458,1129,13179.0,6028,4393,1552,83,126,.986,8,1,30,0
NYY,51,4.49,.682,162,1458,1095,12975.0,5994,4325,1586,83,141,.986,7,1,-37,-3
OAK,49,4.29,.699,161,1449,1059,12915.0,5976,4305,1573,98,169,.984,20,2,57,5
PHI,38,4.20,.695,162,1458,1055,13047.0,6137,4349,1698,90,142,.985,37,3,77,7
PIT,47,5.46,.675,162,1458,1167,13095.0,6302,4365,1830,107,179,.983,-22,-2,-11,0
SDP,59,4.72,.694,162,1458,1155,13125.0,6086,4375,1626,85,149,.986,-20,-2,-14,-1
SEA,44,5.01,.679,162,1458,1158,12918.0,6059,4306,1654,99,160,.984,-18,-2,16,1
SFG,47,4.69,.685,162,1458,1034,12978.0,5815,4326,1393,96,129,.983,5,0,-32,-3
STL,43,4.48,.694,162,1458,979,13086.0,6264,4362,1817,85,156,.986,46,4,68,6
TBD,45,4.14,.708,162,1458,1141,13119.0,5958,4373,1495,90,153,.985,25,2,14,1
TEX,54,5.97,.666,162,1458,1115,12978.0,6134,4326,1676,132,191,.978,-24,-2,-53,-5
TOR,40,3.77,.703,162,1458,1154,13020.0,6123,4340,1699,84,137,.986,18,2,51,5
WSN,50,5.12,.686,161,1449,1106,12906.0,6003,4302,1578,123,143,.980,-28,-3,-5,0
