Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.48,.696,93,837,619,7578.0,3465,2526,899,40,76,.988,34,5,52,8
ATL,39,4.73,.688,93,837,666,7521.0,3440,2507,879,54,85,.984,-3,-1,19,1
BAL,48,6.18,.688,92,828,581,7299.0,3306,2433,803,70,84,.979,6,1,-63,-10
BOS,42,5.03,.671,92,828,651,7509.0,3366,2503,808,55,59,.984,-17,-3,-10,-2
CHC,40,4.42,.690,92,828,581,7377.0,3512,2459,987,66,87,.981,25,4,10,2
CHW,42,5.31,.676,88,792,610,6861.0,3150,2287,796,67,92,.979,-8,-1,-30,-5
CIN,33,3.97,.695,89,801,556,7110.0,3228,2370,810,48,79,.985,2,0,37,6
CLE,42,4.22,.695,90,810,645,7140.0,3185,2380,754,51,52,.984,13,2,11,0
COL,41,5.57,.675,91,819,641,7389.0,3496,2463,980,53,91,.985,1,0,-17,-3
DET,44,5.48,.677,88,792,661,7014.0,3215,2338,816,61,65,.981,-48,-8,-39,-7
HOU,37,4.16,.724,93,837,625,7545.0,3321,2515,765,41,47,.988,36,6,31,5
KCR,39,5.14,.683,93,837,692,7341.0,3343,2447,859,37,90,.989,11,2,20,3
LAA,45,4.97,.703,93,837,624,7392.0,3290,2464,776,50,63,.985,9,1,-8,0
LAD,38,3.84,.715,94,846,588,7518.0,3393,2506,829,58,65,.983,40,6,56,1
MIA,40,4.52,.699,90,810,578,7239.0,3239,2413,779,47,82,.985,-16,-3,1,0
MIL,39,4.98,.679,93,837,614,7578.0,3404,2526,825,53,80,.984,-11,-2,27,4
MIN,40,4.37,.694,91,819,645,7425.0,3334,2475,802,57,70,.983,31,5,44,7
NYM,45,5.17,.671,92,828,533,7368.0,3315,2456,792,67,68,.980,-50,-8,-65,-2
NYY,43,4.36,.685,90,810,640,7233.0,3258,2411,780,67,75,.979,-2,0,-16,0
OAK,37,4.29,.710,94,846,687,7656.0,3432,2552,830,50,58,.985,8,1,6,0
PHI,43,4.87,.687,92,828,654,7362.0,3377,2454,868,55,71,.984,8,1,3,0
PIT,45,5.30,.671,91,819,594,7299.0,3330,2433,837,60,68,.982,-23,-4,-24,-4
SDP,41,4.88,.688,92,828,594,7386.0,3355,2462,831,62,56,.982,-3,0,11,2
SEA,53,5.96,.675,96,864,688,7674.0,3519,2558,866,95,87,.973,-31,-5,-66,-10
SFG,43,4.96,.683,91,819,621,7317.0,3354,2439,855,60,73,.982,-11,-2,30,5
STL,37,4.41,.707,90,810,592,7179.0,3325,2393,891,41,95,.988,25,4,29,5
TBR,43,3.67,.704,94,846,646,7698.0,3486,2566,871,49,81,.986,36,6,29,1
TEX,41,5.12,.673,93,837,666,7488.0,3328,2496,779,53,92,.984,-18,-3,-43,-7
TOR,45,5.18,.682,93,837,675,7407.0,3418,2469,893,56,80,.984,1,0,-18,0
WSN,42,4.55,.677,91,819,662,7257.0,3238,2419,765,54,64,.983,-20,-3,-29,-5
