Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,34,4.48,.686,63,567,416,5184.0,2376,1728,624,24,53,.990,18,4,31,1
ATL,37,4.84,.696,61,549,441,4920.0,2223,1640,548,35,46,.984,-1,0,9,2
BAL,42,6.10,.691,61,549,391,4863.0,2212,1621,545,46,63,.979,2,1,-37,-2
BOS,38,4.70,.692,61,549,441,4905.0,2213,1635,544,34,43,.985,-1,0,1,0
CHC,36,4.33,.685,60,540,385,4878.0,2328,1626,657,45,58,.981,10,3,13,3
CHW,36,5.08,.683,61,549,423,4704.0,2156,1568,537,51,62,.976,-2,0,-8,-2
CIN,31,3.77,.691,60,540,374,4812.0,2182,1604,553,25,54,.989,0,0,24,6
CLE,39,4.25,.691,61,549,436,4800.0,2145,1600,507,38,35,.982,6,2,1,0
COL,38,5.30,.684,60,540,429,4890.0,2312,1630,653,29,60,.987,10,3,-14,-1
DET,40,5.24,.691,59,531,443,4722.0,2173,1574,554,45,48,.979,-20,-5,-17,-4
HOU,32,3.67,.738,63,567,437,5022.0,2202,1674,504,24,29,.989,31,8,34,8
KCR,36,5.34,.677,61,549,458,4800.0,2185,1600,563,22,59,.990,-2,-1,5,0
ANA,41,5.06,.703,62,558,426,4932.0,2186,1644,511,31,39,.986,4,1,-7,-2
LAD,34,3.75,.721,63,567,395,5052.0,2295,1684,579,32,47,.986,32,8,49,2
FLA,35,4.51,.699,59,531,379,4722.0,2141,1574,534,33,56,.985,-4,-1,-3,-1
MIL,37,5.00,.685,62,558,410,5079.0,2279,1693,550,36,53,.984,-8,-2,13,1
MIN,36,4.20,.697,60,540,427,4761.0,2107,1587,490,30,36,.986,26,7,26,7
NYM,41,4.92,.669,61,549,339,4926.0,2220,1642,534,44,51,.980,-38,-9,-41,-10
NYY,40,4.15,.697,60,540,425,4824.0,2166,1608,512,46,47,.979,4,1,-15,-4
OAK,31,4.48,.716,62,558,451,5082.0,2268,1694,543,31,42,.986,1,0,6,1
PHI,39,4.60,.690,62,558,433,5007.0,2301,1669,598,34,50,.985,3,1,-1,0
PIT,43,5.48,.680,60,540,394,4860.0,2210,1620,551,39,49,.982,-11,-3,-13,-3
SDP,38,4.48,.701,62,558,401,4950.0,2233,1650,547,36,30,.984,2,0,21,1
SEA,47,6.09,.671,65,585,463,5178.0,2393,1726,598,69,58,.971,-35,-8,-56,-13
SFG,40,5.17,.690,60,540,409,4833.0,2214,1611,558,45,46,.980,-1,0,28,1
STL,35,4.54,.708,59,531,389,4695.0,2174,1565,580,29,61,.987,9,2,13,3
TBD,38,3.36,.707,59,531,406,4830.0,2190,1610,552,28,54,.987,25,6,30,1
TEX,34,5.24,.668,59,531,425,4734.0,2097,1578,488,31,59,.985,-23,-6,-33,-1
TOR,42,4.85,.689,61,549,439,4860.0,2246,1620,584,42,49,.981,4,1,-17,-4
WSN,39,5.03,.664,61,549,442,4830.0,2146,1610,492,44,43,.979,-29,-7,-33,-1
