Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,48,4.25,.685,162,1458,1206,12903.0,6067,4301,1676,90,146,.985,-13,-1,32,3
ATL,41,3.70,.703,162,1458,1194,13008.0,6076,4336,1654,86,147,.986,100,9,86,1
BAL,51,4.35,.699,162,1458,1153,13347.0,6235,4449,1680,106,151,.983,16,1,-4,0
BOS,56,4.98,.689,162,1458,1108,12987.0,6117,4329,1687,101,159,.983,45,4,58,5
CHC,53,4.69,.692,162,1458,1092,12723.0,5929,4241,1583,105,148,.982,12,1,-12,-1
CHW,45,4.17,.702,162,1458,1145,13011.0,5985,4337,1578,70,154,.988,57,5,8,1
CIN,38,3.63,.699,162,1458,1153,13077.0,6050,4359,1602,89,113,.985,24,2,58,5
CLE,47,5.22,.685,162,1458,1104,12978.0,6087,4326,1665,96,157,.984,-19,-2,-66,-6
COL,49,5.49,.657,162,1458,1117,12798.0,6106,4266,1718,122,139,.980,-62,-6,-115,-2
DET,46,4.14,.678,162,1458,1088,12876.0,5872,4292,1481,99,127,.983,-58,-5,-34,-3
HOU,50,4.90,.675,162,1458,1069,12810.0,6117,4270,1729,118,132,.981,-70,-7,-71,-1
KCR,45,4.60,.673,162,1458,1217,13062.0,6091,4354,1624,113,171,.981,-46,-4,1,0
ANA,43,4.31,.708,162,1458,1101,12900.0,5976,4300,1578,98,141,.984,39,4,45,4
LAD,50,3.69,.702,162,1458,1057,13047.0,6116,4349,1669,98,138,.984,12,1,-6,-1
FLA,44,4.47,.685,162,1458,1154,12966.0,6074,4322,1649,103,154,.983,0,0,-60,-6
MIL,46,4.52,.672,162,1458,1079,13083.0,5992,4361,1532,99,133,.983,-25,-2,24,0
MIN,47,5.14,.690,162,1458,1171,12948.0,6207,4316,1784,107,188,.983,-18,-2,15,1
NYM,48,4.38,.694,162,1458,1060,12906.0,5905,4302,1502,101,135,.983,-5,0,-34,-1
NYY,45,4.12,.693,162,1458,1097,13008.0,5882,4336,1471,75,135,.987,-16,-1,-2,0
OAK,50,3.79,.704,162,1458,1174,13230.0,6089,4410,1568,111,135,.982,24,2,5,0
PHI,49,4.20,.686,162,1458,1098,13062.0,6015,4354,1560,101,118,.983,-25,-2,10,0
PIT,49,4.16,.697,162,1458,1072,12900.0,6068,4300,1656,112,126,.982,-22,-2,-42,-4
SDP,53,4.38,.697,162,1458,1079,12912.0,6080,4304,1655,121,97,.980,-34,-3,-28,-3
SEA,37,4.02,.707,162,1458,1201,13110.0,6012,4370,1570,72,155,.988,-1,0,3,0
SFG,45,4.01,.693,162,1458,1054,13059.0,6107,4353,1639,115,134,.981,-7,-1,10,1
STL,45,4.00,.686,162,1458,1045,13164.0,6249,4388,1754,107,149,.983,-4,0,26,2
TBD,43,3.56,.704,162,1458,1005,13137.0,6134,4379,1641,114,155,.981,-6,-1,43,1
TEX,39,4.36,.694,162,1458,1106,12978.0,5907,4326,1496,85,136,.986,9,1,-11,-1
TOR,54,4.84,.694,162,1458,1156,12993.0,6169,4331,1737,101,167,.984,74,7,61,6
WSN,43,3.67,.702,162,1458,1056,13215.0,6131,4405,1632,94,134,.985,40,4,-14,0
