Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.49,.696,92,828,611,7506.0,3424,2502,885,37,76,.989,33,5,43,7
ATL,39,4.73,.686,92,828,659,7431.0,3401,2477,871,53,84,.984,-4,-1,17,0
BAL,46,6.18,.686,90,810,566,7137.0,3235,2379,786,70,82,.978,2,0,-66,-2
BOS,42,4.97,.673,91,819,646,7428.0,3330,2476,800,54,58,.984,-15,-2,-7,-1
CHC,40,4.43,.690,91,819,576,7296.0,3471,2432,974,65,85,.981,26,4,13,2
CHW,41,5.22,.677,87,783,604,6789.0,3110,2263,781,66,90,.979,-6,-1,-28,-5
CIN,33,3.91,.697,88,792,551,7029.0,3188,2343,799,46,77,.986,3,0,35,6
CLE,42,4.20,.696,89,801,638,7059.0,3154,2353,751,50,52,.984,13,2,11,0
COL,41,5.44,.678,90,810,633,7308.0,3460,2436,971,53,89,.985,8,1,-11,-2
DET,44,5.49,.678,87,783,654,6942.0,3182,2314,807,61,62,.981,-48,-8,-39,-7
HOU,37,4.14,.723,92,828,619,7446.0,3274,2482,754,38,47,.988,36,6,34,1
KCR,39,5.18,.682,92,828,684,7260.0,3303,2420,846,37,90,.989,7,1,18,3
LAA,45,5.00,.702,92,828,616,7311.0,3253,2437,766,50,60,.985,8,1,-5,-1
LAD,38,3.86,.715,93,837,581,7437.0,3356,2479,820,57,65,.983,38,6,57,2
MIA,40,4.53,.699,89,801,570,7158.0,3207,2386,773,48,81,.985,-17,-3,5,0
MIL,39,4.99,.679,92,828,608,7497.0,3369,2499,819,51,80,.985,-11,-2,30,5
MIN,40,4.40,.692,90,810,641,7344.0,3299,2448,794,57,68,.983,28,5,46,7
NYM,45,5.21,.671,91,819,529,7287.0,3277,2429,782,66,68,.980,-50,-8,-63,-2
NYY,43,4.38,.685,89,801,632,7152.0,3222,2384,771,67,75,.979,-2,0,-14,0
OAK,37,4.31,.710,93,837,680,7575.0,3396,2525,821,50,58,.985,8,1,5,0
PHI,43,4.88,.687,91,819,646,7281.0,3341,2427,860,54,71,.984,10,2,5,0
PIT,44,5.24,.673,90,810,586,7227.0,3295,2409,828,58,67,.982,-21,-3,-20,-1
SDP,41,4.86,.688,91,819,589,7296.0,3312,2432,818,62,56,.981,-3,-1,8,1
SEA,53,5.93,.676,95,855,681,7602.0,3486,2534,857,95,86,.973,-31,-5,-64,-10
SFG,43,4.96,.686,90,810,616,7239.0,3316,2413,845,58,72,.983,-7,-1,30,5
STL,37,4.44,.705,89,801,587,7098.0,3287,2366,880,41,95,.988,22,4,31,1
TBR,43,3.68,.705,92,828,631,7545.0,3417,2515,854,48,81,.986,36,6,33,5
TEX,41,5.10,.674,92,828,660,7389.0,3283,2463,768,52,92,.984,-18,-3,-39,-6
TOR,45,5.23,.682,92,828,671,7326.0,3385,2442,887,56,80,.983,0,0,-18,0
WSN,42,4.57,.677,90,810,656,7176.0,3203,2392,757,54,64,.983,-20,-3,-31,-1
