Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,34,4.44,.688,64,576,423,5265.0,2416,1755,636,25,54,.990,21,5,31,7
ATL,37,4.79,.697,63,567,457,5073.0,2296,1691,570,35,49,.985,-1,0,13,1
BAL,42,6.03,.694,63,567,403,5031.0,2298,1677,572,49,65,.979,8,2,-41,-2
BOS,39,4.71,.690,63,567,455,5067.0,2286,1689,563,34,43,.985,-1,0,6,1
CHC,36,4.26,.688,62,558,401,5040.0,2401,1680,676,45,58,.981,12,3,7,2
CHW,36,5.10,.682,62,558,431,4776.0,2190,1592,547,51,62,.977,-4,-1,-9,0
CIN,31,3.76,.690,62,558,389,4956.0,2251,1652,572,27,54,.988,-2,-1,26,1
CLE,39,4.22,.694,63,567,452,4962.0,2219,1654,526,39,36,.982,6,1,-1,0
COL,39,5.16,.687,62,558,445,5052.0,2389,1684,675,30,62,.987,15,4,-14,-3
DET,40,5.26,.688,61,549,458,4884.0,2246,1628,573,45,49,.980,-23,-6,-15,-4
HOU,33,3.71,.738,65,585,450,5247.0,2294,1749,520,25,29,.989,30,7,32,7
KCR,36,5.35,.677,63,567,474,4962.0,2261,1654,585,22,62,.990,-6,-1,6,0
ANA,42,5.11,.702,64,576,440,5094.0,2255,1698,523,34,39,.985,1,0,-4,0
LAD,34,3.72,.721,64,576,399,5124.0,2331,1708,591,32,49,.986,33,8,47,11
FLA,35,4.56,.697,61,549,395,4875.0,2208,1625,549,34,58,.985,-5,-1,2,0
MIL,37,4.92,.685,64,576,423,5241.0,2352,1747,569,36,54,.985,-9,-2,17,1
MIN,36,4.18,.698,62,558,438,4923.0,2182,1641,509,32,37,.985,24,6,25,6
NYM,41,4.89,.671,63,567,352,5088.0,2283,1696,542,45,51,.980,-40,-10,-40,-2
NYY,41,4.13,.699,62,558,441,4977.0,2238,1659,532,47,49,.979,5,1,-16,-4
OAK,31,4.45,.715,64,576,465,5244.0,2350,1748,569,33,43,.986,2,1,6,0
PHI,39,4.56,.691,63,567,441,5088.0,2336,1696,605,35,50,.985,2,1,-5,0
PIT,43,5.48,.679,62,558,406,5013.0,2283,1671,571,41,50,.982,-12,-3,-14,-3
SDP,38,4.47,.702,64,576,414,5112.0,2308,1704,567,37,32,.984,1,0,16,4
SEA,49,6.06,.675,67,603,477,5385.0,2483,1795,619,69,60,.972,-29,-6,-55,-2
SFG,40,5.13,.690,62,558,424,4986.0,2284,1662,577,45,50,.980,-3,-1,27,1
STL,35,4.46,.710,61,549,402,4848.0,2251,1616,606,29,63,.987,11,3,14,1
TBD,38,3.28,.709,61,549,420,4992.0,2268,1664,576,28,56,.988,26,6,30,1
TEX,34,5.20,.668,61,549,440,4896.0,2167,1632,503,32,61,.985,-26,-6,-34,-1
TOR,42,4.92,.691,63,567,455,5022.0,2315,1674,598,43,50,.981,5,1,-18,-1
WSN,39,5.03,.665,63,567,455,4980.0,2215,1660,510,45,47,.980,-29,-7,-32,-1
