Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
ANA,45,5.10,.699,162,1458,1155,12882.0,6123,4294,1723,106,156,.983,72,7
ARI,42,4.17,.701,162,1458,1135,13206.0,6096,4402,1590,104,132,.983,42,4
ATL,44,4.08,.694,162,1458,1021,13239.0,6182,4413,1658,111,127,.982,43,4
BAL,42,5.03,.697,162,1458,1128,12915.0,6175,4305,1781,89,191,.986,39,4
BOS,48,4.43,.693,162,1458,1188,12930.0,5985,4310,1548,127,132,.979,48,4
CHC,46,5.68,.676,162,1458,1033,12876.0,6028,4292,1597,139,135,.977,-22,-2
CHW,40,5.37,.678,162,1458,1109,12945.0,6014,4315,1563,136,149,.977,-20,-2
CIN,35,4.36,.722,163,1467,1027,13158.0,6042,4386,1551,105,139,.983,96,9
CLE,50,5.31,.686,162,1458,1122,13053.0,6196,4351,1739,106,154,.983,33,3
COL,44,6.35,.659,162,1458,1117,12861.0,6142,4287,1737,118,189,.981,-87,-8
DET,41,5.48,.688,161,1449,1125,12789.0,5992,4263,1623,106,156,.982,34,3
FLA,44,5.26,.679,162,1458,1083,12921.0,6121,4307,1687,127,150,.979,7,1
HOU,38,4.17,.672,162,1458,1053,13128.0,6214,4376,1732,106,175,.983,31,3
KCR,50,5.72,.680,161,1449,1177,12786.0,6114,4262,1727,125,188,.980,34,3
LAD,43,4.86,.697,162,1458,1104,13077.0,6221,4359,1725,137,137,.978,6,1
MIL,44,5.50,.677,161,1449,1041,12984.0,6124,4328,1669,127,146,.979,-31,-3
MIN,37,5.25,.684,161,1449,1009,12810.0,5975,4270,1613,92,150,.985,-9,-1
WSN,44,5.27,.676,162,1458,930,12909.0,6081,4303,1618,160,125,.974,-33,-3
NYM,44,4.36,.705,163,1467,1011,13110.0,6045,4370,1607,68,147,.989,22,2
NYY,37,4.51,.696,162,1458,1185,12957.0,6007,4319,1577,111,132,.982,-20,-2
OAK,42,5.22,.681,162,1458,994,12945.0,6137,4315,1700,122,166,.980,-49,-5
PHI,41,5.22,.695,162,1458,1075,12945.0,6013,4315,1598,100,144,.983,36,3
PIT,44,4.86,.683,161,1449,1107,12900.0,6193,4300,1746,147,179,.976,4,0
SDP,41,4.82,.688,162,1458,969,12783.0,6023,4261,1633,129,151,.979,22,2
SEA,51,5.59,.671,162,1458,1071,12903.0,6104,4301,1690,113,182,.981,-55,-5
SFG,35,5.13,.694,162,1458,1071,13107.0,6104,4369,1630,105,155,.983,-47,-4
STL,42,5.20,.680,161,1449,994,13008.0,6102,4336,1634,132,163,.978,-3,0
TBD,46,5.64,.661,162,1458,1131,12897.0,6210,4299,1776,135,198,.978,-54,-5
TEX,38,5.30,.671,162,1458,1201,12927.0,6158,4309,1730,119,169,.981,-5,0
TOR,51,5.32,.678,162,1458,1224,12951.0,6087,4317,1664,106,165,.983,8,1
