Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,45,4.86,.685,162,1458,1151,13137.0,6259,4379,1776,104,172,.983,9,1,6,0
ATL,45,4.97,.686,162,1458,1087,12972.0,6031,4324,1608,99,146,.984,54,5,-14,0
BAL,46,5.55,.678,162,1458,1102,12771.0,5966,4257,1607,102,156,.983,-1,0,-12,0
BOS,53,5.09,.679,162,1458,1056,12972.0,6052,4324,1662,66,174,.989,2,0,-51,-1
CHC,46,5.15,.698,162,1458,1115,12951.0,5903,4317,1480,106,122,.982,5,0,-16,0
CHW,37,4.90,.693,162,1458,1096,13041.0,6092,4347,1655,90,145,.985,-31,-3,-33,-1
CIN,52,4.94,.680,162,1458,1119,13011.0,6064,4337,1599,128,139,.979,-30,-3,-46,-1
CLE,45,4.83,.675,162,1458,1208,12810.0,6057,4270,1669,118,165,.981,-23,-2,-41,-1
COL,50,5.01,.683,162,1458,1158,13026.0,6249,4342,1816,91,190,.985,18,2,25,2
DET,38,4.17,.701,162,1458,1124,13032.0,6230,4344,1780,106,162,.983,61,6,52,1
FLA,40,4.77,.683,162,1458,995,12900.0,6014,4300,1588,126,166,.979,-6,-1,-11,-1
HOU,38,4.44,.701,162,1458,1042,13218.0,6239,4406,1753,80,164,.987,72,7,51,1
KCR,53,5.99,.676,162,1458,1165,12837.0,6035,4279,1658,98,189,.984,-7,-1,28,0
ANA,40,4.52,.690,162,1458,1097,13074.0,6027,4358,1545,124,154,.979,6,1,2,0
LAD,50,4.64,.681,162,1458,1049,13143.0,6292,4381,1796,115,174,.982,-28,-3,-28,-3
MIL,49,5.14,.685,162,1458,1179,12831.0,5976,4277,1582,117,126,.980,-17,-2,-1,0
MIN,38,4.22,.685,162,1458,1174,12954.0,6049,4318,1647,84,135,.986,-3,0,14,0
NYM,49,4.51,.701,162,1458,1173,13152.0,6126,4384,1638,104,131,.983,40,4,36,1
NYY,49,4.73,.696,162,1458,1023,12993.0,6028,4331,1593,104,145,.983,-25,-2,-36,-1
OAK,39,4.49,.688,162,1458,1191,13065.0,6065,4355,1626,84,173,.986,-6,-1,4,0
PHI,44,5.01,.681,162,1458,1096,13143.0,6170,4381,1685,104,153,.983,-12,-1,-7,0
PIT,41,4.92,.674,162,1458,1147,12915.0,6199,4305,1790,104,168,.983,-33,-3,-30,0
SDP,43,4.19,.710,162,1458,1081,13173.0,6079,4391,1596,92,138,.985,28,3,35,3
SEA,49,4.89,.690,162,1458,1171,13020.0,6058,4340,1630,88,150,.985,15,1,59,5
SFG,44,4.91,.700,161,1449,1032,12867.0,5961,4289,1581,91,132,.985,22,2,30,3
STL,41,4.73,.697,161,1449,1016,12867.0,6169,4289,1782,98,170,.984,31,3,57,5
TBD,49,5.28,.671,162,1458,1125,12783.0,5971,4261,1594,116,156,.981,-55,-5,-33,-3
TEX,51,4.84,.678,162,1458,1199,12882.0,6140,4294,1748,98,174,.984,-34,-3,12,0
TOR,42,4.65,.693,162,1458,1097,12855.0,6096,4285,1712,99,157,.984,34,3,45,4
WSN,57,5.38,.689,162,1458,1118,12927.0,5941,4309,1501,131,123,.978,-35,-3,-48,-1
