Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ANA,38,5.08,.702,53,477,358,4203.0,1868,1401,437,30,33,.984,-1,0,-8,0
ARI,33,4.35,.693,54,486,351,4431.0,2010,1477,513,20,39,.990,15,4,19,1
ATL,37,4.57,.707,54,486,394,4362.0,1964,1454,481,29,44,.985,10,3,22,1
BAL,40,6.11,.692,54,486,346,4272.0,1953,1424,489,40,58,.980,6,2,-32,-2
BOS,37,4.61,.698,54,486,395,4356.0,1962,1452,478,32,39,.984,2,1,3,1
CHC,35,4.37,.681,52,468,327,4254.0,2038,1418,579,41,50,.980,7,2,10,3
CHW,36,5.27,.677,52,468,363,3993.0,1818,1331,443,44,50,.976,-14,-4,-22,-7
CIN,30,3.70,.692,54,486,336,4326.0,1962,1442,497,23,49,.988,4,1,18,1
CLE,37,4.08,.695,53,477,376,4179.0,1856,1393,436,27,31,.985,8,2,4,0
COL,36,5.35,.686,52,468,371,4251.0,2004,1417,562,25,50,.988,8,2,-8,-2
DET,38,5.35,.691,52,468,393,4173.0,1912,1391,486,35,45,.982,-19,-5,-20,-1
FLA,33,4.78,.690,51,459,337,4083.0,1863,1361,472,30,52,.984,-11,-3,-4,0
HOU,30,3.55,.733,55,495,381,4356.0,1918,1452,442,24,24,.987,23,6,24,7
KCR,34,5.33,.681,52,468,393,4122.0,1877,1374,484,19,52,.990,3,1,7,2
LAD,33,3.91,.713,54,486,335,4314.0,1954,1438,489,27,43,.986,16,5,43,2
MIL,36,4.64,.700,55,495,365,4494.0,2004,1498,481,25,49,.988,5,1,22,6
MIN,35,3.94,.698,53,477,377,4221.0,1864,1407,431,26,33,.986,25,7,24,1
NYM,41,4.91,.672,53,477,292,4281.0,1929,1427,463,39,43,.980,-31,-9,-37,-10
NYY,40,4.09,.701,53,477,375,4275.0,1915,1425,450,40,38,.979,6,2,-16,-4
OAK,30,4.25,.717,55,495,400,4473.0,1997,1491,480,26,37,.987,3,1,10,0
PHI,36,4.45,.686,53,477,374,4311.0,1985,1437,517,31,46,.984,3,1,-3,-1
PIT,43,5.17,.677,52,468,338,4185.0,1898,1395,467,36,47,.981,-7,-2,-11,-3
SDP,37,4.24,.702,54,486,354,4311.0,1932,1437,463,32,27,.983,0,0,12,3
SEA,46,5.89,.671,56,504,395,4449.0,2053,1483,511,59,48,.971,-31,-8,-42,-11
SFG,40,5.23,.689,52,468,362,4212.0,1916,1404,472,40,36,.979,-1,0,33,2
STL,33,4.62,.708,52,468,339,4137.0,1911,1379,506,26,54,.986,8,2,8,2
TBD,38,3.18,.718,51,459,345,4173.0,1888,1391,478,19,46,.990,26,7,30,1
TEX,33,5.41,.670,51,459,368,4059.0,1819,1353,436,30,53,.984,-23,-7,-24,-1
TOR,41,4.76,.693,54,486,393,4317.0,1993,1439,514,40,45,.980,4,1,-15,-4
WSN,39,5.15,.666,54,486,394,4272.0,1918,1424,454,40,39,.979,-29,-8,-34,-2
