Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.55,.696,100,900,666,8136.0,3721,2712,965,44,79,.988,35,5,58,9
ATL,39,4.78,.686,101,909,721,8151.0,3710,2717,937,56,92,.985,-5,-1,20,3
BAL,48,6.14,.691,98,882,618,7785.0,3519,2595,851,73,88,.979,9,1,-74,-2
BOS,43,5.14,.670,100,900,702,8166.0,3668,2722,883,63,65,.983,-12,-2,-15,-2
CHC,42,4.40,.690,99,891,630,7953.0,3788,2651,1066,71,93,.981,30,5,9,1
CHW,44,5.27,.673,96,864,668,7473.0,3456,2491,890,75,102,.978,-13,-2,-36,-1
CIN,35,4.11,.691,97,873,601,7743.0,3518,2581,884,53,88,.985,-2,0,27,4
CLE,42,4.12,.697,98,882,703,7788.0,3465,2596,815,54,59,.984,18,3,23,1
COL,41,5.85,.670,99,891,689,8028.0,3804,2676,1068,60,98,.984,-5,-1,-29,-1
DET,45,5.64,.674,96,864,723,7635.0,3511,2545,898,68,73,.981,-51,-8,-34,-1
HOU,38,4.14,.721,101,909,681,8175.0,3603,2725,832,46,50,.987,32,5,34,5
KCR,41,5.12,.679,101,909,749,7971.0,3631,2657,932,42,99,.988,7,1,18,0
LAA,47,5.00,.698,101,909,679,8031.0,3587,2677,859,51,71,.986,7,1,-10,-2
LAD,39,3.84,.713,102,918,631,8178.0,3700,2726,901,73,68,.980,35,5,63,9
MIA,40,4.61,.696,97,873,627,7779.0,3479,2593,834,52,87,.985,-21,-3,9,0
MIL,39,4.93,.680,101,909,668,8217.0,3688,2739,892,57,88,.985,-11,-2,29,1
MIN,40,4.47,.690,98,882,693,7983.0,3594,2661,869,64,77,.982,29,4,38,6
NYM,45,5.00,.674,99,891,565,8016.0,3609,2672,868,69,77,.981,-43,-7,-54,-1
NYY,43,4.29,.686,98,882,699,7881.0,3534,2627,834,73,81,.979,2,0,-12,0
OAK,38,4.25,.712,101,909,735,8211.0,3698,2737,908,53,68,.986,20,3,3,0
PHI,45,4.95,.687,100,900,708,8019.0,3683,2673,951,59,76,.984,8,1,6,1
PIT,45,5.23,.673,98,882,644,7857.0,3580,2619,896,65,76,.982,-24,-4,-22,-1
SDP,42,4.89,.685,99,891,642,7920.0,3602,2640,890,72,63,.980,-7,-1,10,2
SEA,55,6.00,.679,102,918,726,8133.0,3726,2711,919,96,91,.974,-28,-4,-61,-1
SFG,45,4.84,.689,100,900,677,8154.0,3727,2718,947,62,81,.983,7,1,32,1
STL,38,4.35,.703,98,882,645,7818.0,3620,2606,973,41,107,.989,21,3,30,5
TBR,43,3.75,.703,102,918,708,8337.0,3772,2779,941,52,88,.986,35,5,34,5
TEX,42,5.36,.670,99,891,707,7947.0,3524,2649,817,58,96,.984,-25,-4,-49,-1
TOR,46,5.15,.678,101,909,733,8019.0,3677,2673,946,58,87,.984,2,0,-15,0
WSN,42,4.55,.675,98,882,715,7791.0,3470,2597,815,58,70,.983,-23,-3,-33,-1
