Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.53,.696,99,891,659,8055.0,3689,2685,960,44,79,.988,38,6,52,8
ATL,39,4.82,.685,100,900,713,8070.0,3681,2690,935,56,91,.985,-6,-1,18,0
BAL,48,6.21,.689,97,873,614,7704.0,3484,2568,843,73,87,.979,5,1,-77,-2
BOS,43,5.14,.670,99,891,695,8094.0,3635,2698,874,63,64,.983,-14,-2,-16,0
CHC,42,4.40,.689,98,882,623,7872.0,3747,2624,1052,71,92,.981,29,4,9,1
CHW,43,5.28,.671,95,855,661,7401.0,3419,2467,877,75,100,.978,-16,-3,-35,-6
CIN,35,4.12,.691,96,864,596,7662.0,3484,2554,878,52,88,.985,-1,0,30,5
CLE,42,4.12,.696,97,873,696,7707.0,3428,2569,805,54,59,.984,17,3,25,1
COL,41,5.87,.667,98,882,681,7947.0,3767,2649,1058,60,98,.984,-9,-1,-34,-1
DET,45,5.66,.673,95,855,715,7545.0,3472,2515,890,67,71,.981,-53,-8,-34,-1
HOU,38,4.15,.720,100,900,673,8094.0,3567,2698,823,46,50,.987,32,5,31,1
KCR,41,5.12,.678,100,900,741,7899.0,3600,2633,926,41,99,.989,6,1,16,0
ANA,46,5.02,.699,100,900,671,7950.0,3549,2650,848,51,70,.986,8,1,-8,-1
LAD,39,3.88,.713,101,909,626,8097.0,3668,2699,896,73,68,.980,37,5,60,9
FLA,40,4.56,.697,96,864,620,7707.0,3445,2569,826,50,87,.985,-20,-3,7,1
MIL,39,4.94,.681,100,900,661,8136.0,3654,2712,885,57,87,.984,-9,-1,27,4
MIN,40,4.45,.690,97,873,685,7902.0,3563,2634,865,64,77,.982,30,5,42,6
NYM,45,5.02,.673,98,882,560,7914.0,3562,2638,856,68,75,.981,-45,-7,-54,-1
NYY,43,4.25,.687,97,873,691,7800.0,3501,2600,829,72,80,.979,4,1,-7,-1
OAK,38,4.22,.713,100,900,728,8133.0,3666,2711,903,52,67,.986,21,3,7,0
PHI,44,4.99,.686,99,891,704,7920.0,3635,2640,936,59,76,.984,6,1,2,0
PIT,45,5.27,.671,97,873,639,7758.0,3535,2586,884,65,75,.982,-25,-4,-26,-4
SDP,41,4.93,.684,98,882,634,7839.0,3569,2613,884,72,62,.980,-8,-1,10,2
SEA,55,5.97,.679,101,909,720,8052.0,3688,2684,908,96,90,.974,-26,-4,-63,-2
SFG,43,4.87,.687,99,891,673,8046.0,3680,2682,936,62,80,.983,5,1,29,4
STL,38,4.38,.703,97,873,639,7737.0,3586,2579,966,41,107,.989,22,3,30,1
TBD,43,3.76,.703,101,909,700,8256.0,3737,2752,933,52,88,.986,37,5,38,5
TEX,42,5.37,.670,98,882,699,7875.0,3496,2625,813,58,95,.983,-23,-3,-45,-1
TOR,46,5.16,.680,100,900,726,7938.0,3646,2646,942,58,85,.984,1,0,-16,-2
WSN,42,4.53,.677,97,873,708,7719.0,3440,2573,810,57,69,.983,-21,-3,-33,-5
