Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ANA,39,5.06,.704,54,486,366,4284.0,1903,1428,445,30,34,.984,0,0,-11,-1
ARI,34,4.38,.693,55,495,359,4503.0,2047,1501,525,21,41,.990,16,4,19,1
ATL,37,4.58,.705,55,495,401,4443.0,1998,1481,488,29,44,.985,9,2,21,1
BAL,41,6.05,.692,55,495,349,4353.0,1989,1451,498,40,58,.980,3,1,-32,-1
BOS,37,4.65,.699,55,495,403,4437.0,2002,1479,491,32,40,.984,3,1,2,0
CHC,35,4.45,.680,53,477,335,4326.0,2073,1442,589,42,51,.980,7,2,9,0
CHW,36,5.15,.681,54,486,374,4155.0,1891,1385,462,44,51,.977,-11,-3,-19,-1
CIN,31,3.75,.691,55,495,340,4407.0,1994,1469,502,23,50,.988,3,1,19,5
CLE,38,4.09,.694,54,486,384,4260.0,1892,1420,444,28,31,.985,7,2,3,0
COL,36,5.28,.687,53,477,379,4332.0,2045,1444,575,26,51,.987,9,3,-6,0
DET,38,5.25,.691,53,477,401,4254.0,1947,1418,494,35,45,.982,-19,-5,-21,-6
FLA,34,4.75,.693,52,468,343,4164.0,1899,1388,481,30,52,.984,-9,-3,-2,0
HOU,31,3.59,.734,56,504,389,4437.0,1950,1479,447,24,24,.988,23,6,25,7
KCR,35,5.24,.679,54,486,408,4269.0,1947,1423,504,20,54,.990,2,1,5,0
LAD,34,3.96,.712,55,495,339,4395.0,1992,1465,500,27,44,.986,17,5,43,12
MIL,36,4.64,.699,56,504,373,4566.0,2036,1522,488,26,50,.987,4,1,25,1
MIN,36,3.93,.698,54,486,380,4302.0,1899,1434,439,26,34,.986,26,7,25,7
NYM,41,4.87,.673,54,486,297,4362.0,1964,1454,471,39,44,.980,-30,-8,-38,-2
NYY,40,4.11,.699,54,486,383,4356.0,1952,1452,459,41,41,.979,5,1,-16,-1
OAK,31,4.29,.717,56,504,408,4554.0,2032,1518,488,26,37,.987,0,0,7,2
PHI,36,4.43,.689,54,486,381,4392.0,2018,1464,523,31,46,.985,5,1,-2,0
PIT,43,5.28,.677,53,477,344,4257.0,1930,1419,475,36,47,.981,-6,-2,-13,-4
SDP,37,4.24,.702,55,495,359,4392.0,1967,1464,471,32,28,.984,1,0,13,1
SEA,46,5.98,.670,57,513,402,4530.0,2087,1510,517,60,48,.971,-32,-8,-40,-2
SFG,40,5.34,.687,53,477,369,4284.0,1951,1428,481,42,37,.978,-4,-1,26,7
STL,33,4.60,.706,53,477,347,4209.0,1943,1403,514,26,54,.987,7,2,9,0
TBD,38,3.13,.720,52,468,353,4254.0,1926,1418,489,19,46,.990,28,8,32,9
TEX,33,5.38,.669,52,468,374,4140.0,1847,1380,437,30,53,.984,-26,-7,-28,-1
TOR,42,4.73,.694,55,495,401,4389.0,2026,1463,523,40,45,.980,4,1,-15,-1
WSN,39,5.13,.665,55,495,402,4353.0,1949,1451,458,40,39,.979,-28,-8,-35,-10
