Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,36,4.52,.696,91,819,606,7425.0,3388,2475,877,36,76,.989,34,5,45,7
ATL,39,4.75,.686,91,819,652,7350.0,3360,2450,857,53,81,.984,-5,-1,18,3
BAL,46,6.07,.689,89,801,561,7056.0,3196,2352,776,68,81,.979,5,1,-66,-2
BOS,42,5.01,.672,90,810,638,7347.0,3298,2449,795,54,58,.984,-16,-3,-9,-1
CHC,40,4.44,.689,90,810,571,7215.0,3438,2405,968,65,85,.981,24,4,10,0
CHW,41,5.22,.678,86,774,596,6717.0,3072,2239,768,65,88,.979,-4,-1,-27,-1
CIN,33,3.92,.698,87,783,544,6957.0,3154,2319,791,44,74,.986,3,0,34,1
CLE,42,4.19,.696,88,792,630,6978.0,3117,2326,742,49,51,.984,14,2,12,2
COL,41,5.48,.677,89,801,625,7227.0,3421,2409,959,53,88,.985,4,1,-14,-2
DET,44,5.47,.677,86,774,646,6870.0,3145,2290,795,60,61,.981,-49,-9,-39,-1
HOU,37,4.09,.724,91,819,611,7368.0,3243,2456,751,36,47,.989,38,6,34,6
KCR,38,5.19,.683,91,819,676,7179.0,3263,2393,834,36,88,.989,9,2,17,3
ANA,45,5.05,.700,91,819,610,7230.0,3213,2410,753,50,60,.984,4,1,-7,-1
LAD,38,3.82,.715,92,828,573,7365.0,3326,2455,814,57,64,.983,38,6,61,10
FLA,40,4.53,.698,88,792,563,7077.0,3173,2359,767,47,80,.985,-17,-3,4,0
MIL,39,4.93,.678,91,819,601,7407.0,3329,2469,809,51,80,.985,-13,-2,27,4
MIN,40,4.42,.692,89,801,633,7263.0,3264,2421,788,55,66,.983,29,5,46,8
NYM,45,5.18,.670,90,810,521,7215.0,3241,2405,770,66,67,.980,-52,-9,-65,-2
NYY,43,4.43,.685,88,792,624,7071.0,3189,2357,765,67,75,.979,-3,-1,-16,-3
OAK,37,4.35,.710,92,828,673,7494.0,3361,2498,813,50,57,.985,9,1,4,0
PHI,43,4.89,.687,90,810,638,7200.0,3301,2400,849,52,71,.984,9,2,11,2
PIT,44,5.26,.673,89,801,579,7155.0,3266,2385,823,58,66,.982,-22,-4,-23,-1
SDP,40,4.86,.687,90,810,581,7215.0,3273,2405,807,61,53,.981,-3,-1,7,0
SEA,53,5.85,.677,94,846,674,7530.0,3452,2510,850,92,86,.973,-27,-4,-63,-10
SFG,43,4.93,.688,89,801,609,7149.0,3272,2383,832,57,71,.983,-5,-1,29,5
STL,37,4.44,.704,88,792,581,7017.0,3250,2339,871,40,93,.988,21,4,27,5
TBD,42,3.68,.705,91,819,624,7464.0,3381,2488,846,47,81,.986,35,6,32,5
TEX,41,5.07,.673,91,819,652,7308.0,3244,2436,757,51,92,.984,-19,-3,-39,-1
TOR,45,5.24,.683,91,819,663,7254.0,3351,2418,878,55,79,.984,1,0,-17,-3
WSN,42,4.62,.677,89,801,648,7095.0,3169,2365,750,54,63,.983,-19,-3,-33,-1
