Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ANA,40,5.05,.706,56,504,382,4464.0,1987,1488,468,31,36,.984,6,2,-10,0
ARI,34,4.51,.686,57,513,374,4662.0,2127,1554,552,21,47,.990,15,4,18,1
ATL,37,4.75,.703,56,504,406,4524.0,2035,1508,498,29,44,.986,7,2,20,5
BAL,41,6.02,.693,56,504,356,4434.0,2021,1478,503,40,58,.980,5,1,-32,-1
BOS,38,4.82,.694,56,504,411,4518.0,2038,1506,500,32,40,.984,0,0,-3,-1
CHC,35,4.39,.682,54,486,343,4407.0,2108,1469,597,42,51,.980,8,2,13,1
CHW,36,5.16,.681,56,504,388,4317.0,1971,1439,487,45,55,.977,-9,-3,-17,-5
CIN,31,3.80,.689,56,504,347,4488.0,2034,1496,515,23,51,.989,2,1,21,6
CLE,38,4.29,.688,56,504,400,4413.0,1963,1471,461,31,32,.984,2,1,0,0
COL,36,5.35,.683,55,495,392,4503.0,2126,1501,598,27,55,.987,7,2,-8,0
DET,39,5.19,.692,54,486,408,4335.0,1984,1445,503,36,45,.982,-20,-5,-19,-1
FLA,34,4.67,.695,54,486,352,4326.0,1970,1442,497,31,54,.984,-7,-2,-1,0
HOU,31,3.56,.733,57,513,397,4518.0,1986,1506,457,23,26,.988,24,6,31,8
KCR,35,5.23,.680,56,504,421,4422.0,2016,1474,522,20,56,.990,3,1,2,0
LAD,34,3.96,.712,57,513,352,4557.0,2066,1519,519,28,45,.986,22,6,45,2
MIL,36,4.65,.698,57,513,380,4647.0,2071,1549,496,26,50,.987,4,1,25,1
MIN,36,4.11,.693,55,495,387,4374.0,1934,1458,449,27,34,.986,25,7,26,7
NYM,41,4.89,.670,56,504,309,4509.0,2030,1503,488,39,46,.981,-33,-9,-38,-2
NYY,40,4.04,.700,55,495,390,4437.0,1987,1479,466,42,42,.979,7,2,-17,-5
OAK,31,4.42,.713,57,513,415,4653.0,2077,1551,498,28,38,.987,-4,-1,2,0
PHI,37,4.43,.689,56,504,391,4554.0,2095,1518,545,32,47,.985,7,2,-2,0
PIT,43,5.33,.677,55,495,357,4419.0,2004,1473,495,36,47,.982,-8,-2,-13,-3
SDP,37,4.29,.702,56,504,366,4464.0,2000,1488,479,33,28,.984,3,1,14,4
SEA,46,6.07,.665,59,531,417,4692.0,2162,1564,534,64,52,.970,-36,-9,-43,-11
SFG,40,5.24,.686,55,495,379,4437.0,2026,1479,505,42,41,.979,-5,-1,29,1
STL,34,4.69,.705,55,495,358,4362.0,2011,1454,530,27,56,.987,7,2,10,0
TBD,38,3.13,.718,54,486,368,4434.0,2007,1478,509,20,49,.990,29,8,33,9
TEX,33,5.39,.667,54,486,389,4302.0,1913,1434,449,30,55,.984,-25,-7,-29,-1
TOR,42,4.71,.692,56,504,405,4482.0,2064,1494,530,40,45,.981,3,1,-18,-5
WSN,39,5.11,.666,56,504,408,4434.0,1979,1478,461,40,39,.980,-26,-7,-34,-2
