Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ANA,40,5.04,.707,57,513,390,4536.0,2022,1512,479,31,36,.985,8,2,-5,0
ARI,34,4.52,.684,58,522,382,4743.0,2167,1581,565,21,49,.990,13,3,21,1
ATL,37,4.81,.701,57,513,414,4605.0,2069,1535,503,31,44,.985,4,1,16,1
BAL,41,6.02,.694,57,513,364,4515.0,2058,1505,512,41,60,.980,6,1,-29,-1
BOS,38,4.81,.693,57,513,417,4590.0,2069,1530,507,32,41,.985,-2,-1,1,0
CHC,35,4.35,.684,55,495,350,4491.0,2147,1497,608,42,52,.980,8,2,13,4
CHW,36,5.09,.681,57,513,396,4398.0,2005,1466,494,45,56,.978,-8,-2,-13,-3
CIN,31,3.79,.689,57,513,352,4569.0,2071,1523,525,23,52,.989,1,0,21,6
CLE,38,4.32,.685,57,513,408,4485.0,1998,1495,468,35,32,.982,0,0,-5,-1
COL,38,5.36,.682,56,504,398,4584.0,2167,1528,612,27,57,.988,8,2,-12,-3
DET,39,5.13,.693,55,495,414,4416.0,2025,1472,516,37,47,.982,-18,-5,-17,-5
FLA,35,4.67,.694,55,495,357,4398.0,2000,1466,501,33,54,.984,-10,-3,-5,0
HOU,31,3.53,.735,58,522,402,4599.0,2024,1533,468,23,27,.989,27,7,30,8
KCR,36,5.25,.681,57,513,429,4494.0,2048,1498,530,20,57,.990,4,1,4,0
LAD,34,3.95,.714,58,522,360,4638.0,2101,1546,527,28,45,.987,25,6,45,12
MIL,36,4.72,.695,58,522,387,4719.0,2109,1573,507,29,50,.986,0,0,25,1
MIN,36,4.09,.696,56,504,395,4455.0,1972,1485,460,27,34,.986,26,7,26,7
NYM,41,4.88,.672,57,513,314,4590.0,2060,1530,491,39,46,.981,-34,-9,-40,-2
NYY,40,3.98,.702,56,504,398,4518.0,2025,1506,477,42,43,.979,9,2,-12,-1
OAK,31,4.40,.714,58,522,423,4734.0,2115,1578,508,29,40,.986,-4,-1,6,0
PHI,37,4.46,.689,57,513,396,4626.0,2127,1542,553,32,47,.985,7,2,0,0
PIT,43,5.30,.679,56,504,365,4500.0,2043,1500,507,36,47,.982,-7,-2,-11,-3
SDP,37,4.25,.705,57,513,372,4545.0,2039,1515,490,34,28,.983,3,1,16,1
SEA,46,6.02,.668,60,540,425,4773.0,2198,1591,543,64,52,.971,-33,-8,-43,-2
SFG,40,5.30,.686,56,504,383,4509.0,2066,1503,519,44,42,.979,-5,-1,28,8
STL,34,4.62,.706,56,504,366,4452.0,2059,1484,548,27,57,.987,10,3,11,0
TBD,38,3.16,.716,55,495,376,4515.0,2043,1505,517,21,49,.990,28,8,33,9
TEX,33,5.33,.668,55,495,397,4383.0,1949,1461,458,30,56,.985,-25,-7,-34,-2
TOR,42,4.86,.688,57,513,410,4554.0,2099,1518,541,40,46,.981,2,0,-20,-1
WSN,39,5.18,.663,57,513,416,4506.0,2012,1502,469,41,39,.980,-30,-8,-36,-2
