Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
537,Chris Stratton\stratch01,28,2TM,37.2,11,5,33,7.88,4.76,-0.07,0.01,98.8,4.79,-13,-1.1,.21,0.0,-0.7,-9,.399,.496,$567500,Traded
183,Wilmer Font\fontwi01,29,2TM,27.2,15,3,18,5.86,4.32,-0.02,-0.11,94.6,3.98,-5,-0.5,.78,0.0,-0.3,-3,.465,.498,$560400,Traded
614,Mike Wright\wrighmi01,29,2TM,24.1,17,0,27,9.99,5.08,-0.63,-0.34,97.3,5.23,-13,-1.2,.37,0.3,-0.6,-10,.430,.496,$567500,Amateur Draft
224,Javy Guerra\guerrja01,33,2TM,19.2,14,0,9,4.12,4.40,-0.39,-0.30,101.1,4.55,1,0.1,.71,-0.1,0.2,3,.508,.500,$800000,Free Agency
547,Anthony Swarzak\swarzan01,33,2TM,19.0,20,0,12,5.68,4.63,-0.45,-0.31,98.0,4.67,-2,-0.2,1.43,-0.1,-0.1,0,.491,.499,$8500000,Traded
481,Zac Rosscup*\rosscza01,31,2TM,15.0,21,0,12,7.20,4.86,-0.57,-0.33,95.4,4.87,-4,-0.3,1.11,0.1,-0.1,-2,.484,.500,$610000,Free Agency
28,Shawn Armstrong\armstsh01,28,2TM,14.2,15,0,9,5.52,4.76,-0.52,-0.32,101.9,5.04,-1,0.0,1.30,0.0,0.1,1,.498,.501,$559100,Waivers
54,Jesse Biddle*\biddlje01,27,2TM,14.0,19,0,13,8.36,4.94,0.04,-0.34,104.5,4.74,-5,-0.5,1.04,0.0,-0.4,-4,.472,.498,$575000,Waivers
2,Austin Adams\adamsau02,28,2TM,9.1,8,0,4,3.86,5.03,-0.39,-0.34,94.0,4.79,1,0.1,.60,0.0,0.2,2,.513,.501,,Traded
1,Austin Adams\adamsau01,32,2TM,3.2,3,0,6,14.73,4.89,0.23,-0.33,96.9,4.21,-4,-0.4,.15,0.2,-0.2,-4,.377,.499,,Waivers
221,Zack Greinke\greinza01,35,ARI,81.2,13,13,29,3.20,4.43,0.31,0.19,106.3,4.58,14,1.6,,-0.1,2.2,20,.620,.510,$34500000,Free Agency
450,Robbie Ray*\rayro02,27,ARI,62.2,12,12,31,4.45,4.35,0.28,0.19,106.2,4.53,2,0.2,,-0.1,0.7,6,.515,.501,$6050000,Traded
588,Luke Weaver\weavelu01,25,ARI,62.1,11,11,22,3.18,4.39,0.31,0.19,104.0,4.44,10,1.1,,-0.1,1.6,15,.598,.507,$581300,Traded
295,Merrill Kelly\kellyme01,30,ARI,59.2,11,11,32,4.83,4.42,0.37,0.19,104.4,4.43,-1,-0.1,,-0.1,0.3,3,.488,.499,$2000000,Free Agency
210,Zack Godley\godleza01,29,ARI,49.0,14,8,38,6.98,4.58,0.36,0.05,101.7,4.34,-13,-1.2,.76,0.0,-0.9,-10,.411,.492,$609400,Traded
24,Matt Andriese\andrima01,29,ARI,30.2,22,0,16,4.70,4.38,0.31,-0.30,104.6,3.95,-2,-0.2,1.00,-0.1,0.0,0,.491,.499,$920000,Traded
66,Archie Bradley\bradlar01,26,ARI,24.1,23,0,14,5.18,4.64,0.33,-0.32,105.6,4.21,-2,-0.2,1.57,-0.1,-0.1,0,.491,.499,$1830000,Amateur Draft
321,Yoan Lopez\lopezyo01,26,ARI,23.2,28,0,5,1.90,4.53,0.32,-0.31,106.8,4.16,6,0.7,1.19,0.0,0.9,8,.524,.504,$556900,Amateur Free Agent
258,Yoshihisa Hirano\hiranyo01,35,ARI,21.1,27,0,15,6.33,4.43,0.32,-0.30,105.4,4.01,-5,-0.5,1.29,-0.1,-0.5,-4,.481,.497,$3000000,Free Agency
304,Matt Koch\kochma01,28,ARI,20.2,9,0,21,9.15,4.68,0.43,-0.32,100.7,3.96,-11,-1.0,.29,0.3,-0.6,-10,.384,.494,$567600,Traded
262,Greg Holland\hollagr01,33,ARI,19.2,20,0,3,1.37,4.53,0.23,-0.31,104.2,4.15,6,0.7,1.89,0.2,1.1,8,.534,.504,$3250000,Free Agency
100,Andrew Chafin*\chafian01,29,ARI,18.2,28,0,7,3.38,4.61,0.27,-0.32,106.1,4.27,2,0.2,1.31,0.0,0.4,4,.508,.501,$1945000,Amateur Draft
109,Taylor Clarke\clarkta01,26,ARI,17.1,4,3,10,5.19,4.34,0.36,0.11,101.8,4.16,-2,-0.2,.28,0.0,0.0,0,.460,.499,,Amateur Draft
154,Jon Duplantier\duplajo01,24,ARI,17.0,6,1,6,3.18,4.57,0.29,-0.16,104.2,4.29,2,0.3,1.29,0.0,0.4,4,.543,.502,,Amateur Draft
353,T.J. McFarland*\mcfartj01,30,ARI,14.0,8,0,8,5.14,4.10,0.36,-0.28,111.8,3.86,-2,-0.2,1.56,-0.1,-0.1,-1,.479,.499,$1400000,Free Agency
507,Jimmie Sherfy\sherfji01,27,ARI,9.2,5,0,1,0.93,4.09,0.34,-0.28,107.6,3.74,3,0.3,.98,0.0,0.4,4,.568,.502,,Amateur Draft
381,John Ryan Murphy\murphjr01,28,ARI,3.0,2,0,9,27.00,5.39,0.72,-0.37,92.5,3.98,-8,-0.6,.01,0.3,-0.3,-7,.224,.497,$900000,Traded
125,Stefan Crichton\crichst01,27,ARI,1.2,3,0,0,0.00,4.61,0.27,-0.32,115.3,4.64,1,0.1,.92,0.0,0.1,1,.531,.501,,Traded
285,Caleb Joseph\josepca01,33,ARI,1.0,1,0,0,0.00,4.31,0.33,-0.30,106.0,3.91,0,0.0,.00,0.0,0.0,1,.548,.500,,Free Agency
553,Julio Teheran\teherju01,28,ATL,66.1,12,12,28,3.80,4.46,0.17,0.20,103.6,4.65,8,0.8,,-0.1,1.3,12,.567,.505,$11166667,Amateur Free Agent
