Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
537,Chris Stratton\stratch01,28,2TM,37.2,11,5,33,7.88,4.73,-0.05,0.01,98.6,4.73,-13,-1.1,.21,0.0,-0.7,-9,.398,.496,$567500,Traded
183,Wilmer Font\fontwi01,29,2TM,27.2,15,3,18,5.86,4.33,-0.02,-0.11,94.8,3.99,-5,-0.5,.78,0.0,-0.3,-3,.465,.498,$560400,Traded
614,Mike Wright\wrighmi01,29,2TM,24.1,17,0,27,9.99,5.08,-0.63,-0.34,97.2,5.22,-13,-1.2,.37,0.3,-0.6,-10,.430,.496,$567500,Amateur Draft
224,Javy Guerra\guerrja01,33,2TM,19.2,14,0,9,4.12,4.40,-0.39,-0.30,101.3,4.56,1,0.1,.71,-0.1,0.2,3,.508,.500,$800000,Free Agency
547,Anthony Swarzak\swarzan01,33,2TM,19.0,20,0,12,5.68,4.62,-0.42,-0.31,97.9,4.63,-2,-0.2,1.43,-0.1,-0.1,0,.490,.499,$8500000,Traded
481,Zac Rosscup*\rosscza01,31,2TM,15.0,21,0,12,7.20,4.86,-0.56,-0.32,95.2,4.84,-4,-0.3,1.11,0.1,-0.1,-2,.484,.500,$610000,Free Agency
28,Shawn Armstrong\armstsh01,28,2TM,14.2,15,0,9,5.52,4.76,-0.53,-0.32,102.3,5.06,-1,0.0,1.31,0.0,0.1,1,.498,.501,$559100,Waivers
54,Jesse Biddle*\biddlje01,27,2TM,14.0,19,0,13,8.36,4.90,0.13,-0.33,104.5,4.61,-6,-0.5,1.04,0.0,-0.5,-5,.471,.498,$575000,Waivers
2,Austin Adams\adamsau02,28,2TM,9.1,8,0,4,3.86,5.02,-0.39,-0.34,94.0,4.78,1,0.1,.61,0.0,0.2,2,.513,.501,,Traded
512,Tyler Skaggs*\skaggty01,27,ANA,54.0,10,10,29,4.83,4.53,-0.01,0.21,98.5,4.67,-1,-0.1,,-0.1,0.4,5,.492,.500,$3700000,Traded
87,Trevor Cahill\cahiltr01,31,ANA,53.1,11,11,41,6.92,5.11,-0.01,0.23,97.8,5.23,-10,-0.9,,-0.1,-0.4,-4,.418,.494,$9000000,Free Agency
414,Felix Pena\penafe01,29,ANA,50.0,11,4,21,3.78,4.82,-0.01,0.21,97.6,4.91,7,0.7,.94,-0.1,1.1,12,.561,.504,$569000,Traded
240,Matt Harvey\harvema01,30,ANA,48.0,10,10,41,7.69,4.77,-0.01,0.22,100.0,4.99,-14,-1.3,,-0.1,-0.8,-9,.374,.492,$11000000,Free Agency
88,Griffin Canning\cannigr01,23,ANA,32.1,6,6,11,3.06,4.39,0.00,0.20,98.7,4.54,5,0.6,,0.0,0.9,9,.596,.504,,Amateur Draft
85,Ty Buttrey\buttrty01,26,ANA,28.1,26,0,4,1.27,4.80,0.00,-0.32,98.5,4.41,10,1.0,1.60,0.2,1.5,13,.539,.506,$557250,Traded
47,Cam Bedrosian\bedroca01,27,ANA,25.1,25,4,11,3.91,4.73,0.00,-0.29,99.8,4.43,2,0.2,1.10,-0.1,0.3,4,.506,.501,$1750000,Amateur Draft
446,Noe Ramirez\ramirno01,29,ANA,25.1,17,0,13,4.62,4.82,0.00,-0.32,99.0,4.46,0,0.0,.36,-0.1,0.1,2,.498,.500,$569000,Waivers
462,Hansel Robles\robleha01,28,ANA,25.1,27,1,12,4.26,4.82,0.00,-0.32,98.0,4.42,1,0.1,1.14,-0.1,0.2,3,.502,.500,$1400000,Waivers
36,Luke Bard\bardlu01,28,ANA,21.1,16,2,11,4.64,4.55,-0.01,-0.30,99.3,4.22,-1,-0.1,1.03,-0.1,0.1,1,.494,.499,$575000,Free Agency
196,Luis Garcia\garcilu03,32,ANA,20.0,22,1,7,3.15,4.87,-0.01,-0.33,97.4,4.43,3,0.3,.76,-0.1,0.4,5,.513,.502,$1675000,Traded
20,Justin Anderson\anderju01,26,ANA,19.2,20,0,11,5.03,4.84,0.00,-0.32,96.5,4.36,-1,-0.1,1.17,-0.1,0.0,1,.493,.499,$561500,Amateur Draft
10,Cody Allen\allenco01,30,ANA,18.0,20,0,10,5.00,4.99,-0.01,-0.33,98.4,4.59,-1,-0.1,.76,-0.1,0.1,1,.496,.500,$8500000,Free Agency
42,Jaime Barria\barrija01,22,ANA,14.1,4,1,13,8.16,4.71,-0.01,0.06,106.7,5.09,-5,-0.4,.95,0.0,-0.3,-3,.391,.497,,Amateur Free Agent
116,Taylor Cole\coleta01,29,ANA,12.2,8,1,8,5.68,5.18,0.00,-0.35,97.4,4.72,-1,-0.1,.80,0.0,0.0,0,.484,.499,$557500,Free Agency
279,Jake Jewell\jewelja01,26,ANA,7.1,5,0,7,8.59,4.71,0.00,-0.32,101.8,4.48,-3,-0.3,.58,0.0,-0.2,-3,.437,.498,,Amateur Draft
241,Andrew Heaney*\heanean01,28,ANA,5.0,1,1,2,3.60,4.41,0.00,0.20,98.0,4.53,1,0.1,,0.0,0.1,1,.555,.500,$3400000,Traded
562,Nick Tropeano\tropeni01,28,ANA,5.0,1,0,3,5.40,5.83,-0.01,0.27,90.0,5.49,0,0.0,.88,0.0,0.1,1,.507,.500,$1075000,Traded
