Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
414,Sidney Ponson\ponsosi01,26,2TM,216,31,31,94,3.92,4.83,0.07,0.18,100,4.93,24,2.5,,-0.1,4.5,47,0.582,0.51,"$4,250,000",Amateur Free Agent
525,Jeff Suppan\suppaje01,28,2TM,204,32,31,98,4.32,4.81,-0.08,0.17,101.2,5.12,18,2,0.36,-0.1,3.7,37,0.562,0.509,"$500,000",Traded
15,Brian Anderson*\anderbr02,31,2TM,197.2,32,31,110,5.01,4.7,0.05,0.17,100.3,4.83,-3,-0.2,1.17,-0.1,1.7,19,0.492,0.496,"$1,500,000",Free Agency
353,Damian Moss*\mossda01,26,2TM,165.2,31,29,102,5.54,4.72,0.16,0.16,98,4.62,-17,-1.6,0.54,-0.1,-0.2,-1,0.447,0.495,"$1,550,000",Traded
227,Rick Helling\helliri01,32,2TM,155,35,24,91,5.28,5,-0.02,0.14,99.2,5.11,-3,-0.2,1,-0.1,1.3,14,0.495,0.497,"$1,000,000",Free Agency
47,Adam Bernero\bernead01,26,2TM,133.1,49,17,90,6.08,4.75,-0.13,0.05,99.8,4.88,-18,-1.7,0.77,-0.1,-0.4,-4,0.466,0.495,"$314,000",Traded
406,Oliver Perez*\perezol01,21,2TM,126.2,24,24,80,5.68,4.71,-0.01,0.18,93.1,4.57,-16,-1.6,,-0.1,-0.6,-5,0.435,0.493,"$305,000",Traded
266,Byung-Hyun Kim\kimby01,24,2TM,122.1,56,12,55,4.05,4.88,-0.15,-0.05,103.7,5.16,15,1.6,1.51,-0.1,2.8,28,0.528,0.504,"$3,250,000",Amateur Free Agent
19,Kevin Appier\appieke01,35,2TM,111.2,23,23,69,5.56,4.9,0.07,0.18,97.5,4.89,-8,-0.7,,-0.1,0.4,4,0.469,0.495,"$11,500,000",Traded
508,Steve Sparks\sparkst01,37,2TM,107,51,0,68,5.72,4.95,-0.15,-0.26,98.9,4.79,-11,-1,0.98,-0.1,-0.1,1,0.48,0.496,"$4,500,000",Free Agency
292,Scott Linebrink\linebsc01,26,2TM,92.1,52,6,37,3.61,4.71,0.15,-0.19,97,4.24,6,0.6,0.89,-0.2,1.3,15,0.512,0.503,,Traded
238,Sterling Hitchcock*\hitchst01,32,2TM,87.2,35,7,50,5.13,4.76,-0.18,-0.13,96.3,4.63,-5,-0.5,0.61,0,0.4,4,0.487,0.497,"$6,000,000",Traded
230,Felix Heredia*\heredfe01,28,2TM,87,69,0,32,3.31,4.78,-0.03,-0.33,95.4,4.27,9,0.9,0.94,-0.2,1.5,17,0.513,0.504,"$600,000",Free Agency
126,Mike DeJean\dejeami01,32,2TM,82.2,76,0,46,5.01,4.66,-0.35,-0.35,99.9,4.66,-4,-0.4,1.57,-0.3,0.1,4,0.495,0.498,"$1,700,000",Traded
231,Matt Herges\hergema01,33,2TM,79,67,0,27,3.08,4.57,0.09,-0.34,97.1,4.02,8,0.8,1.35,0,1.5,15,0.512,0.503,,Free Agency
549,Ugueth Urbina\urbinug01,29,2TM,77,72,0,25,2.92,4.88,0.11,-0.37,105.8,4.66,15,1.5,1.64,0.4,2.6,23,0.521,0.504,"$4,500,000",Traded
217,Aaron Harang\haranaa01,25,2TM,76.1,16,15,47,5.54,4.74,0.03,0.14,96.8,4.69,-7,-0.7,0.61,-0.1,-0.1,0,0.456,0.498,,Traded
283,Al Levine\levinal01,35,2TM,71,54,0,29,3.68,4.85,0,-0.37,101,4.54,7,0.7,1.18,-0.1,1.4,15,0.513,0.502,,Purchased
232,Dustin Hermanson\hermadu01,30,2TM,68.2,32,6,32,4.19,4.61,0.1,-0.1,97.3,4.3,0,0.1,1.4,-0.2,0.5,7,0.502,0.499,"$900,000",Free Agency
257,Todd Jones\jonesto02,35,2TM,68.2,59,1,58,7.6,4.79,-0.02,-0.33,111.6,4.98,-20,-2,0.8,0,-1.3,-13,0.467,0.493,"$3,000,000",Free Agency
7,Kurt Ainsworth\ainswku01,24,2TM,68.1,14,11,34,4.48,4.54,0.21,0.15,98.3,4.4,-1,-0.1,0.82,0,0.5,5,0.495,0.5,"$302,000",Traded
