Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
17,Kevin Appier\appieke01,31,2TM,209,34,34,131,5.64,5.15,0.04,0.19,99.5,5.27,-8,-0.7,,-0.1,1.4,17,0.48,0.499,"$4,800,000",Amateur Draft
359,Omar Olivares\olivaom01,31,2TM,205.2,32,32,105,4.59,5.41,0.19,0.21,97.4,5.28,17,1.6,,-0.1,3.6,41,0.55,0.506,"$1,825,000",Free Agency
190,Juan Guzman\guzmaju01,32,2TM,200,33,33,96,4.32,5.15,0.38,0.19,97.5,4.83,11,1.1,,-0.1,2.9,34,0.533,0.504,"$5,250,000",Traded
214,Livan Hernandez\hernali01,24,2TM,199.2,30,30,110,4.96,5.09,-0.06,0.18,94.6,5.05,1,0.1,,-0.1,1.7,21,0.503,0.5,"$1,875,000",Amateur Free Agent
324,Dave Mlicki\mlickda01,31,2TM,199,33,31,112,5.07,5.2,0.22,0.18,100.2,5.17,3,0.3,1.78,-0.1,2.2,26,0.509,0.502,"$2,250,000",Traded
443,Kenny Rogers*\rogerke01,34,2TM,195.1,31,31,101,4.65,5.22,-0.14,0.2,94.1,5.23,13,1.2,,-0.1,3,34,0.54,0.504,"$5,000,000",Traded
336,Terry Mulholland*\mulhote01,36,2TM,170.1,42,24,95,5.02,5,0,0.1,100.9,5.13,1,0.2,1.54,0,1.6,18,0.504,0.499,"$2,925,000",Traded
150,Jeff Fassero*\fasseje01,36,2TM,156.1,37,27,135,7.77,5.14,-0.33,0.16,102.8,5.79,-34,-2.9,1.11,-0.1,-1.4,-15,0.421,0.486,"$5,016,667",Traded
386,Robert Person\persoro01,29,2TM,148,42,22,84,5.11,5.14,0.19,0.1,102.4,5.17,0,0.1,1.16,-0.3,1.1,15,0.502,0.502,"$379,000",Traded
313,Kent Mercker*\merckke01,31,2TM,129.1,30,23,85,5.91,4.98,0.05,0.13,104.4,5.29,-9,-0.9,0.46,0,0.2,4,0.471,0.494,"$2,500,000",Traded
511,Mac Suzuki\suzukma01,24,2TM,110,38,13,92,7.53,5.12,0.01,-0.04,103.1,5.24,-27,-2.4,0.66,0.1,-1.1,-14,0.438,0.493,"$212,000",Waivers
355,Vladimir Nunez\nunezvl01,24,2TM,108.2,44,12,63,5.22,5.07,0.1,-0.03,95.1,4.69,-7,-0.6,1.18,-0.1,0.2,4,0.485,0.499,"$202,000",Amateur Free Agent
43,Sean Bergman\bergmse01,29,2TM,105.1,25,16,62,5.3,5.06,0.23,0.12,95.3,4.72,-7,-0.7,1.23,0,0.2,3,0.473,0.497,"$1,875,000",Free Agency
429,Brad Rigby\rigbybr01,26,2TM,83.2,49,0,51,5.49,5.22,-0.18,-0.31,98.1,4.98,-4,-0.4,1.13,-0.3,0.2,6,0.492,0.5,"$403,000",Traded
25,Bobby Ayala\ayalabo01,29,2TM,82,66,0,43,4.72,5.15,-0.18,-0.39,99.2,4.9,1,0.1,1.1,-0.1,0.7,9,0.502,0.5,,Free Agency
154,Bryce Florie\floribr01,29,2TM,81.1,41,5,50,5.53,5.42,0.25,-0.2,102.6,5.09,-4,-0.3,0.8,-0.1,0.4,6,0.492,0.499,"$1,300,000",Traded
496,Paul Spoljaric*\spoljpa01,28,2TM,73.1,42,5,65,7.98,5.46,0.08,-0.26,100.2,5.12,-23,-1.8,0.82,0.1,-0.9,-15,0.458,0.497,"$450,000",Traded
502,Blake Stein\steinbl01,25,2TM,73,13,12,38,4.68,5.11,0.18,0.17,103.1,5.26,5,0.6,0.44,-0.1,1.3,14,0.543,0.504,"$207,500",Traded
77,Tom Candiotti\candito01,41,2TM,71.1,18,13,64,8.07,5.32,-0.21,0.15,95,5.39,-21,-1.8,0.73,0,-1,-13,0.401,0.494,"$3,000,000",Free Agency
161,John Frascatore\frascjo01,29,2TM,70,59,0,32,4.11,5.22,0.16,-0.39,100.7,4.7,5,0.4,1.11,-0.1,1,12,0.507,0.501,"$345,000",Traded
5,Rick Aguilera\aguilri01,37,2TM,67.2,61,0,25,3.33,5.19,-0.1,-0.39,101.2,4.96,12,1.2,1.43,0.1,1.9,19,0.519,0.503,"$4,300,000",Traded
42,Jason Bere\bereja01,28,2TM,66.2,17,14,52,7.02,4.95,0.37,0.15,107.2,5.08,-15,-1.3,0.55,0,-0.7,-8,0.423,0.494,"$1,200,000",Free Agency
423,Alberto Reyes\reyesal01,29,2TM,65.2,53,0,33,4.52,5.22,0.01,-0.39,97.1,4.68,1,0.1,1.12,-0.1,0.6,8,0.502,0.5,,Traded
292,Matt Mantei\mantema01,25,2TM,65.1,65,0,21,2.89,5.07,0.09,-0.38,96.5,4.43,11,1.1,1.43,0.1,1.7,17,0.516,0.503,"$735,000",Traded
120,Tom Davey\daveyto01,25,2TM,65,45,0,41,5.68,5.33,-0.07,-0.4,99.7,4.99,-5,-0.4,0.91,-0.1,0.2,3,0.491,0.498,"$200,000",Traded
230,Jason Isringhausen\isrinja01,26,2TM,64.2,33,5,35,4.87,5.15,-0.02,-0.17,96,4.79,-1,0,0.97,0.1,0.6,6,0.499,0.501,"$475,000",Amateur Draft
484,Heathcliff Slocumb\slocuhe01,33,2TM,62,50,0,28,4.06,5.12,0.02,-0.39,100.4,4.73,4,0.5,1.07,0.2,1.3,11,0.51,0.505,"$1,300,000",Free Agency
497,Jerry Spradlin\spradje01,32,2TM,61,63,0,37,5.46,5.27,-0.25,-0.4,96.2,4.93,-4,-0.3,1.08,0,0.3,2,0.495,0.5,"$687,500",Traded
288,Mike Maddux\maddumi01,37,2TM,59.2,53,0,26,3.92,5.05,0.01,-0.38,95.7,4.46,3,0.3,0.75,-0.1,0.8,9,0.506,0.503,"$875,000",Free Agency
188,Mark Guthrie*\guthrma01,33,2TM,58.2,57,0,38,5.83,5.34,0.22,-0.4,101.6,4.79,-7,-0.6,0.98,-0.1,-0.1,0,0.489,0.497,"$1,600,000",Free Agency
101,Rocky Coppinger\coppiro01,25,2TM,58.1,40,2,37,5.71,5.12,-0.01,-0.32,95.6,4.6,-7,-0.6,1.23,0.2,0.2,-1,0.485,0.5,,Amateur Draft
6,Scott Aldred*\aldresc01,31,2TM,56.2,66,0,30,4.76,5.27,-0.01,-0.4,105,5.11,2,0.2,1.14,-0.1,0.7,8,0.503,0.501,"$545,000",Traded
516,Billy Taylor\taylobi04,37,2TM,56.1,61,0,35,5.59,5.3,-0.19,-0.4,93.7,4.77,-5,-0.5,1.58,-0.1,0,1,0.492,0.499,"$2,500,000",Traded
558,Matt Whisenant*\whisema01,28,2TM,54.1,67,0,34,5.63,5.36,0.18,-0.4,100.2,4.8,-5,-0.4,1.32,-0.2,-0.1,1,0.493,0.498,"$270,000",Traded
304,Chuck McElroy*\mcelrch01,31,2TM,54,56,0,34,5.67,5.2,-0.35,-0.39,121.2,6.3,4,0.3,0.97,-0.1,0.7,9,0.506,0.501,"$1,050,000",Traded
518,Amaury Telemaco\telemam01,25,2TM,53,49,0,34,5.77,5.05,0.22,-0.38,104.2,4.63,-7,-0.7,0.62,0,-0.2,-2,0.486,0.497,"$325,000",Waivers
55,Micah Bowie*\bowiemi01,24,2TM,51,14,11,60,10.59,4.97,-0.11,0.14,97.8,5.09,-31,-2.5,0.56,0,-2,-26,0.32,0.489,"$200,000",Amateur Draft
394,Dan Plesac*\plesada01,37,2TM,44.1,64,0,30,6.09,5.29,0.14,-0.4,99.7,4.74,-7,-0.6,1.52,-0.2,-0.3,-2,0.491,0.498,"$1,500,000",Traded
32,Rod Beck\beckro01,30,2TM,44,43,0,29,5.93,5.32,-0.02,-0.4,97.6,4.82,-6,-0.5,1.35,-0.1,-0.2,-1,0.488,0.496,"$5,500,000",Traded
35,Rigo Beltran*\beltrri01,29,2TM,42,33,0,24,5.14,5.25,-0.05,-0.4,105.2,5.24,0,0,0.64,-0.1,0.3,4,0.501,0.5,"$215,000",Traded
393,Jim Pittsley\pittsji01,25,2TM,42,20,5,34,7.29,4.95,0.06,-0.06,101.5,4.91,-11,-0.9,0.64,0,-0.5,-6,0.453,0.498,"$255,000",Amateur Draft
107,Jim Corsi\corsiji01,37,2TM,37.1,36,0,19,4.58,5.4,0.29,-0.4,99.2,4.67,1,0.1,1.35,-0.1,0.3,5,0.501,0.5,"$950,000",Free Agency
398,Jim Poole*\pooleji02,33,2TM,36.1,54,0,22,5.45,5.33,0.25,-0.4,104.7,4.89,-2,-0.2,1.19,-0.1,0,1,0.496,0.499,"$700,000",Free Agency
306,Greg McMichael\mcmicgr01,32,2TM,33.2,36,0,19,5.08,5.14,-0.07,-0.39,94.1,4.53,-2,-0.2,1.14,-0.1,0.1,2,0.495,0.499,"$1,950,000",Traded
454,B.J. Ryan*\ryanb.01,23,2TM,20.1,14,0,7,3.1,5.37,0.19,-0.4,93.6,4.48,3,0.3,0.9,0,0.5,6,0.521,0.502,"$200,000",Traded
482,Steve Sinclair*\sinclst01,27,2TM,19.1,21,0,16,7.45,5.45,-0.21,-0.4,100.7,5.3,-5,-0.4,0.84,0.1,-0.1,-2,0.483,0.5,,Traded
513,Jeff Tam\tamje01,28,2TM,11.2,10,0,7,5.4,5.11,0.14,-0.39,102.3,4.69,-1,0,0.36,-0.1,0,0,0.497,0.501,"$207,500",Waivers
536,Ed Vosberg*\vosbeed01,37,2TM,11,19,0,12,9.82,5.36,0.23,-0.41,95.3,4.51,-7,-0.6,1.26,-0.2,-0.7,-5,0.468,0.497,"$675,000",Free Agency
339,Dan Murray\murrada02,25,2TM,10.1,5,0,11,9.58,5.26,0.2,-0.39,96.9,4.53,-6,-0.5,0.92,0,-0.4,-5,0.402,0.498,,Traded
453,Glendon Rusch*\ruschgl01,24,2TM,5,4,0,7,12.6,5.55,0.22,-0.41,102.8,5.07,-4,-0.3,0.74,0,-0.3,-4,0.416,0.498,,Amateur Draft
547,Allen Watson*\watsoal01,28,3TM,77,38,4,35,4.09,5.21,0,-0.21,97.6,4.89,7,0.8,0.84,-0.1,1.4,15,0.521,0.504,"$950,000",Free Agency
227,John Hudek\hudekjo01,32,3TM,21.1,20,0,22,9.28,5.44,0.28,-0.41,97.5,4.64,-11,-1,0.4,0.2,-0.6,-9,0.45,0.497,"$800,000",Traded
444,Mel Rojas\rojasme01,32,3TM,14,13,0,28,18,5.3,0.08,-0.4,98.2,4.73,-21,-1.7,0.69,0.1,-1.5,-19,0.371,0.496,"$4,583,334",Traded
