Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
247,Livan Hernandez\hernali01,31,2TM,216,34,34,125,5.21,4.88,-0.18,0.19,98.1,5.15,-1,0,,-0.1,1.8,18,0.501,0.497,"$8,000,000",Traded
384,Jamie Moyer*\moyerja01,43,2TM,211.1,33,33,110,4.68,4.96,0.22,0.19,96.6,4.77,1,0.1,,-0.1,2.1,25,0.503,0.499,"$5,500,000",Traded
333,Greg Maddux\maddugr01,40,2TM,210,34,34,109,4.67,4.82,-0.11,0.19,102.5,5.25,14,1.5,,-0.1,3.1,33,0.543,0.504,"$9,000,000",Free Agency
597,Jeff Weaver\weaveje01,29,2TM,172,31,31,117,6.12,4.81,0.17,0.19,99.1,4.79,-26,-2.4,,-0.1,-0.8,-8,0.424,0.493,"$8,325,000",Free Agency
310,Cory Lidle\lidleco01,34,2TM,170.2,31,30,100,5.27,4.92,-0.18,0.19,103.7,5.48,4,0.4,1.34,-0.1,1.8,21,0.512,0.501,"$3,300,000",Traded
240,Mark Hendrickson*\hendrma01,32,2TM,164.2,31,25,87,4.76,5,-0.2,0.16,99.7,5.35,10,1.1,0.75,-0.1,2.5,28,0.535,0.503,"$1,950,000",Traded
248,Orlando Hernandez\hernaor01,40,2TM,162.1,29,29,90,4.99,4.85,0.14,0.18,100.1,4.91,-1,-0.1,,-0.1,1.2,13,0.497,0.501,"$4,625,000",Traded
510,Jae Weong Seo\seoja01,29,2TM,157,36,26,101,5.79,5.02,-0.22,0.13,97.8,5.25,-10,-1,0.79,-0.1,0.5,7,0.473,0.497,"$350,000",Traded
322,Kyle Lohse\lohseky01,27,2TM,126.2,34,19,83,5.9,4.95,-0.1,0.07,100,5.12,-11,-1,0.46,0,0.2,2,0.47,0.495,"$3,950,000",Traded
432,Odalis Perez*\perezod01,28,2TM,126.1,32,20,93,6.63,4.99,0,0.1,101.3,5.15,-21,-2,0.54,0,-0.7,-8,0.439,0.493,"$8,750,000",Traded
534,Jorge Sosa\sosajo02,28,2TM,118,45,13,79,6.03,4.86,0.03,-0.03,97.3,4.66,-18,-1.7,0.87,-0.1,-0.7,-7,0.463,0.494,"$2,200,000",Traded
433,Oliver Perez*\perezol01,24,2TM,112.2,22,22,90,7.19,4.94,-0.13,0.19,99.2,5.22,-24,-2.2,,-0.1,-1.3,-14,0.401,0.492,"$1,900,000",Traded
94,Shawn Chacon\chacosh01,28,2TM,109,26,20,86,7.1,4.9,-0.35,0.12,98.5,5.28,-22,-2,0.72,0,-1,-11,0.421,0.493,"$3,600,000",Traded
6,Jeremy Affeldt*\affelje01,27,2TM,97.1,54,9,74,6.84,5.11,0.16,-0.12,105,5.05,-20,-1.9,1.24,-0.3,-1.2,-9,0.465,0.494,"$1,000,000",Traded
441,Sidney Ponson\ponsosi01,29,2TM,85,19,16,62,6.56,4.69,0.2,0.15,98.6,4.58,-19,-1.6,0.26,0,-0.9,-11,0.414,0.495,"$1,000,000",Free Agency
129,Jorge De La Rosa*\rosajo01,25,2TM,79,28,13,59,6.72,5.15,0.12,0.06,100.8,5.13,-14,-1.3,1.04,-0.1,-0.6,-6,0.452,0.495,"$337,000",Traded
600,Todd Wellemeyer\welleto01,27,2TM,78.1,46,0,38,4.37,5.12,0.07,-0.3,101.1,4.81,3,0.3,0.93,-0.1,1.1,12,0.507,0.502,"$347,500",Traded
179,Ryan Franklin\frankry01,33,2TM,77.1,66,0,42,4.89,4.94,-0.18,-0.33,103.6,4.95,1,0.1,1.06,-0.1,0.6,8,0.501,0.5,"$2,600,000",Traded
135,Elmer Dessens\desseel01,35,2TM,77,62,0,43,5.03,4.94,0.07,-0.37,101.2,4.55,-5,-0.4,1.47,-0.3,0,4,0.493,0.498,"$1,700,000",Free Agency
113,Francisco Cordero\cordefr01,31,2TM,75.1,77,0,32,3.82,4.93,0.05,-0.37,101.5,4.59,6,0.6,1.75,0.2,1.6,14,0.508,0.501,"$4,125,000",Traded
601,David Wells*\wellsda01,43,2TM,75.1,13,13,41,4.9,4.89,-0.01,0.19,100.4,5.14,2,0.2,,0,0.9,10,0.513,0.5,"$4,075,000",Free Agency
338,Gary Majewski\majewga01,26,2TM,70.1,65,0,38,4.86,4.91,-0.27,-0.36,97.7,4.71,-1,-0.1,1.14,-0.1,0.5,5,0.499,0.501,"$352,000",Traded
3,Jeremy Accardo\accarje01,24,2TM,69,65,0,42,5.48,5.03,0.29,-0.37,98.6,4.31,-9,-0.9,0.96,-0.1,-0.3,-2,0.486,0.497,"$330,000",Amateur Free Agent
607,David Williams*\willida07,27,2TM,69,14,13,52,6.78,4.84,-0.1,0.18,101.6,5.21,-12,-1.1,0.07,0,-0.5,-6,0.423,0.496,"$1,400,000",Traded
540,Mike Stanton*\stantmi02,39,2TM,67.2,82,0,30,3.99,4.9,-0.09,-0.36,96.9,4.49,4,0.4,1.54,0.1,1.1,10,0.505,0.501,"$1,000,000",Traded
282,Jorge Julio\juliojo01,27,2TM,66,62,0,35,4.77,4.93,0.05,-0.36,101.4,4.58,-1,-0.1,1.09,0,0.5,5,0.498,0.501,"$2,525,000",Traded
605,Rick White\whiteri01,37,2TM,64.2,64,0,44,6.12,4.84,-0.2,-0.36,103.6,4.85,-9,-0.9,0.75,0,-0.3,-3,0.487,0.498,"$600,000",Free Agency
