Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
389,Tomo Ohka\ohkato01,29,2TM,180.1,32,29,88,4.39,4.62,-0.05,0.16,99.4,4.81,8,0.9,0.63,-0.1,2.3,24,0.527,0.502,"$2,750,000",Traded
404,Chan Ho Park\parkch01,32,2TM,155.1,30,29,103,5.97,4.77,-0.27,0.16,99.3,5.18,-15,-1.4,2.89,-0.2,0,2,0.454,0.496,"$15,000,000",Traded
287,Joe Kennedy*\kennejo04,26,2TM,152.2,35,24,114,6.72,4.63,0.03,0.1,107,5.03,-29,-2.6,1.29,-0.1,-1.3,-14,0.425,0.492,"$2,200,000",Traded
101,Shawn Chacon\chacosh01,27,2TM,151.2,27,24,59,3.5,4.59,-0.4,0.16,103.9,5.32,30,3.3,0.92,-0.1,4.6,45,0.622,0.51,"$2,350,000",Amateur Draft
307,Al Leiter*\leiteal01,39,2TM,142.1,33,26,103,6.51,4.77,-0.56,0.1,93.7,5.1,-23,-2.2,0.67,-0.1,-0.9,-9,0.434,0.493,"$7,000,000",Free Agency
543,Claudio Vargas\vargacl01,27,2TM,132.1,25,23,81,5.51,4.5,-0.07,0.15,105,4.96,-8,-0.7,0.14,-0.1,0.3,3,0.472,0.499,"$325,000",Waivers
153,Ryan Drese\dresery01,29,2TM,129.1,23,23,90,6.26,4.66,-0.18,0.17,101.8,5.1,-17,-1.6,,-0.1,-0.5,-4,0.428,0.495,"$550,000",Traded
19,Pedro Astacio\astacpe01,36,2TM,126.2,24,22,66,4.69,4.64,-0.27,0.16,99.7,5.07,5,0.6,0.28,-0.1,1.7,18,0.523,0.502,"$800,000",Free Agency
581,Jerome Williams\willije01,23,2TM,122.2,22,20,62,4.55,4.62,-0.01,0.16,103.6,4.95,5,0.6,1.07,-0.1,1.6,16,0.528,0.504,"$336,000",Traded
291,Sun-Woo Kim\kimsu01,27,2TM,82.2,24,10,46,5.01,4.57,-0.07,-0.01,106.2,4.92,-1,-0.1,0.98,-0.1,0.5,6,0.498,0.5,,Waivers
538,Ugueth Urbina\urbinug01,31,2TM,79.2,81,0,34,3.84,4.63,0.32,-0.35,101.4,4,1,0.1,1.55,-0.1,0.8,9,0.501,0.5,"$4,000,000",Free Agency
172,Kyle Farnsworth\farnsky01,29,2TM,70,72,0,18,2.31,4.7,0.17,-0.36,98.4,4.1,14,1.4,1.3,0,2.2,21,0.519,0.504,"$1,975,000",Traded
113,Roman Colon\colonro01,25,2TM,69.1,35,7,45,5.84,4.72,0.3,-0.11,97.1,4.19,-13,-1.3,0.75,0,-0.7,-6,0.463,0.496,"$318,500",Amateur Free Agent
346,Darrell May*\mayda02,33,2TM,66.1,24,9,51,6.92,4.54,-0.35,-0.03,94.8,4.61,-17,-1.5,0.21,0.1,-0.8,-11,0.439,0.495,"$3,225,000",Traded
226,John Halama*\halamjo01,33,2TM,65,40,4,44,6.09,4.93,-0.11,-0.22,99.5,4.79,-10,-1,0.35,0.1,-0.2,-3,0.476,0.496,"$850,000",Free Agency
549,Ron Villone*\villoro01,35,2TM,64,79,0,34,4.78,4.9,-0.16,-0.37,95,4.45,-3,-0.3,1.45,0,0.4,4,0.497,0.5,"$1,950,000",Traded
590,Jay Witasick\witasja01,32,2TM,63.1,60,0,26,3.69,4.72,0.05,-0.36,108,4.65,6,0.7,1.13,0,1.3,13,0.512,0.502,,Free Agency
138,Mike DeJean\dejeami01,34,2TM,62.1,66,0,33,4.76,4.59,-0.13,-0.35,103.6,4.51,-2,-0.2,1.14,0.1,0.5,4,0.497,0.5,"$1,150,000",Free Agency
63,Jim Brower\broweji01,32,2TM,60.1,69,0,36,5.37,4.62,0.08,-0.35,102.1,4.29,-7,-0.7,1.1,-0.2,-0.4,-2,0.489,0.498,"$1,162,500",Free Agency
27,James Baldwin\baldwja01,33,2TM,56.2,28,0,28,4.45,5.16,0.04,-0.27,100.6,4.89,2,0.2,0.51,-0.2,0.7,9,0.508,0.501,,Free Agency
242,LaTroy Hawkins\hawkila01,32,2TM,56.1,66,0,27,4.31,4.64,-0.1,-0.35,102.6,4.51,1,0.1,1.63,-0.1,0.5,6,0.502,0.5,"$4,500,000",Free Agency
163,Alan Embree*\embreal01,35,2TM,52,67,0,47,8.13,5.05,-0.32,-0.38,102.1,5.09,-18,-1.8,1.02,-0.1,-1.4,-12,0.474,0.494,"$3,000,000",Traded
596,Tim Worrell\worreti01,37,2TM,48.2,51,0,30,5.55,4.49,0.18,-0.34,102.6,4.07,-8,-0.8,1.11,0.1,-0.2,-4,0.485,0.499,"$3,050,000",Traded
134,Zach Day\dayza01,27,2TM,47.1,17,8,40,7.61,4.72,-0.04,0.05,103.2,4.96,-14,-1.3,0.36,0.1,-0.9,-10,0.421,0.495,"$357,500",Traded
52,Joe Borowski\borowjo01,34,2TM,46.1,43,0,23,4.47,4.92,-0.02,-0.37,100.3,4.58,0,0,1.4,0.1,0.6,5,0.501,0.501,"$2,300,000",Free Agency
105,Jason Christiansen*\chrisja01,35,2TM,45.2,68,0,28,5.52,4.86,-0.15,-0.37,100.5,4.66,-4,-0.5,1.12,-0.2,-0.2,0,0.493,0.497,"$1,050,000",Traded
240,Chad Harville\harvich01,28,2TM,45.1,45,0,26,5.16,4.72,0.22,-0.36,102.4,4.23,-5,-0.5,0.51,0,-0.1,-1,0.489,0.498,"$365,000",Waivers
221,Buddy Groom*\groombu01,39,2TM,41,47,0,22,4.83,4.78,-0.51,-0.36,99.7,4.9,0,0,0.73,-0.1,0.3,4,0.5,0.5,,Conditional Deal
444,Mike Remlinger*\remlimi01,39,2TM,39.2,43,0,33,7.49,4.76,-0.02,-0.36,103.1,4.54,-13,-1.2,0.92,0.2,-0.6,-9,0.472,0.498,"$4,233,333",Traded
215,Danny Graves\graveda01,31,2TM,38.2,40,0,35,8.15,4.75,-0.27,-0.36,100.3,4.67,-15,-1.5,0.88,0,-1.2,-12,0.463,0.495,"$6,250,000",Traded
518,Shingo Takatsu\takatsh01,36,2TM,36.1,40,0,21,5.2,4.65,0.14,-0.35,103.3,4.28,-4,-0.4,1.41,-0.1,-0.1,0,0.49,0.498,"$2,500,000",Free Agency
507,Jason Standridge\standja01,26,2TM,33.1,34,0,17,4.59,4.49,-0.3,-0.34,100.1,4.45,-1,0,0.89,-0.1,0.2,2,0.499,0.501,,Free Agency
222,Kevin Gryboski\gryboke01,31,2TM,31,42,0,25,7.26,4.95,0.16,-0.38,100.8,4.46,-10,-0.9,1.1,-0.2,-0.8,-7,0.478,0.498,"$877,500",Traded
439,Tim Redding\redditi01,27,2TM,30.2,10,7,41,12.03,4.34,-0.31,0.06,92.7,4.39,-26,-2.1,1.01,0,-1.9,-23,0.291,0.49,"$750,000",Traded
250,Matt Herges\hergema01,35,2TM,29,28,0,23,7.14,4.45,-0.17,-0.34,105.5,4.51,-8,-0.8,0.73,0.2,-0.4,-6,0.472,0.499,"$1,600,000",Traded
582,Randy Williams*\willira01,29,2TM,26.1,32,0,21,7.18,4.59,-0.14,-0.28,110,4.88,-7,-0.6,1.1,-0.1,-0.5,-4,0.48,0.498,,Waivers
381,Blaine Neal\nealbl01,27,2TM,22.2,19,0,19,7.54,4.69,-0.14,-0.36,111.2,4.96,-7,-0.6,0.76,0.1,-0.3,-4,0.466,0.498,"$321,000",Traded
284,Steve Karsay\karsast01,33,2TM,21.2,20,0,19,7.89,4.87,-0.46,-0.37,102.9,5.09,-7,-0.7,0.55,0.1,-0.4,-4,0.466,0.497,"$6,000,000",Free Agency
323,Aquilino Lopez\lopezaq01,30,2TM,16.2,11,0,5,2.7,4.67,0.35,-0.36,105.9,4.24,3,0.3,0.4,-0.1,0.3,4,0.528,0.501,,Free Agency
324,Javier Lopez*\lopezja02,27,2TM,16.1,32,0,20,11.02,4.93,-0.1,-0.38,108.2,5.03,-11,-1.1,1.2,0,-1,-9,0.467,0.496,"$321,000",Waivers
415,Matt Perisho*\perisma01,30,2TM,14,25,0,5,3.21,5.16,-0.43,-0.39,91.5,4.67,3,0.3,1.54,0.1,0.5,4,0.494,0.482,"$475,000",Free Agency
97,Scott Cassidy\cassisc01,29,2TM,13,11,0,13,9,4.27,-0.25,-0.32,98,4.11,-7,-0.7,0.8,0.1,-0.4,-6,0.441,0.497,,Conditional Deal
494,Allan Simpson\simpsal01,27,2TM,7.1,11,0,10,12.27,5.06,-0.2,-0.39,104.5,5.13,-6,-0.5,0.69,0,-0.5,-5,0.453,0.499,"$318,000",Traded
429,Paul Quantrill\quantpa01,36,3TM,69,50,0,44,5.74,4.7,-0.56,-0.36,94,4.61,-9,-0.9,0.5,0,-0.2,-2,0.483,0.498,"$3,000,000",Free Agency
508,Mike Stanton*\stantmi02,38,3TM,42.2,59,0,24,5.06,5.16,-0.24,-0.39,95.8,4.81,-1,-0.1,1.11,-0.1,0.2,3,0.498,0.499,"$4,000,000",Traded
567,Brandon Webb\webbbr01,26,ARI,229,33,33,98,3.85,4.51,-0.08,0.16,104.2,4.95,28,3.1,,-0.2,4.9,48,0.593,0.519,"$715,000",Amateur Draft
546,Javier Vazquez\vazquja01,28,ARI,215.2,33,33,112,4.67,4.51,-0.08,0.16,101.4,4.82,3,0.3,,-0.1,2,22,0.51,0.502,"$11,000,000",Traded
