Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
545,Chris Stratton\stratch01,28,2TM,37.2,11,5,33,7.88,4.74,-0.07,0.01,99.2,4.79,-13,-1.1,.21,0.0,-0.7,-9,.400,.496,$567500,Traded
186,Wilmer Font\fontwi01,29,2TM,28.2,16,3,18,5.65,4.31,-0.04,-0.11,95.5,4.02,-5,-0.5,.73,0.0,-0.2,-2,.471,.498,$560400,Traded
623,Mike Wright\wrighmi01,29,2TM,24.1,17,0,27,9.99,5.09,-0.72,-0.34,97.3,5.33,-12,-1.2,.37,0.3,-0.6,-10,.432,.496,$567500,Amateur Draft
229,Javy Guerra\guerrja01,33,2TM,21.1,15,0,9,3.80,4.39,-0.35,-0.30,100.5,4.47,2,0.2,.72,-0.1,0.3,4,.512,.501,$800000,Free Agency
556,Anthony Swarzak\swarzan01,33,2TM,21.1,22,0,12,5.06,4.56,-0.40,-0.31,98.1,4.56,-1,-0.1,1.48,-0.1,0.0,1,.497,.499,$8500000,Traded
28,Shawn Armstrong\armstsh01,28,2TM,16.2,17,0,10,5.40,4.73,-0.61,-0.32,104.2,5.22,0,0.0,1.21,0.0,0.2,1,.501,.501,$559100,Waivers
55,Jesse Biddle*\biddlje01,27,2TM,16.0,21,0,17,9.56,4.96,-0.13,-0.34,102.7,4.83,-8,-0.8,.97,-0.1,-0.7,-7,.462,.497,$575000,Waivers
489,Zac Rosscup*\rosscza01,31,2TM,15.0,21,0,12,7.20,4.86,-0.61,-0.32,95.1,4.89,-4,-0.3,1.11,0.1,-0.1,-2,.484,.500,$610000,Free Agency
2,Austin Adams\adamsau02,28,2TM,11.1,10,1,7,5.56,5.11,-0.52,-0.34,92.4,4.89,-1,-0.1,.65,0.0,0.0,0,.493,.500,,Traded
1,Austin Adams\adamsau01,32,2TM,5.2,5,0,6,9.53,4.89,0.04,-0.33,100.8,4.57,-3,-0.2,.11,0.1,-0.1,-3,.450,.499,,Waivers
