Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
110,Andrew Cashner,32,2TM,107.1,19,19,55,4.61,5.02,-0.59,0.23,100.9,5.88,15,1.7,,-0.1,2.6,27,.588,.511,"$9,500,000",Free Agency
42,Homer Bailey,33,2TM,98.0,20,20,60,5.51,4.75,0.10,0.22,101.0,4.92,-6,-0.5,,-0.1,0.4,4,.477,.500,"$100,000",Free Agency
89,Aaron Brooks,29,2TM,59.1,18,9,36,5.46,4.77,-0.06,0.08,96.4,4.74,-5,-0.4,.16,0.0,0.1,2,.475,.498,"$560,000",Waivers
603,Drew Smyly*,30,2TM,57.1,14,10,50,7.85,5.06,-0.45,0.17,108.4,6.17,-10,-0.9,.60,0.0,-0.4,-5,.436,.494,"$7,000,000",Free Agency
627,Chris Stratton,28,2TM,55.0,19,5,38,6.22,4.85,-0.16,-0.09,98.3,4.84,-8,-0.6,.39,-0.1,-0.2,-3,.467,.499,"$567,500",Traded
345,Nick Kingham,27,2TM,52.2,24,4,45,7.69,4.66,-0.29,-0.13,98.8,4.77,-16,-1.5,1.16,-0.2,-1.2,-12,.440,.495,"$569,000",Amateur Draft
263,Javy Guerra,33,2TM,37.2,31,0,20,4.78,4.39,-0.23,-0.30,101.0,4.36,-1,-0.1,.88,-0.1,0.1,2,.496,.499,"$800,000",Free Agency
639,Anthony Swarzak,33,2TM,35.0,37,0,15,3.86,4.71,-0.11,-0.32,99.8,4.48,3,0.3,1.70,0.1,0.7,6,.509,.502,"$8,500,000",Traded
35,Shawn Armstrong,28,2TM,34.0,32,0,21,5.56,4.95,-0.53,-0.33,101.7,5.23,-1,-0.1,1.02,-0.1,0.2,2,.497,.501,"$559,100",Waivers
429,Mike Montgomery*,29,2TM,34.0,22,2,24,6.35,4.44,0.13,-0.21,103.8,4.27,-7,-0.7,1.29,-0.1,-0.5,-5,.468,.497,"$2,440,000",Traded
706,Matt Wisler,26,2TM,33.0,25,1,20,5.45,4.52,0.09,-0.31,102.2,4.18,-4,-0.4,.97,-0.1,-0.2,-2,.484,.498,"$570,000",Traded
383,Matt Magill,29,2TM,30.1,29,0,22,6.53,4.86,0.29,-0.32,97.5,4.14,-8,-0.8,.65,0.0,-0.4,-5,.474,.495,"$560,000",Free Agency
714,Mike Wright,29,2TM,29.1,19,0,30,9.20,5.19,-0.67,-0.35,97.0,5.36,-12,-1.2,.36,0.3,-0.6,-9,.439,.496,"$567,500",Amateur Draft
565,Casey Sadler,28,2TM,25.1,14,0,6,2.13,4.98,0.42,-0.33,97.8,4.13,6,0.6,.38,-0.2,0.6,8,.542,.502,,Traded
537,Fernando Rodney,42,2TM,25.0,29,0,20,7.20,4.56,-0.06,-0.31,98.4,4.23,-8,-0.8,1.12,0.1,-0.5,-6,.474,.497,"$5,250,000",Traded
