Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
111,Andrew Cashner,32,2TM,114.0,20,20,58,4.58,5.07,-0.52,0.23,101.3,5.90,17,1.8,,-0.1,2.8,29,.589,.510,"$9,500,000",Free Agency
43,Homer Bailey,33,2TM,104.2,21,21,63,5.42,4.77,0.09,0.22,100.2,4.91,-6,-0.5,,-0.1,0.5,5,.479,.500,"$100,000",Free Agency
380,Jordan Lyles,28,2TM,87.1,18,18,54,5.56,4.65,-0.34,0.20,99.1,5.15,-3,-0.2,,-0.1,0.5,4,.487,.498,"$2,050,000",Traded
303,Derek Holland*,32,2TM,70.0,33,7,49,6.30,4.74,0.30,-0.06,95.3,4.17,-15,-1.5,.63,0.1,-0.8,-10,.455,.491,"$6,500,000",Traded
90,Aaron Brooks,29,2TM,64.1,19,10,41,5.74,4.79,-0.08,0.09,96.5,4.80,-7,-0.6,.16,0.0,0.0,0,.468,.498,"$560,000",Waivers
608,Drew Smyly*,30,2TM,64.1,15,11,50,6.99,4.98,-0.41,0.17,108.1,6.03,-7,-0.4,.60,0.0,0.1,0,.471,.495,"$7,000,000",Free Agency
632,Chris Stratton,28,2TM,59.2,22,5,38,5.73,4.82,-0.22,-0.10,98.9,4.88,-5,-0.3,.35,-0.2,0.0,0,.485,.501,"$567,500",Traded
346,Nick Kingham,27,2TM,52.2,24,4,45,7.69,4.65,-0.33,-0.13,98.9,4.80,-16,-1.4,1.16,-0.2,-1.2,-12,.440,.495,"$569,000",Amateur Draft
264,Javy Guerra,33,2TM,44.0,34,0,24,4.91,4.53,-0.21,-0.31,102.8,4.56,-1,-0.1,.87,-0.1,0.2,3,.496,.499,"$800,000",Free Agency
169,Jake Diekman*,32,2TM,42.2,49,0,23,4.85,4.83,0.07,-0.32,103.1,4.57,-1,-0.1,1.44,-0.1,0.2,3,.498,.499,"$2,250,000",Free Agency
36,Shawn Armstrong,28,2TM,39.0,36,0,23,5.31,4.97,-0.49,-0.33,101.1,5.19,0,0.0,1.05,-0.1,0.3,4,.500,.502,"$559,100",Waivers
556,Sergio Romo,36,2TM,38.2,39,0,18,4.19,4.49,0.08,-0.31,94.5,3.87,-1,-0.1,1.48,-0.1,0.2,2,.498,.499,"$2,500,000",Free Agency
430,Mike Montgomery*,29,2TM,38.1,23,3,28,6.57,4.53,0.11,-0.16,104.3,4.44,-9,-0.8,1.29,-0.1,-0.6,-5,.465,.497,"$2,440,000",Traded
644,Anthony Swarzak,33,2TM,36.2,39,0,18,4.42,4.68,-0.11,-0.32,99.9,4.46,1,0.1,1.64,0.0,0.4,4,.502,.501,"$8,500,000",Traded
713,Matt Wisler,26,2TM,35.1,27,2,20,5.09,4.44,0.08,-0.30,101.6,4.10,-3,-0.3,.97,-0.1,-0.1,0,.488,.498,"$570,000",Traded
384,Matt Magill,29,2TM,32.2,31,0,25,6.89,4.81,0.15,-0.32,98.7,4.28,-9,-0.9,.64,0.1,-0.5,-6,.471,.496,"$560,000",Free Agency
722,Mike Wright,29,2TM,29.1,19,0,30,9.20,5.22,-0.64,-0.35,97.0,5.35,-12,-1.2,.36,0.3,-0.5,-9,.439,.496,"$567,500",Amateur Draft
570,Casey Sadler,28,2TM,27.2,15,0,6,1.95,4.88,0.34,-0.33,101.2,4.24,7,0.7,.41,-0.3,0.7,10,.549,.502,,Traded
437,Mike Morin,28,2TM,27.1,26,0,12,3.95,4.79,0.25,-0.32,98.5,4.16,1,0.1,.68,-0.1,0.2,4,.503,.500,,Free Agency
541,Fernando Rodney,42,2TM,27.0,31,0,20,6.67,4.59,-0.07,-0.31,99.6,4.31,-7,-0.6,1.08,0.1,-0.3,-4,.480,.498,"$5,250,000",Traded
3,Austin Adams,28,2TM,24.1,22,2,10,3.70,5.07,-0.30,-0.34,93.6,4.72,3,0.3,1.28,0.0,0.5,5,.513,.502,,Traded
414,Adalberto Mejia*,26,2TM,19.2,17,0,17,7.78,4.87,0.19,-0.32,96.5,4.20,-8,-0.7,1.14,0.0,-0.6,-6,.458,.496,"$560,000",Waivers
2,Austin Adams,32,2TM,16.2,15,0,13,7.02,4.86,-0.27,-0.32,103.7,4.98,-4,-0.3,.33,0.1,0.0,-2,.479,.500,,Waivers
560,Trevor Rosenthal,29,2TM,13.1,19,0,19,12.83,5.08,-0.23,-0.34,105.4,5.25,-11,-1.0,.90,0.0,-0.9,-10,.446,.496,"$7,000,000",Free Agency
587,Tayler Scott,27,2TM,9.2,7,2,15,13.97,5.16,-0.68,-0.34,95.5,5.25,-9,-0.8,.16,0.3,-0.4,-8,.384,.497,,Waivers
676,Jonny Venters*,34,2TM,8.0,12,0,16,18.00,4.37,0.02,-0.30,107.8,4.37,-12,-1.1,1.18,0.0,-1.1,-11,.408,.495,"$2,250,000",Traded
143,Jimmy Cordero,27,2TM,7.2,6,0,4,4.70,5.26,-0.28,-0.35,100.8,5.22,0,0.0,.30,0.0,0.1,1,.508,.500,,Waivers
214,Wilmer Font,29,3TM,53.0,29,3,30,5.09,4.59,-0.22,-0.21,95.1,4.36,-4,-0.4,.70,-0.1,0.1,1,.488,.499,"$560,400",Traded
65,Jesse Biddle*,27,3TM,28.0,30,0,33,10.61,5.05,-0.27,-0.34,103.0,5.11,-17,-1.6,.76,0.2,-1.1,-14,.448,.497,"$575,000",Waivers
563,Zac Rosscup*,31,3TM,18.0,28,0,15,7.50,5.03,-0.27,-0.34,99.5,4.91,-5,-0.5,1.05,0.1,-0.2,-3,.484,.499,"$610,000",Free Agency
260,Zack Greinke,35,ARI,146.0,23,23,48,2.96,4.65,0.49,0.20,101.9,4.45,27,2.9,,-0.1,4.1,38,.626,.518,"$34,500,000",Free Agency
524,Robbie Ray*,27,ARI,129.0,23,23,63,4.40,4.56,0.43,0.20,103.3,4.48,3,0.3,,-0.1,1.4,13,.514,.502,"$6,050,000",Traded
340,Merrill Kelly,30,ARI,125.1,22,22,67,4.81,4.66,0.56,0.20,100.3,4.32,-5,-0.5,,-0.1,0.5,5,.479,.497,"$2,000,000",Free Agency
246,Zack Godley,29,ARI,73.1,26,9,52,6.38,4.71,0.56,-0.01,100.6,4.17,-17,-1.6,.57,0.0,-0.9,-11,.438,.490,"$609,400",Traded
693,Luke Weaver,25,ARI,62.1,11,11,22,3.18,4.61,0.48,0.20,102.7,4.45,10,1.0,,0.0,1.6,15,.595,.506,"$581,300",Traded
130,Taylor Clarke,26,ARI,57.0,13,12,38,6.00,4.96,0.57,0.19,101.2,4.64,-8,-0.7,.28,0.0,-0.3,-3,.443,.495,,Amateur Draft
81,Archie Bradley,26,ARI,47.1,42,1,24,4.56,4.77,0.46,-0.33,103.3,4.11,-2,-0.2,1.10,-0.1,0.2,2,.496,.499,"$1,830,000",Amateur Draft
31,Matt Andriese,29,ARI,45.2,37,0,30,5.91,4.73,0.51,-0.32,102.3,3.98,-9,-0.9,.92,-0.1,-0.5,-6,.476,.494,"$920,000",Traded
372,Yoan Lopez,26,ARI,43.0,49,0,15,3.14,4.75,0.52,-0.33,102.6,4.01,5,0.5,1.33,0.0,0.9,8,.510,.503,"$556,900",Amateur Free Agent
300,Yoshihisa Hirano,35,ARI,39.2,48,0,22,4.99,4.80,0.48,-0.33,102.6,4.09,-3,-0.3,1.48,-0.2,-0.1,0,.493,.498,"$3,000,000",Free Agency
406,T.J. McFarland*,30,ARI,39.2,27,0,25,5.67,4.54,0.57,-0.31,103.8,3.79,-8,-0.8,.93,-0.1,-0.5,-5,.472,.495,"$1,400,000",Free Agency
119,Andrew Chafin*,29,ARI,36.2,52,0,18,4.42,4.78,0.45,-0.33,102.9,4.12,-1,-0.1,1.17,-0.1,0.2,2,.499,.500,"$1,945,000",Amateur Draft
304,Greg Holland,33,ARI,33.2,38,0,17,4.54,4.74,0.44,-0.33,99.9,3.97,-2,-0.2,1.78,-0.1,0.0,1,.496,.499,"$3,250,000",Free Agency
730,Alex Young*,25,ARI,28.2,6,5,8,2.51,4.35,0.49,0.15,98.8,3.95,5,0.5,1.00,0.0,0.8,7,.590,.503,,Amateur Draft
180,Jon Duplantier,24,ARI,25.0,8,3,12,4.32,4.96,0.50,-0.05,101.8,4.50,1,0.1,1.29,0.0,0.3,3,.511,.501,,Amateur Draft
352,Matt Koch,28,ARI,20.2,9,0,21,9.15,4.85,0.67,-0.33,98.1,3.78,-12,-1.1,.29,0.3,-0.6,-10,.380,.493,"$567,600",Traded
146,Stefan Crichton,27,ARI,14.2,12,0,5,3.07,4.75,0.46,-0.33,103.3,4.09,2,0.2,.48,-0.1,0.2,3,.516,.501,,Traded
594,Jimmie Sherfy,27,ARI,9.2,5,0,1,0.93,4.36,0.53,-0.30,106.9,3.77,3,0.3,.98,0.0,0.4,4,.568,.502,,Amateur Draft
441,John Ryan Murphy,28,ARI,3.0,2,0,9,27.00,5.67,1.13,-0.39,89.8,3.73,-8,-0.6,.01,0.3,-0.3,-7,.223,.497,"$900,000",Traded
329,Caleb Joseph,33,ARI,1.1,2,0,0,0.00,4.39,0.52,-0.30,103.5,3.70,1,0.1,.00,0.0,0.0,1,.529,.500,,Free Agency
651,Julio Teheran,28,ATL,125.0,23,23,53,3.82,4.46,0.16,0.20,103.1,4.64,13,1.4,,-0.1,2.4,23,.561,.509,"$11,166,667",Amateur Free Agent
613,Mike Soroka,21,ATL,114.0,19,19,34,2.68,4.54,0.17,0.19,100.0,4.56,26,2.8,,-0.1,3.7,34,.648,.517,,Amateur Draft
220,Max Fried*,25,ATL,109.0,22,20,53,4.38,4.45,0.17,0.18,104.0,4.64,5,0.5,1.24,-0.1,1.4,13,.523,.503,"$565,000",Traded
235,Kevin Gausman,28,ATL,75.1,15,15,55,6.57,4.51,0.17,0.19,102.1,4.62,-15,-1.4,,-0.1,-0.8,-9,.407,.491,"$9,350,000",Traded
213,Mike Foltynewicz,27,ATL,59.1,11,11,47,7.13,4.66,0.18,0.20,102.1,4.78,-15,-1.3,,0.0,-0.8,-10,.381,.492,"$5,475,000",Traded
657,Josh Tomlin,34,ATL,57.0,37,0,25,3.95,4.61,0.18,-0.24,102.8,4.31,3,0.3,.85,-0.1,0.7,8,.509,.502,"$100,000",Free Agency
317,Luke Jackson,27,ATL,50.0,47,0,25,4.50,4.46,0.15,-0.31,103.3,4.14,-1,-0.1,1.75,-0.2,0.2,3,.497,.499,"$585,000",Free Agency
343,Dallas Keuchel*,31,ATL,49.0,8,8,23,4.22,4.46,0.17,0.20,104.1,4.66,3,0.3,,0.0,0.7,7,.541,.502,"$13,000,000",Free Agency
450,Sean Newcomb*,26,ATL,48.1,33,4,17,3.17,4.56,0.17,-0.17,102.3,4.32,7,0.7,1.38,0.0,1.2,11,.522,.504,"$575,000",Traded
659,Touki Toussaint,23,ATL,41.2,24,1,28,6.05,4.67,0.16,-0.18,100.9,4.36,-7,-0.7,1.13,-0.1,-0.4,-4,.471,.496,,Traded
694,Jacob Webb,25,ATL,32.1,36,0,10,2.78,4.63,0.16,-0.32,100.7,4.19,6,0.6,1.09,-0.1,0.8,8,.516,.503,,Amateur Draft
427,A.J. Minter*,25,ATL,27.1,34,0,22,7.24,4.60,0.17,-0.32,104.0,4.28,-9,-0.8,1.49,-0.3,-0.9,-6,.475,.495,"$575,000",Amateur Draft
611,Chad Sobotka,25,ATL,26.0,27,0,18,6.23,4.41,0.15,-0.30,106.3,4.21,-5,-0.5,.96,0.0,-0.4,-3,.480,.497,"$565,000",Amateur Draft
712,Dan Winkler,29,ATL,21.2,27,0,14,5.82,4.52,0.15,-0.31,99.9,4.05,-4,-0.4,1.34,-0.1,-0.3,-2,.486,.498,"$1,610,000",Rule 5 Draft
73,Jerry Blevins*,35,ATL,21.0,28,0,10,4.29,4.64,0.15,-0.32,101.8,4.25,0,0.0,1.01,0.0,0.2,2,.501,.500,,Purchased
709,Bryse Wilson,21,ATL,18.2,5,4,16,7.71,4.39,0.18,0.17,105.0,4.60,-6,-0.6,.03,0.0,-0.4,-5,.388,.497,"$565,000",Amateur Draft
721,Kyle Wright,23,ATL,16.2,4,4,18,9.72,4.48,0.18,0.20,106.0,4.76,-9,-0.7,,0.0,-0.6,-8,.315,.495,"$565,000",Amateur Draft
476,Wes Parsons,26,ATL,15.1,17,0,7,4.11,4.74,0.14,-0.33,106.0,4.53,1,0.1,1.21,0.0,0.2,2,.506,.501,"$565,000",Amateur Free Agent
107,Shane Carle,27,ATL,9.1,6,0,10,9.64,4.40,0.19,-0.30,106.0,4.15,-6,-0.5,.66,0.1,-0.4,-5,.414,.497,"$575,000",Traded
156,Grant Dayton*,31,ATL,8.1,10,0,3,3.24,4.97,0.16,-0.34,101.0,4.52,1,0.1,.42,-0.1,0.2,2,.513,.501,"$585,000",Waivers
681,Arodys Vizcaino,28,ATL,4.0,4,0,1,2.25,4.21,0.11,-0.29,106.0,4.03,1,0.1,1.24,0.0,0.1,1,.522,.501,"$4,800,000",Traded
688,Jeremy Walker,24,ATL,3.0,3,0,0,0.00,4.43,0.13,-0.30,106.9,4.27,1,0.2,.07,-0.1,0.1,2,.551,.501,,Amateur Draft
729,Huascar Ynoa,21,ATL,3.0,2,0,6,18.00,4.49,0.23,-0.31,104.9,4.15,-5,-0.4,.06,0.2,-0.2,-4,.311,.498,,Traded
