Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,32,4.46,.693,50,450,324,4095.0,1865,1365,480,20,38,.989,12,3,21,6
ATL,37,4.63,.705,51,459,371,4119.0,1857,1373,459,25,43,.987,9,3,19,1
BAL,39,6.10,.698,50,450,320,3957.0,1808,1319,453,36,53,.980,6,2,-33,-10
BOS,37,4.70,.698,50,450,366,4050.0,1823,1350,445,28,38,.985,6,2,8,2
CHC,33,4.15,.689,48,432,303,3939.0,1884,1313,533,38,46,.980,9,3,7,0
CHW,35,5.06,.679,49,441,341,3777.0,1724,1259,424,41,49,.976,-15,-5,-21,-1
CIN,29,3.59,.693,49,441,304,3930.0,1775,1310,444,21,45,.988,3,1,24,7
CLE,36,3.90,.703,49,441,344,3864.0,1709,1288,399,22,29,.987,13,4,7,0
COL,36,5.27,.689,48,432,343,3909.0,1829,1303,502,24,46,.987,5,2,-10,-3
DET,38,5.33,.685,48,432,362,3840.0,1749,1280,438,31,41,.982,-24,-8,-16,-1
HOU,29,3.53,.736,51,459,354,4032.0,1784,1344,419,21,23,.988,23,7,25,8
KCR,34,5.24,.683,49,441,369,3870.0,1763,1290,456,17,48,.990,2,1,7,2
ANA,37,5.08,.702,49,441,332,3888.0,1731,1296,410,25,32,.986,-2,-1,-7,0
LAD,32,3.90,.721,50,450,314,3990.0,1793,1330,440,23,39,.987,18,5,45,13
FLA,32,4.60,.693,47,423,313,3786.0,1726,1262,437,27,48,.984,-11,-3,-8,-2
MIL,36,4.65,.700,51,459,340,4170.0,1874,1390,459,25,49,.987,4,1,21,1
MIN,34,4.06,.697,49,441,350,3897.0,1722,1299,399,24,31,.986,20,6,19,6
NYM,39,4.80,.677,49,441,265,3930.0,1768,1310,421,37,40,.979,-27,-8,-36,-2
NYY,40,4.06,.704,49,441,347,3945.0,1767,1315,415,37,37,.979,5,2,-15,-1
OAK,30,4.33,.717,51,459,369,4149.0,1847,1383,438,26,33,.986,0,0,5,1
PHI,35,4.42,.684,50,450,352,4077.0,1881,1359,491,31,44,.984,1,0,-11,-3
PIT,39,4.85,.683,47,423,304,3789.0,1723,1263,426,34,41,.980,-4,-1,-6,-2
SDP,36,4.14,.702,50,450,329,4005.0,1798,1335,434,29,25,.984,-1,0,6,0
SEA,45,5.94,.669,52,468,363,4152.0,1916,1384,476,56,46,.971,-33,-10,-49,-2
SFG,38,4.86,.699,49,441,342,3969.0,1804,1323,446,35,35,.981,5,1,35,11
STL,33,4.65,.711,49,441,317,3885.0,1790,1295,470,25,48,.986,6,2,5,1
TBD,37,3.21,.714,47,423,314,3858.0,1749,1286,444,19,45,.989,20,6,26,8
TEX,33,5.47,.672,47,423,341,3756.0,1685,1252,406,27,48,.984,-21,-7,-23,-7
TOR,38,4.46,.701,50,450,362,4002.0,1845,1334,474,37,41,.980,8,3,-13,-1
WSN,38,5.18,.667,50,450,363,3948.0,1759,1316,409,34,33,.981,-28,-8,-38,-11
