date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2017-10-01,2017,0,,CHC,CIN,1559.46678283774,1459.58589977592,0.6710892467820923,0.32891075321790775,1556.78967356164,1462.26300905202,1562.04207794124,1451.36602227678,Mike Montgomery,Deck McGuire,49.4966765234891,45.6708412690188,-12.369341422572017,-3.7267919102031892,0.673818581167598,0.32618141883240204,1559.34887964051,1454.05922057751,1,3
2017-10-01,2017,0,,STL,MIL,1522.02513964072,1510.81589323446,0.550497429620674,0.44950257037932595,1518.71223379058,1514.1287990846,1517.93050388734,1507.19985533677,Jack Flaherty,Aaron Wilkerson,45.4525777303505,46.3177725814755,-15.901750565205148,-16.946498017723087,0.5513037405072332,0.4486962594927668,1514.6115886445,1510.51877057961,1,6
2017-10-01,2017,0,,KCR,ARI,1492.13180425904,1529.05355568921,0.4814126742508872,0.5185873257491128,1487.3595108736,1533.82584907465,1481.63551580287,1534.97652494852,Jason Vargas,Robbie Ray,49.4272471861485,54.7437779422028,6.117175824300179,13.449152272402292,0.44741846557064946,0.5525815344293505,1477.29156213899,1539.3204786124,2,14
2017-10-01,2017,0,,TBD,BAL,1501.87539845457,1486.70840093153,0.5561282741470724,0.44387172585292756,1504.71963398573,1483.86416540037,1502.53074901407,1477.23504922995,Blake Snell,Kevin Gausman,50.3628968972549,51.5471129156894,0.939791126918837,26.07402416681113,0.534715201340953,0.46528479865904704,1505.55381651699,1474.21198172703,6,0
2017-10-01,2017,0,,MIN,DET,1515.77053767319,1444.96882052174,0.6331426221152389,0.36685737788476114,1517.4539691916,1443.28538900333,1510.46871707881,1444.76498848353,Bartolo Colon,Anibal Sanchez,41.8905576078028,45.1372660330913,-28.367481184807556,-10.512112619483085,0.6019489570072165,0.3980510429927835,1512.35455019377,1442.87915536857,5,1
2017-10-01,2017,0,,FLA,ATL,1484.19763710762,1464.36677979258,0.5627451601375071,0.4372548398624929,1481.57883876189,1466.98557813831,1485.99239049011,1463.78162927207,Jose Urena,Max Fried,47.8486708323106,47.0557771774291,13.290898884629435,-1.3699707568804678,0.586715853478767,0.413284146521233,1483.23374039133,1466.54027937085,5,8
2017-10-01,2017,0,,COL,LAD,1510.27485357819,1552.05803395612,0.47443027162454116,0.5255697283754588,1508.35538874204,1553.97749879227,1510.94880706508,1561.86629863126,Tyler Anderson,Ross Stripling,54.0893352511052,49.1123729394753,14.591735970100183,-14.655290255301011,0.5033524196252427,0.4966475803747573,1508.88051937637,1563.93458631997,3,6
2017-10-01,2017,0,,CLE,CHW,1601.70404440287,1467.4123692366,0.7132456834663743,0.2867543165336257,1602.51717681477,1466.5992368247,1602.75997607758,1464.88633530948,Josh Tomlin,Chris Volstad,49.4798031513144,45.6944873070133,-33.51158965601784,-5.369532568627286,0.6834821446935315,0.3165178553064685,1603.70502285444,1463.94128853262,3,1
2017-10-01,2017,0,,ANA,SEA,1508.02276605307,1505.25599659792,0.5384444478981991,0.4615555521018009,1510.37861165751,1502.90015099348,1510.1638588635,1509.29379107016,Parker Bridwell,James Paxton,48.9964889838832,54.4564453935104,0.657578700100423,32.153594063374996,0.4904656508003689,0.5095343491996311,1512.83376666794,1506.62388326572,6,2
2017-10-01,2017,0,,WSN,PIT,1544.16495912064,1482.74556211164,0.6205100237810389,0.3794899762189611,1541.21163818749,1485.69888304479,1554.09800721894,1483.40018031172,Gio Gonzalez,Steven Brault,55.2075345149974,48.2855716107373,8.0322215566757,-4.124509505805164,0.6491042764225596,0.35089572357744037,1550.96105213704,1486.53713539362,8,11
2017-10-01,2017,0,,TEX,OAK,1495.90397654315,1487.36003813042,0.5466979977910928,0.45330200220890715,1493.55820661931,1489.70580805426,1499.53973698323,1488.99113412665,Cole Hamels,Daniel Mengden,53.3462576069077,47.6895330734726,19.655166008821613,5.36793741658994,0.5698211883689545,0.43017881163104554,1497.07031970756,1491.46055140232,2,5
2017-10-01,2017,0,,SFG,SDP,1460.29632040185,1452.88056451719,0.5450880922676425,0.45491190773235746,1461.546963053,1451.62992186604,1464.69652688927,1448.97520567605,Johnny Cueto,Luis Perdomo,51.211991256823,44.5996997782235,10.620689334683773,-2.1812752959862958,0.5750164868409198,0.42498351315908023,1465.84038611755,1447.83134644777,5,4
2017-10-01,2017,0,,PHI,NYM,1461.98740615504,1462.94279733804,0.5331153100748498,0.4668846899251502,1466.38815291674,1458.54205057634,1465.38792809702,1465.79113263554,Nick Pivetta,Noah Syndergaard,45.518782173136,56.7101951476674,-12.850512004867287,51.463136582775945,0.4416705279472067,0.5583294720527934,1470.89278437173,1460.28627636083,11,0
2017-10-01,2017,0,,NYY,TOR,1567.17601395249,1500.07201435663,0.6281846468734024,0.37181535312659764,1565.35870020031,1501.88932810881,1562.80583294913,1494.58892060125,Jordan Montgomery,Brett Anderson,52.3571902209015,42.4416868452329,-2.459809018125671,-33.28991776820753,0.670028860287469,0.329971139712531,1560.81889094554,1496.57586260484,1,2
2017-10-01,2017,0,,BOS,HOU,1558.04510890293,1560.67435939355,0.5307162524848651,0.4692837475151349,1556.57533591215,1562.14413238433,1554.54063288786,1567.34167084427,Hector Velazquez,Collin McHugh,45.4853232850685,52.5029041479625,-34.33642063340656,3.0269617573718612,0.4624173914386651,0.5375826085613349,1553.3048200346,1568.57748369753,3,4
2017-09-30,2017,0,,ANA,SEA,1510.0575540823,1503.22120856869,0.5442609106488876,0.4557390893511124,1508.02276605307,1505.25599659792,1512.20552913507,1507.25212079859,Ricky Nolasco,Andrew Moore,47.3157774970341,45.4532422956341,-7.205735016540828,-10.13011806567618,0.5457475283546716,0.45425247164532845,1510.1638588635,1509.29379107016,4,6
2017-09-30,2017,0,,COL,LAD,1511.81913489306,1550.51375264125,0.4788653457083816,0.5211346542916184,1510.27485357819,1552.05803395612,1512.16469546485,1560.65041023149,German Marquez,Clayton Kershaw,49.7181031818872,60.9770406336699,-5.65339824181936,40.818929413318955,0.3992796843164587,0.6007203156835412,1510.94880706508,1561.86629863126,3,5
2017-09-30,2017,0,,TEX,OAK,1493.67338788142,1489.59062679215,0.5403265586216931,0.4596734413783069,1495.90397654315,1487.36003813042,1497.53171473167,1490.99915637821,Andrew Cashner,Daniel Gossett,50.0589586485791,42.9246343259263,4.7334941490448665,-17.80691791762213,0.5757895557176805,0.42421044428231947,1499.53973698323,1488.99113412665,8,4
2017-09-30,2017,0,,KCR,ARI,1490.68941492638,1530.49594502187,0.4772682557276935,0.5227317442723065,1492.13180425904,1529.05355568921,1480.21921977597,1536.39282097542,Jakob Junis,Taijuan Walker,50.7313851104308,49.845064423921,12.612398652945082,-9.056567410040362,0.48488721962144904,0.5151127803785509,1481.63551580287,1534.97652494852,4,3
2017-09-30,2017,0,,MIN,DET,1517.62616517736,1443.11319301757,0.6380905717409932,0.36190942825900685,1515.77053767319,1444.96882052174,1512.40727871626,1442.82642684608,Aaron Slegers,Buck Farmer,47.0115913222785,42.0701570440987,-4.068124947334165,-24.66894034496228,0.6586496786161165,0.34135032138388355,1510.46871707881,1444.76498848353,2,3
2017-09-30,2017,0,,FLA,ATL,1480.77818962084,1467.78622727936,0.5530354582192245,0.4469645417807755,1484.19763710762,1464.36677979258,1482.75271202355,1467.02130773863,Odrisamer Despaigne,Lucas Sims,46.9939153945891,47.6890042253494,9.923406979196095,-0.04412931363489747,0.571038656191846,0.428961343808154,1485.99239049011,1463.78162927207,10,2
2017-09-30,2017,0,,CLE,CHW,1603.92764109239,1465.18877254708,0.7184528662795289,0.28154713372047113,1601.70404440287,1467.4123692366,1605.35911057619,1462.28720081087,Corey Kluber,Carson Fulmer,67.0632059372933,47.6189143144917,49.09971072602434,4.370744857883039,0.7719269321254669,0.22807306787453308,1602.75997607758,1464.88633530948,1,2
2017-09-30,2017,0,,WSN,PIT,1547.16906551945,1479.74145571283,0.6286196463481076,0.37138035365189237,1544.16495912064,1482.74556211164,1557.50006129401,1479.99812623665,Max Scherzer,Jameson Taillon,61.129257895467,49.3188428018381,36.16550577866338,1.6918263340463795,0.6862700354184139,0.3137299645815861,1554.09800721894,1483.40018031172,1,4
2017-09-30,2017,0,,PHI,NYM,1464.45333024637,1460.47687324671,0.5401745661418723,0.4598254338581277,1461.98740615504,1462.94279733804,1467.7318422163,1463.44721851626,Henderson Alvarez,Seth Lugo,47.3926997798943,48.0879500475901,-4.544341815751326,10.866339816707722,0.5185186172774802,0.48148138272251984,1465.38792809702,1465.79113263554,4,7
2017-09-30,2017,0,,TBD,BAL,1500.65135725789,1487.93244212821,0.552646900440953,0.447353099559047,1501.87539845457,1486.70840093153,1501.34655104398,1478.41924720004,Chris Archer,Miguel Castro,50.8071083859835,47.4,3.7593762842632623,6.099870109006313,0.5638156374471682,0.4361843625528318,1502.53074901407,1477.23504922995,4,3
2017-09-30,2017,0,,STL,MIL,1520.82194488495,1512.01908799023,0.5470673354256455,0.45293266457435455,1522.02513964072,1510.81589323446,1516.78591614906,1508.34444307505,Luke Weaver,Junior Guerra,51.6237195442169,49.8706074777292,11.821103769266193,-0.4980036796548568,0.5640616239100216,0.43593837608997843,1517.93050388734,1507.19985533677,7,6
