HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.68,0.30591583,2.28,0.69408417,0.0,04,20
2.42,0.42074135,1.62,0.5792586,1.0,04,20
2.31,0.3768195,1.66,0.6231805,0.0,04,20
1.94,0.6601831,1.92,0.339817,1.0,04,20
1.77,0.70689267,2.12,0.2931073,1.0,04,20
1.75,0.8048672,2.16,0.19513273,1.0,04,20
1.94,0.5932699,1.93,0.40673015,1.0,04,20
1.71,0.5292951,2.23,0.4707049,0.0,04,20
3.41,0.3055063,1.34,0.6944938,0.0,04,21
1.99,0.28652906,1.87,0.71347094,0.0,04,21
1.63,0.62046546,2.4,0.37953454,0.0,04,21
1.91,0.7257197,1.95,0.27428028,0.0,04,21
1.93,0.4136255,1.93,0.5863745,0.0,04,21
1.56,0.5361063,2.52,0.46389374,0.0,04,21
2.06,0.6665779,1.82,0.33342215,1.0,04,21
1.78,0.2653609,2.12,0.73463917,0.0,04,21
2.76,0.46374118,1.48,0.5362588,0.0,04,21
1.64,0.51868576,2.37,0.4813143,1.0,04,21
2.62,0.66559297,1.54,0.33440697,1.0,04,21
2.37,0.4521594,1.64,0.54784065,0.0,04,21
2.01,0.6371829,1.86,0.36281714,1.0,04,22
1.63,0.83505595,2.39,0.164944,1.0,04,22
1.79,0.3457758,2.1,0.6542242,0.0,04,22
2.85,0.43171385,1.46,0.5682861,0.0,04,22
1.92,0.3650683,1.94,0.63493174,0.0,04,22
2.72,0.18417369,1.5,0.81582636,0.0,04,22
1.55,0.58363587,2.59,0.41636404,1.0,04,22
1.73,0.3869594,2.2,0.6130406,0.0,04,22
1.79,0.5912315,2.1,0.40876848,0.0,04,22
1.77,0.77288985,2.13,0.22711019,1.0,04,22
2.14,0.54493386,1.76,0.45506614,1.0,04,22
1.77,0.45744127,2.13,0.54255867,0.0,04,22
1.92,0.1763891,1.95,0.8236109,0.0,04,22
1.59,0.55234313,2.46,0.44765687,1.0,04,22
2.17,0.39522216,1.75,0.6047778,1.0,04,22
1.62,0.71933305,2.42,0.28066698,1.0,04,23
1.8,0.8459112,2.08,0.1540888,1.0,04,23
1.58,0.43911427,2.49,0.5608858,1.0,04,23
2.0,0.30544755,1.87,0.6945525,0.0,04,23
1.67,0.6049461,2.3,0.39505398,1.0,04,23
1.73,0.41788495,2.2,0.58211505,1.0,04,23
2.3,0.20438533,1.67,0.79561466,0.0,04,23
2.52,0.52089,1.58,0.47911,1.0,04,23
1.72,0.58051676,2.21,0.41948318,0.0,04,23
1.84,0.7186023,2.05,0.28139773,0.0,04,23
1.94,0.51453173,1.92,0.48546833,1.0,04,23
2.05,0.46278653,1.83,0.53721344,0.0,04,23
2.35,0.34593692,1.66,0.65406305,0.0,04,23
1.91,0.23083785,1.95,0.7691622,1.0,04,23
2.07,0.5544901,1.81,0.44550988,1.0,04,23
1.86,0.6073652,2.0,0.3926348,0.0,04,24
1.53,0.47135457,2.65,0.52864534,1.0,04,24
2.5,0.44506907,1.58,0.5549309,0.0,04,24
2.46,0.27175987,1.6,0.72824013,0.0,04,24
2.5,0.15001176,1.58,0.8499882,0.0,04,24
1.58,0.8807078,2.48,0.11929214,1.0,04,24
1.8,0.62575996,2.08,0.37424007,1.0,04,24
1.96,0.6151737,1.9,0.3848263,1.0,04,24
