HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT
1.4,0.5273555,3.11,0.47264454,0.0
1.72,0.43502873,2.2,0.5649713,0.0
2.26,0.61748713,1.68,0.38251293,0.0
1.71,0.6130317,2.23,0.38696826,0.0
1.83,0.55096644,2.04,0.44903365,1.0
1.85,0.43691638,2.02,0.5630836,0.0
2.0,0.441945,1.87,0.558055,0.0
1.97,0.6201261,1.89,0.37987387,0.0
1.5,0.6347068,2.72,0.3652932,1.0
2.33,0.4374333,1.66,0.5625667,1.0
1.51,0.80413103,2.67,0.19586898,1.0
1.84,0.28892368,2.04,0.71107626,0.0
1.6,0.67023087,2.47,0.3297691,1.0
2.28,0.13334017,1.68,0.8666599,0.0
2.06,0.25287908,1.82,0.7471209,0.0
1.81,0.49072218,2.07,0.5092778,1.0
1.72,0.7457455,2.21,0.25425458,0.0
1.32,0.6029538,3.59,0.3970462,1.0
1.74,0.5765404,2.18,0.4234595,1.0
1.69,0.4418259,2.29,0.55817413,1.0
2.1,0.46089914,1.79,0.5391009,1.0
1.68,0.5753363,2.32,0.42466375,1.0
2.71,0.5655625,1.5,0.4344375,0.0
1.7,0.6534853,2.25,0.34651464,1.0
1.76,0.555413,2.15,0.44458702,0.0
1.89,0.6559295,1.97,0.3440705,1.0
1.95,0.4129233,1.9,0.58707666,1.0
1.92,0.59875906,1.94,0.40124103,0.0
1.75,0.44310763,2.16,0.5568924,1.0
1.64,0.45267,2.38,0.54733,0.0
1.93,0.5924289,1.94,0.40757108,1.0
2.22,0.5281202,1.71,0.47187975,0.0
2.27,0.61221904,1.68,0.38778102,1.0
1.78,0.65929633,2.13,0.34070367,1.0
1.79,0.61140734,2.11,0.38859263,1.0
1.94,0.5553186,1.92,0.44468147,1.0
1.56,0.770377,2.55,0.22962303,1.0
1.41,0.53621227,3.09,0.4637877,0.0
1.96,0.47777084,1.91,0.52222914,1.0
1.9,0.21560492,1.97,0.7843951,0.0
1.68,0.6531494,2.28,0.34685054,1.0
1.9,0.46540228,1.95,0.5345978,0.0
2.57,0.4578106,1.55,0.5421893,0.0
1.76,0.58104587,2.15,0.4189541,0.0
2.01,0.51273537,1.86,0.4872646,0.0
1.81,0.35728878,2.08,0.6427112,0.0
1.71,0.65681773,2.23,0.34318224,1.0
1.67,0.53429973,2.28,0.46570036,0.0
1.56,0.60090935,2.57,0.39909068,0.0
1.64,0.4475097,2.36,0.5524903,1.0
2.15,0.5034376,1.74,0.49656242,0.0
1.6,0.4436368,2.45,0.5563632,0.0
1.99,0.45364633,1.86,0.54635364,0.0
2.81,0.43945655,1.45,0.5605435,1.0
1.99,0.5785019,1.87,0.42149806,0.0
1.86,0.6095057,2.0,0.3904943,1.0
1.61,0.6380344,2.38,0.36196557,1.0
1.93,0.57361335,1.9,0.4263866,1.0
1.86,0.44029054,2.0,0.5597094,1.0
1.85,0.5133831,2.02,0.48661685,0.0
2.36,0.578022,1.64,0.42197803,1.0
1.82,0.4783855,2.05,0.52161455,0.0
1.77,0.64680684,2.13,0.35319316,1.0
1.88,0.55292475,1.98,0.44707528,1.0
1.67,0.4589226,2.31,0.5410774,1.0
1.75,0.3808867,2.15,0.6191133,0.0
1.76,0.5569096,2.14,0.4430904,0.0
1.84,0.56514823,2.04,0.4348518,1.0
1.68,0.43152776,2.28,0.5684723,0.0
2.42,0.53315884,1.62,0.4668412,1.0
2.31,0.43099636,1.66,0.5690036,0.0
1.94,0.6332412,1.92,0.36675876,1.0
1.77,0.5994172,2.12,0.40058273,1.0
1.75,0.7467981,2.16,0.2532019,1.0
1.94,0.6145011,1.93,0.3854989,1.0
1.71,0.47406194,2.23,0.525938,0.0
3.41,0.28230092,1.34,0.71769905,0.0
1.99,0.26278687,1.87,0.73721313,0.0
1.63,0.6201996,2.4,0.37980035,0.0
1.91,0.6986291,1.95,0.3013709,0.0
1.93,0.37070957,1.93,0.6292904,0.0
1.56,0.499164,2.52,0.500836,0.0
2.06,0.57541275,1.82,0.42458725,1.0
1.78,0.32896253,2.12,0.6710375,0.0
2.76,0.56678575,1.48,0.43321425,0.0
1.64,0.615962,2.37,0.38403797,1.0
2.62,0.5691471,1.54,0.43085292,1.0
2.37,0.54431003,1.64,0.45568997,0.0
2.01,0.581068,1.86,0.418932,1.0
1.63,0.67624927,2.39,0.32375073,1.0
1.79,0.53672993,2.1,0.46327004,0.0
2.85,0.55387455,1.46,0.44612548,0.0
1.92,0.30309922,1.94,0.6969007,0.0
2.72,0.16143432,1.5,0.8385657,0.0
1.55,0.58984524,2.59,0.41015476,1.0
1.73,0.54712975,2.2,0.45287025,0.0
1.79,0.6869378,2.1,0.31306213,0.0
1.77,0.7053683,2.13,0.29463166,1.0
2.14,0.6206614,1.76,0.3793386,1.0
1.77,0.5656368,2.13,0.43436322,0.0
1.92,0.42339942,1.95,0.5766006,0.0
1.59,0.5745518,2.46,0.4254482,1.0
2.17,0.5512968,1.75,0.44870323,1.0
1.62,0.61923826,2.42,0.38076177,1.0
1.8,0.68591326,2.08,0.31408674,1.0
1.58,0.58331746,2.49,0.41668257,1.0
2.0,0.1776028,1.87,0.82239723,0.0
1.67,0.5951124,2.3,0.40488765,1.0
1.73,0.56020164,2.2,0.43979838,1.0
2.3,0.23852816,1.67,0.7614718,0.0
2.52,0.6051248,1.58,0.39487523,1.0
1.72,0.68840206,2.21,0.3115979,0.0
1.84,0.6659042,2.05,0.33409578,0.0
1.94,0.5952206,1.92,0.40477937,1.0
2.05,0.58083135,1.83,0.41916865,0.0
2.35,0.5108739,1.66,0.48912606,0.0
1.91,0.44279414,1.95,0.55720586,1.0
2.07,0.57041764,1.81,0.42958236,1.0
1.86,0.5600267,2.0,0.4399733,0.0
1.53,0.59633434,2.65,0.40366563,1.0
2.5,0.558922,1.58,0.44107795,0.0
2.46,0.12304983,1.6,0.87695014,0.0
2.5,0.09669093,1.58,0.9033091,0.0
1.58,0.73356,2.48,0.26643997,1.0
1.8,0.60407543,2.08,0.39592463,1.0
1.96,0.70000887,1.9,0.2999911,1.0
1.71,0.71464485,2.23,0.2853551,1.0
1.79,0.44070968,2.1,0.55929035,0.0
1.98,0.5571403,1.89,0.44285974,0.0
1.97,0.55517167,1.89,0.4448283,0.0
2.13,0.57261515,1.77,0.42738485,0.0
2.33,0.4627684,1.66,0.53723156,0.0
1.92,0.52935857,1.94,0.4706414,0.0
1.52,0.65225995,2.58,0.3477401,0.0
2.11,0.19051217,1.76,0.8094879,0.0
1.76,0.35872588,2.15,0.6412741,1.0
1.46,0.6927987,2.82,0.3072013,1.0
1.78,0.7002292,2.12,0.2997708,1.0
2.06,0.58257425,1.82,0.41742575,0.0
2.27,0.557212,1.66,0.44278806,1.0
1.73,0.60252774,2.14,0.39747226,0.0
1.82,0.5768582,2.0,0.4231417,1.0
1.85,0.65973246,2.01,0.3402675,1.0
1.79,0.53499234,2.01,0.4650076,0.0
1.69,0.5377196,2.2,0.46228042,1.0
1.54,0.65035045,2.62,0.3496496,1.0
1.49,0.62679166,2.76,0.3732083,0.0
2.07,0.6150354,1.82,0.38496462,0.0
2.97,0.111143015,1.43,0.88885695,0.0
2.16,0.12340488,1.75,0.87659514,0.0
1.64,0.7001446,2.37,0.2998554,1.0
1.81,0.7210012,2.07,0.2789988,1.0
1.42,0.6197039,3.02,0.38029614,1.0
2.06,0.6297017,1.82,0.37029833,1.0
1.97,0.59833694,1.9,0.40166304,1.0
2.45,0.5633129,1.61,0.43668705,0.0
2.12,0.47078022,1.77,0.5292198,0.0
2.09,0.65760505,1.81,0.34239495,1.0
1.31,0.56764585,3.69,0.4323541,0.0
2.31,0.50521433,1.67,0.4947856,1.0
1.47,0.6475672,2.83,0.3524328,1.0
1.5,0.6410385,2.72,0.35896152,1.0
1.46,0.6102653,2.81,0.38973472,0.0
1.79,0.6196972,2.1,0.38030282,0.0
1.49,0.5519135,2.77,0.4480865,1.0
1.96,0.2959628,1.9,0.7040372,1.0
1.47,0.7343522,2.83,0.2656478,1.0
1.86,0.6779542,2.01,0.3220458,0.0
1.83,0.6420786,2.04,0.35792142,1.0
1.94,0.53073627,1.92,0.4692637,0.0
1.84,0.5772894,2.02,0.4227106,0.0
1.82,0.48476323,2.03,0.5152368,0.0
1.8,0.6784162,2.08,0.32158378,1.0
1.59,0.49284863,2.45,0.5071514,0.0
1.76,0.520231,2.14,0.479769,0.0
1.8,0.30222842,2.09,0.69777155,1.0
1.25,0.6727871,4.08,0.32721296,1.0
1.71,0.59444034,2.23,0.4055596,0.0
1.66,0.6350427,2.29,0.36495724,1.0
1.49,0.516415,2.74,0.48358497,0.0
2.08,0.54114723,1.79,0.4588528,1.0
1.82,0.49512553,2.04,0.50487447,0.0
1.35,0.61540663,3.41,0.38459334,1.0
1.85,0.6263029,2.0,0.3736972,1.0
2.69,0.44448072,1.5,0.5555193,1.0
1.64,0.7200743,2.34,0.2799257,1.0
2.07,0.6199331,1.78,0.38006693,1.0
1.67,0.6369416,2.31,0.36305842,1.0
1.82,0.5183579,2.06,0.4816421,0.0
2.23,0.53466773,1.68,0.46533233,1.0
1.85,0.5412739,2.01,0.45872605,0.0
1.81,0.6043802,2.07,0.39561978,0.0
2.29,0.5973658,1.67,0.4026342,0.0
1.72,0.43226814,2.21,0.56773186,0.0
2.06,0.45645612,1.82,0.54354393,1.0
1.55,0.64856905,2.56,0.35143095,0.0
1.68,0.62365997,2.23,0.3763401,1.0
2.08,0.56239843,1.8,0.43760157,0.0
1.7,0.60858834,2.25,0.3914116,0.0
1.59,0.67405796,2.48,0.32594207,1.0
1.85,0.5439776,2.02,0.45602235,1.0
1.79,0.542521,2.11,0.45747903,1.0
1.57,0.6215894,2.53,0.37841055,0.0
2.06,0.5355054,1.82,0.46449456,1.0
1.49,0.7563825,2.74,0.24361748,1.0
1.82,0.65572524,2.07,0.34427473,1.0
2.07,0.51035947,1.81,0.4896405,0.0
1.91,0.559299,1.95,0.440701,1.0
1.46,0.442257,2.82,0.557743,0.0
1.5,0.62779474,2.7,0.37220523,0.0
1.98,0.60566354,1.88,0.39433646,1.0
1.78,0.6072049,2.11,0.39279512,0.0
2.06,0.49624613,1.82,0.5037539,0.0
1.99,0.59610194,1.87,0.403898,0.0
1.64,0.69778264,2.39,0.3022174,0.0
2.0,0.55407405,1.87,0.44592598,1.0
1.71,0.58896804,2.23,0.41103202,0.0
2.04,0.59366477,1.83,0.40633523,0.0
1.47,0.5757819,2.79,0.4242181,0.0
2.11,0.53427297,1.79,0.46572697,1.0
1.88,0.53078693,1.99,0.469213,0.0
1.64,0.51618105,2.36,0.48381892,0.0
1.93,0.39801383,1.92,0.60198617,0.0
1.33,0.67908883,3.53,0.32091117,1.0
1.83,0.6022781,2.05,0.39772183,0.0
1.59,0.672308,2.5,0.32769197,1.0
1.71,0.5335865,2.22,0.46641347,0.0
1.61,0.6617591,2.44,0.33824095,0.0
2.44,0.6463928,1.6,0.35360718,0.0
1.49,0.58837336,2.75,0.41162664,1.0
1.92,0.5774144,1.94,0.42258564,1.0
1.56,0.75323474,2.55,0.2467653,0.0
1.83,0.6247244,2.06,0.37527555,0.0
1.58,0.6794259,2.5,0.3205741,1.0
1.93,0.18141842,1.94,0.8185816,0.0
2.04,0.45404682,1.84,0.5459532,1.0
1.77,0.5246261,2.12,0.47537392,1.0
1.84,0.69445527,2.03,0.30554473,1.0
2.59,0.43245402,1.55,0.56754595,0.0
1.54,0.69839394,2.62,0.30160606,1.0
2.17,0.6605614,1.74,0.33943862,0.0
1.43,0.571221,2.98,0.42877904,0.0
1.67,0.54515165,2.3,0.45484832,0.0
1.69,0.5276226,2.24,0.4723774,1.0
1.64,0.7649076,2.35,0.2350924,1.0
2.12,0.5837084,1.78,0.4162916,1.0
1.82,0.6510278,2.05,0.34897217,1.0
1.58,0.6321011,2.52,0.36789882,0.0
1.84,0.21263088,2.04,0.78736913,0.0
