HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT
2.58,4.7571752e-06,1.55,0.99999523,0.0
1.82,0.9999703,2.06,2.9658513e-05,1.0
1.79,0.9991321,2.1,0.00086796284,1.0
2.59,4.4232613e-07,1.55,0.9999995,0.0
1.58,0.99911565,2.52,0.000884332,1.0
2.68,3.2307062e-07,1.51,0.99999964,0.0
1.84,0.00015402902,2.03,0.999846,0.0
1.53,7.790238e-06,2.61,0.99999225,0.0
2.24,9.898118e-08,1.7,0.9999999,0.0
2.25,1.5314186e-05,1.71,0.99998474,0.0
2.08,8.570314e-05,1.82,0.9999143,0.0
1.83,1.929259e-05,2.06,0.9999807,0.0
2.1,0.50351924,1.79,0.4964808,0.0
1.89,0.99991333,1.97,8.671562e-05,1.0
1.96,0.3626465,1.9,0.6373535,1.0
1.91,0.5220689,1.95,0.477931,0.0
2.41,1.4168834e-05,1.62,0.9999858,0.0
1.77,0.49618152,2.12,0.5038186,1.0
2.1,2.5728397e-07,1.79,0.99999976,0.0
1.97,2.4780666e-05,1.87,0.9999752,0.0
2.03,1.0757672e-06,1.84,0.9999989,0.0
2.14,0.5434626,1.77,0.45653746,1.0
2.2,0.32862842,1.72,0.6713716,1.0
2.11,0.32510194,1.78,0.674898,0.0
1.66,0.19365004,2.32,0.80635,0.0
1.72,0.5332492,2.2,0.4667508,1.0
1.76,0.9959561,2.16,0.0040438464,1.0
1.85,0.99987364,2.02,0.00012633367,1.0
1.79,0.55639726,2.1,0.44360268,1.0
1.92,0.9997743,1.94,0.0002257422,1.0
2.71,9.94924e-07,1.51,0.99999905,0.0
2.28,1.8798572e-06,1.68,0.9999981,0.0
1.77,0.36062345,2.13,0.63937646,1.0
1.78,0.9959705,2.11,0.0040295105,1.0
1.85,0.1759755,2.02,0.8240245,0.0
1.9,0.72301847,1.96,0.27698147,1.0
1.71,8.4204396e-05,2.22,0.99991584,0.0
1.82,0.44831684,2.06,0.5516831,1.0
1.73,0.99979097,2.19,0.00020908694,1.0
2.43,5.4260643e-05,1.58,0.99994576,0.0
1.71,0.40392435,2.23,0.5960756,1.0
1.84,0.6119932,2.04,0.38800684,1.0
1.36,0.9110346,3.34,0.088965364,1.0
2.22,0.11817332,1.72,0.88182664,0.0
1.67,0.12571889,2.32,0.87428105,0.0
2.14,0.841848,1.77,0.15815198,1.0
