HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.74,0.8822365,2.18,0.11776353,1.0,04,08
1.65,0.7473184,2.33,0.25268158,1.0,04,08
2.38,0.3943623,1.63,0.6056377,1.0,04,08
1.68,0.67955965,2.28,0.32044038,1.0,04,08
1.9,0.46010858,1.6,0.5398915,1.0,04,08
2.21,0.6480513,1.71,0.3519487,0.0,04,09
1.36,0.8396651,3.27,0.16033491,0.0,04,09
2.48,0.37901786,1.58,0.6209821,0.0,04,09
1.52,0.75346124,2.64,0.24653871,1.0,04,09
2.57,0.2979473,1.55,0.7020528,0.0,04,09
1.69,0.5506679,2.25,0.4493321,0.0,04,09
1.39,0.28878555,3.19,0.7112144,0.0,04,09
2.04,0.4968925,1.84,0.50310755,1.0,04,09
1.95,0.44189656,1.91,0.55810344,0.0,04,09
1.87,0.64763623,2.0,0.35236374,0.0,04,09
1.76,0.5408681,2.14,0.4591319,1.0,04,09
1.93,0.7921341,1.92,0.20786598,1.0,04,09
2.29,0.69309425,1.67,0.30690572,1.0,04,10
2.49,0.3499764,1.58,0.65002364,0.0,04,10
2.16,0.47272992,1.74,0.5272701,0.0,04,10
1.63,0.746949,2.37,0.25305092,1.0,04,10
2.6,0.277978,1.54,0.72202206,0.0,04,10
1.61,0.48504332,2.4,0.5149567,0.0,04,10
1.53,0.36605012,2.63,0.63394994,1.0,04,10
1.5,0.8073433,2.7,0.1926567,1.0,04,10
1.96,0.583102,1.91,0.416898,1.0,04,10
1.88,0.38444737,1.97,0.6155526,0.0,04,10
1.69,0.7337583,2.26,0.2662417,0.0,04,10
2.2,0.8221932,1.72,0.17780675,1.0,04,10
2.35,0.2409557,1.64,0.75904435,0.0,04,11
1.58,0.8007491,2.47,0.19925089,1.0,04,11
2.19,0.6056384,1.73,0.3943616,0.0,04,11
2.36,0.3322722,1.64,0.66772777,0.0,04,11
2.19,0.5580893,1.73,0.4419107,1.0,04,11
1.54,0.86834127,2.6,0.13165876,1.0,04,11
1.76,0.49286714,2.13,0.5071329,0.0,04,11
1.58,0.85837984,2.49,0.14162014,1.0,04,11
1.77,0.92715085,2.49,0.07284915,1.0,04,12
1.49,0.45934245,2.74,0.54065746,0.0,04,12
1.53,0.61118937,2.1,0.38881066,0.0,04,12
2.31,0.44768676,1.66,0.5523132,0.0,04,12
1.38,0.71894276,3.18,0.2810573,1.0,04,12
2.42,0.44546193,1.61,0.5545381,0.0,04,12
1.87,0.40031564,1.99,0.59968436,0.0,04,12
1.85,0.46450928,2.02,0.5354907,0.0,04,12
1.96,0.45718896,1.9,0.54281104,1.0,04,12
1.36,0.64764816,3.33,0.35235193,0.0,04,13
1.6,0.5399565,2.44,0.46004346,1.0,04,13
1.47,0.7240821,2.8,0.2759179,1.0,04,13
1.48,0.889045,2.75,0.110955045,0.0,04,13
2.77,0.5121856,1.48,0.48781437,1.0,04,13
1.7,0.4595103,2.22,0.5404897,1.0,04,13
1.81,0.69638026,2.07,0.30361974,1.0,04,13
2.39,0.5234115,1.61,0.4765885,1.0,04,13
2.0,0.7774873,1.87,0.22251275,1.0,04,13
2.35,0.69306684,1.64,0.30693316,1.0,04,13
1.65,0.53411204,2.25,0.4658879,1.0,04,13
2.04,0.47220132,1.83,0.52779865,0.0,04,13
1.61,0.6048021,2.4,0.39519796,0.0,04,13
2.27,0.41075754,1.69,0.58924246,0.0,04,13
1.38,0.75125194,3.17,0.24874811,1.0,04,14
1.5,0.4493929,2.7,0.5506071,0.0,04,14
2.16,0.44432178,1.74,0.55567825,0.0,04,14
2.31,0.43376732,1.66,0.5662327,0.0,04,14
1.55,0.655887,2.57,0.344113,0.0,04,14
1.41,0.797669,3.04,0.20233096,1.0,04,14
2.19,0.7050742,1.72,0.29492587,1.0,04,14
2.28,0.7225079,1.67,0.27749208,1.0,04,14
2.06,0.68207467,1.82,0.31792533,0.0,04,14
1.96,0.3338094,1.9,0.66619056,0.0,04,14
1.88,0.56738085,1.98,0.43261918,1.0,04,14
1.67,0.6925082,2.29,0.30749187,1.0,04,14
2.7,0.40247944,1.51,0.5975206,0.0,04,14
2.38,0.5206469,1.62,0.4793531,1.0,04,14
1.38,0.63578224,3.23,0.3642178,0.0,04,15
1.85,0.38252768,2.02,0.61747235,0.0,04,15
2.17,0.47315273,1.74,0.5268473,0.0,04,15
1.73,0.7579417,2.18,0.24205828,1.0,04,15
1.78,0.6240954,2.11,0.3759046,0.0,04,15
1.92,0.5856858,1.94,0.41431418,1.0,04,16
1.93,0.60566187,1.93,0.39433813,0.0,04,16
1.84,0.45359614,2.02,0.5464038,1.0,04,16
1.56,0.68399626,2.56,0.31600377,0.0,04,16
2.2,0.41916803,1.73,0.5808319,0.0,04,16
1.4,0.5472023,3.11,0.45279774,1.0,04,16
1.71,0.69206506,2.2,0.30793488,0.0,04,16
1.82,0.7640184,2.06,0.23598163,1.0,04,16
1.65,0.6227523,2.32,0.37724766,0.0,04,16
2.07,0.88721883,1.8,0.11278121,1.0,04,16
1.84,0.543769,2.02,0.45623103,1.0,04,16
1.61,0.25854057,2.41,0.7414594,0.0,04,16
