1.71,0.9679661,2.23,0.032033864,1.0,03,29
1.79,0.9926502,2.11,0.0073498124,1.0,03,29
2.42,0.00048544403,1.62,0.9995146,0.0,03,29
2.47,0.0005089801,1.6,0.999491,0.0,03,29
2.49,0.9225681,1.59,0.07743195,1.0,03,29
2.04,0.9864971,1.84,0.01350286,1.0,03,29
2.08,0.99587005,1.81,0.00412995,1.0,03,29
2.06,3.4221724e-05,1.82,0.9999658,0.0,03,29
1.77,0.001252684,2.14,0.99874735,0.0,03,29
1.33,0.009400438,3.56,0.9905996,0.0,03,29
2.57,0.9696324,1.56,0.030367563,1.0,03,29
1.87,0.9757312,2.01,0.024268836,1.0,03,29
2.12,0.0004757752,1.78,0.99952424,0.0,03,30
2.78,3.9677998e-05,1.48,0.9999603,0.0,03,30
2.26,0.00032518088,1.69,0.9996748,0.0,03,30
2.3,0.45068562,1.67,0.54931444,0.0,03,30
1.93,0.5165386,1.93,0.48346132,0.0,03,30
2.56,0.44264328,1.56,0.5573567,1.0,03,30
1.69,0.9802218,2.28,0.019778226,1.0,03,30
1.6,0.004112124,2.46,0.99588794,0.0,03,30
2.02,5.2646847e-05,1.86,0.9999473,0.0,03,30
1.93,0.5565823,1.93,0.44341776,0.0,03,30
1.81,0.97018963,2.07,0.029810334,1.0,03,31
2.32,8.0593796e-05,1.67,0.9999194,0.0,03,31
1.96,0.39617327,1.9,0.6038267,0.0,03,31
2.74,0.35153145,1.5,0.6484685,0.0,03,31
1.95,0.34580925,1.91,0.6541907,1.0,03,31
1.94,0.47263765,1.92,0.5273624,0.0,03,31
2.06,0.35206848,1.83,0.6479315,0.0,03,31
2.04,0.50931394,1.84,0.49068615,0.0,03,31
1.88,0.7096362,1.99,0.2903638,1.0,03,31
1.91,0.00040946755,1.95,0.9995906,0.0,03,31
1.67,0.68117845,2.3,0.3188215,0.0,03,31
2.08,4.4505403e-05,1.81,0.99995553,0.0,03,31
1.49,0.50323087,2.77,0.49676913,1.0,03,31
1.85,0.39179978,2.02,0.6082002,0.0,04,01
1.86,0.48849037,2.01,0.51150966,1.0,04,01
1.89,0.0007658136,1.98,0.9992342,0.0,04,01
2.3,0.70104367,1.68,0.2989563,0.0,04,01
1.94,0.2867271,1.93,0.71327287,0.0,04,01
2.4,0.2630383,1.63,0.7369617,0.0,04,01
2.1,0.28081766,1.8,0.7191823,0.0,04,01
